date	country	variant	sequences
2028-10-22	south	2	1
2028-10-22	south	3	1
2028-10-22	south	4	1
2028-10-29	south	3	1
2028-10-29	south	4	1
2028-10-29	tropics	3	1
2028-10-29	tropics	4	1
2028-11-05	south	3	3
2028-11-05	south	4	3
2028-11-05	tropics	3	1
2028-11-05	tropics	4	1
2028-11-12	south	4	3
2028-11-19	south	4	1
2028-11-19	tropics	3	1
2028-11-19	tropics	4	2
2028-11-26	north	4	1
2028-11-26	south	3	1
2028-11-26	south	4	1
2028-12-03	tropics	4	2
2028-12-10	south	4	1
2028-12-10	tropics	4	1
2028-12-17	tropics	3	1
2028-12-17	tropics	4	2
2028-12-24	south	4	1
2028-12-24	tropics	4	6
2028-12-31	tropics	3	2
2028-12-31	tropics	4	6
2029-01-07	tropics	3	1
2029-01-07	tropics	4	3
2029-01-14	north	4	1
2029-01-14	tropics	3	3
2029-01-14	tropics	4	3
2029-01-21	tropics	4	3
2029-01-28	south	4	1
2029-01-28	tropics	4	2
2029-02-04	tropics	4	1
2029-02-11	north	4	1
2029-02-11	tropics	4	4
2029-02-18	north	4	2
2029-02-18	south	4	1
2029-02-18	tropics	4	7
2029-02-25	tropics	4	4
2029-03-04	south	4	1
2029-03-04	tropics	3	1
2029-03-04	tropics	4	3
2029-03-11	south	4	1
2029-03-11	tropics	4	4
2029-03-18	tropics	4	2
2029-03-25	tropics	4	4
2029-04-01	tropics	4	2
2029-04-08	tropics	4	5
2029-04-15	north	4	1
2029-04-15	tropics	4	5
2029-04-22	tropics	4	3
2029-04-29	tropics	4	4
2029-05-06	tropics	4	3
2029-05-13	tropics	4	1
2029-05-20	south	4	1
2029-05-27	south	4	1
2029-05-27	tropics	4	1
2029-06-03	tropics	4	2
2029-06-10	tropics	4	1
2029-06-17	tropics	4	1
2029-06-24	north	4	1
2029-07-01	tropics	4	1
2029-07-08	tropics	4	1
2029-07-15	tropics	4	1
2029-07-29	tropics	4	2
2029-08-26	south	4	1
2029-09-02	south	4	2
2029-09-09	south	4	1
2029-09-30	north	5	1
2029-09-30	tropics	5	1
2029-10-07	south	4	1
2029-11-18	south	4	1
2029-11-25	south	4	1
2029-12-02	south	4	1
2030-01-06	north	4	1
2030-01-13	north	5	1
2030-01-27	north	5	1
2030-02-17	north	4	2
2030-02-24	north	5	2
2030-03-10	north	5	3
2030-03-17	north	5	2
2030-03-24	north	4	1
2030-03-24	north	5	3
2030-03-31	north	5	6
2030-04-07	north	5	6
2030-04-14	north	5	1
2030-04-21	north	5	1
2030-04-21	tropics	5	1
2030-04-28	north	5	4
2030-05-05	north	5	2
2030-05-12	north	5	2
2030-05-12	north	6	1
2030-05-12	south	5	1
2030-05-19	north	5	4
2030-05-19	north	6	1
2030-05-26	north	5	2
2030-05-26	north	6	1
2030-06-02	north	5	6
2030-06-02	tropics	5	1
2030-06-09	north	5	3
2030-06-09	south	5	2
2030-06-16	north	5	2
2030-06-16	south	5	1
2030-06-23	north	5	1
2030-06-30	north	5	1
2030-07-07	south	5	3
2030-07-14	north	5	1
2030-07-14	south	5	11
2030-07-14	tropics	5	1
2030-07-21	south	5	5
2030-07-21	tropics	5	1
2030-07-28	south	5	5
2030-07-28	tropics	5	3
2030-08-04	south	5	5
2030-08-04	tropics	5	2
2030-08-11	south	5	10
2030-08-18	north	5	1
2030-08-18	south	5	8
2030-08-18	tropics	5	1
2030-08-25	south	5	8
2030-08-25	tropics	5	2
2030-09-01	south	5	8
2030-09-01	tropics	5	1
2030-09-08	south	5	3
2030-09-08	south	6	1
2030-09-08	tropics	5	1
2030-09-15	south	5	4
2030-09-15	tropics	5	1
2030-09-22	south	5	6
2030-09-22	tropics	5	1
2030-09-29	north	5	1
2030-09-29	south	5	4
2030-09-29	tropics	5	1
2030-10-06	north	5	1
2030-10-06	south	5	2
2030-10-06	tropics	5	3
2030-10-13	north	6	1
2030-10-13	south	5	2
2030-10-13	tropics	5	1
2030-10-20	south	5	1
2030-10-20	tropics	5	3
2030-10-27	north	5	1
2030-10-27	tropics	5	3
2030-11-03	north	5	1
2030-11-03	north	6	1
2030-11-03	south	5	1
2030-11-10	south	5	1
2030-11-10	tropics	5	4
2030-11-17	north	5	1
2030-11-17	tropics	5	2
2030-12-01	north	5	1
2030-12-01	tropics	5	3
2030-12-08	tropics	5	2
2030-12-15	north	5	1
2030-12-15	tropics	5	2
2030-12-22	north	5	1
2030-12-22	tropics	5	2
2030-12-29	north	5	1
2030-12-29	north	6	1
2030-12-29	tropics	5	1
2031-01-05	north	5	2
2031-01-05	tropics	5	2
2031-01-12	north	5	1
2031-01-19	north	5	1
2031-01-19	tropics	5	1
2031-01-26	north	5	2
2031-01-26	tropics	5	1
2031-01-26	tropics	6	1
2031-02-02	north	5	2
2031-02-02	tropics	5	1
2031-02-09	north	5	1
2031-02-16	north	5	5
2031-02-16	tropics	5	1
2031-02-23	north	5	3
2031-02-23	tropics	5	1
2031-03-02	north	5	2
2031-03-02	south	5	1
2031-03-02	tropics	5	1
2031-03-09	north	5	3
2031-03-09	north	6	1
2031-03-09	north	7	1
2031-03-09	tropics	5	2
2031-03-16	north	5	2
2031-03-16	tropics	5	1
2031-03-23	north	5	3
2031-03-23	tropics	5	2
2031-03-30	north	5	1
2031-03-30	north	6	1
2031-03-30	tropics	5	2
2031-04-06	north	5	3
2031-04-06	tropics	5	1
2031-04-13	north	5	2
2031-04-13	tropics	5	1
2031-04-13	tropics	6	1
2031-04-27	north	6	1
2031-04-27	tropics	6	1
2031-05-04	tropics	5	1
2031-05-11	north	5	1
2031-05-11	tropics	5	2
2031-05-25	north	7	1
2031-05-25	tropics	5	1
2031-06-08	tropics	5	1
2031-06-08	tropics	6	1
2031-06-22	north	6	1
2031-06-22	tropics	5	1
2031-06-29	tropics	5	1
2031-07-13	tropics	5	1
2031-07-13	tropics	6	1
2031-07-20	tropics	5	1
2031-07-20	tropics	6	1
2031-07-27	tropics	6	1
2031-08-10	north	5	1
2031-08-10	tropics	5	1
2031-08-10	tropics	6	1
2031-08-17	tropics	5	1
2031-08-17	tropics	6	1
2031-09-14	tropics	6	1
2031-09-21	tropics	6	1
2031-10-12	tropics	6	1
2031-10-19	tropics	6	1
2031-10-26	north	7	1
2031-10-26	tropics	6	1
2031-11-02	north	5	1
2031-11-02	tropics	5	1
2031-11-02	tropics	6	2
2031-11-09	tropics	6	1
2031-11-16	tropics	6	1
2031-11-23	tropics	5	1
2031-11-30	tropics	6	2
2031-12-07	north	6	1
2031-12-14	north	6	1
2031-12-21	north	6	3
2031-12-21	tropics	5	1
2031-12-21	tropics	6	3
2031-12-28	tropics	6	1
2031-12-28	tropics	8	1
2032-01-04	north	6	2
2032-01-04	north	7	1
2032-01-04	tropics	6	1
2032-01-04	tropics	7	1
2032-01-11	north	6	1
2032-01-11	tropics	6	1
2032-01-18	north	6	2
2032-01-18	north	7	2
2032-01-18	tropics	6	2
2032-01-25	north	6	1
2032-01-25	north	7	2
2032-02-01	north	6	2
2032-02-01	north	7	2
2032-02-01	tropics	6	1
2032-02-08	north	5	1
2032-02-08	north	7	3
2032-02-15	north	6	2
2032-02-15	north	7	2
2032-02-15	north	8	1
2032-02-15	tropics	6	3
2032-02-22	north	6	1
2032-02-22	north	7	2
2032-02-22	tropics	6	2
2032-02-29	north	5	1
2032-02-29	north	6	2
2032-02-29	north	7	4
2032-02-29	tropics	6	2
2032-03-07	north	6	1
2032-03-07	north	7	2
2032-03-07	tropics	6	1
2032-03-14	north	5	1
2032-03-14	north	6	1
2032-03-14	north	7	5
2032-03-14	tropics	6	2
2032-03-21	north	7	7
2032-03-28	north	6	2
2032-03-28	north	7	4
2032-03-28	tropics	6	1
2032-03-28	tropics	8	1
2032-04-04	north	6	1
2032-04-04	north	7	5
2032-04-04	tropics	5	1
2032-04-04	tropics	6	1
2032-04-11	north	6	1
2032-04-11	north	7	5
2032-04-11	tropics	6	1
2032-04-11	tropics	8	1
2032-04-18	north	6	1
2032-04-18	north	7	1
2032-04-18	tropics	8	1
2032-04-25	north	7	3
2032-04-25	north	8	1
2032-04-25	tropics	7	1
2032-05-02	north	7	2
2032-05-02	tropics	7	1
2032-05-02	tropics	8	2
2032-05-09	north	7	1
2032-05-09	south	7	1
2032-05-09	tropics	6	3
2032-05-16	north	7	2
2032-05-16	tropics	8	1
2032-05-23	north	7	1
2032-05-23	south	7	1
2032-05-23	tropics	6	2
2032-05-23	tropics	8	1
2032-05-30	tropics	8	1
2032-06-06	south	6	1
2032-06-06	tropics	6	3
2032-06-06	tropics	8	2
2032-06-13	tropics	6	1
2032-06-20	tropics	7	1
2032-06-20	tropics	8	3
2032-06-27	north	7	1
2032-06-27	tropics	6	1
2032-06-27	tropics	8	2
2032-07-04	tropics	8	2
2032-07-11	south	7	2
2032-07-11	tropics	6	2
2032-07-11	tropics	7	1
2032-07-11	tropics	8	3
2032-07-18	tropics	6	1
2032-07-18	tropics	7	1
2032-07-18	tropics	8	1
2032-07-25	south	7	2
2032-07-25	tropics	6	2
2032-07-25	tropics	8	2
2032-08-01	south	7	3
2032-08-01	south	8	1
2032-08-01	tropics	6	2
2032-08-01	tropics	7	2
2032-08-01	tropics	8	6
2032-08-08	south	7	2
2032-08-08	south	8	1
2032-08-08	tropics	8	1
2032-08-15	south	7	3
2032-08-15	south	8	1
2032-08-15	tropics	7	4
2032-08-15	tropics	8	1
2032-08-22	south	7	2
2032-08-22	tropics	7	2
2032-08-22	tropics	8	2
2032-08-29	south	7	4
2032-08-29	south	8	2
2032-08-29	tropics	6	1
2032-08-29	tropics	8	2
2032-09-05	south	7	3
2032-09-05	south	8	1
2032-09-05	tropics	6	1
2032-09-05	tropics	7	2
2032-09-05	tropics	8	2
2032-09-12	south	7	3
2032-09-12	south	8	1
2032-09-12	tropics	6	1
2032-09-19	south	6	1
2032-09-19	south	7	4
2032-09-19	tropics	7	2
2032-09-19	tropics	8	3
2032-09-26	south	7	1
2032-09-26	south	8	2
2032-09-26	tropics	8	2
2032-10-03	south	8	1
2032-10-03	tropics	7	1
2032-10-03	tropics	8	2
2032-10-10	tropics	6	1
2032-10-17	north	8	1
2032-10-17	south	7	1
2032-10-17	tropics	7	1
2032-10-17	tropics	8	2
2032-10-24	south	7	1
2032-10-24	south	8	1
2032-10-31	south	7	1
2032-10-31	tropics	7	2
2032-11-07	south	7	1
2032-11-07	tropics	8	3
2032-11-14	tropics	7	1
2032-11-21	north	8	1
2032-11-21	south	7	1
2032-11-21	tropics	8	1
2032-11-28	tropics	8	1
2032-12-05	tropics	7	1
2032-12-05	tropics	8	2
2032-12-12	tropics	7	1
2032-12-12	tropics	8	2
2032-12-19	tropics	7	2
2032-12-19	tropics	8	2
2033-01-02	north	8	1
2033-01-02	tropics	8	1
2033-01-09	north	7	1
2033-01-09	south	8	1
2033-01-09	tropics	8	2
2033-01-23	south	8	1
2033-01-23	tropics	7	1
2033-01-30	tropics	8	2
2033-02-20	tropics	9	1
2033-03-06	north	8	1
2033-03-06	tropics	8	1
2033-03-13	north	9	1
2033-04-10	north	8	1
2033-04-10	tropics	7	1
2033-05-22	north	8	1
2033-06-12	tropics	9	1
2033-07-31	tropics	8	1
2033-09-11	south	7	1
2033-09-11	tropics	8	1
2033-10-09	south	7	1
2033-11-27	tropics	9	1
2033-12-18	tropics	9	1
2033-12-25	north	9	2
2033-12-25	tropics	9	2
2034-01-22	north	9	1
2034-02-05	north	10	1
2034-02-05	south	7	1
2034-02-05	tropics	10	1
2034-02-26	tropics	9	2
2034-03-05	north	9	1
2034-03-12	north	10	1
2034-03-12	tropics	10	3
2034-03-19	north	9	1
2034-03-26	tropics	9	2
2034-03-26	tropics	10	1
2034-04-02	tropics	10	1
2034-04-09	south	10	1
2034-04-09	tropics	10	1
2034-04-16	north	9	1
2034-04-16	north	10	2
2034-04-16	south	10	1
2034-04-16	tropics	9	2
2034-04-23	north	8	1
2034-04-23	north	9	1
2034-04-23	north	10	1
2034-04-23	tropics	9	1
2034-04-23	tropics	10	3
2034-04-30	north	9	2
2034-04-30	north	10	1
2034-04-30	tropics	9	3
2034-04-30	tropics	10	2
2034-05-07	north	8	1
2034-05-07	north	10	4
2034-05-07	tropics	10	4
2034-05-14	north	9	1
2034-05-14	north	10	4
2034-05-14	tropics	9	2
2034-05-14	tropics	10	10
2034-05-21	north	10	2
2034-05-21	south	9	1
2034-05-21	south	10	2
2034-05-21	tropics	9	2
2034-05-21	tropics	10	4
2034-05-28	north	9	2
2034-05-28	north	10	1
2034-05-28	tropics	10	9
2034-06-04	north	10	2
2034-06-04	south	9	1
2034-06-04	south	10	4
2034-06-04	tropics	10	7
2034-06-11	north	10	3
2034-06-11	north	11	1
2034-06-11	south	9	1
2034-06-11	south	10	3
2034-06-11	tropics	10	10
2034-06-18	north	10	4
