date	country	cases
2026-07-12	tropics	10
2026-07-19	north	6
2026-07-19	south	1
2026-07-19	tropics	10
2026-07-26	north	5
2026-07-26	south	1
2026-07-26	tropics	10
2026-08-02	north	5
2026-08-02	south	1
2026-08-02	tropics	10
2026-08-09	north	4
2026-08-09	south	1
2026-08-09	tropics	10
2026-08-16	north	3
2026-08-16	south	1
2026-08-16	tropics	10
2026-08-23	north	2
2026-08-23	south	1
2026-08-23	tropics	10
2026-08-30	north	2
2026-08-30	south	2
2026-08-30	tropics	10
2026-09-06	north	2
2026-09-06	south	2
2026-09-06	tropics	11
2026-09-13	north	2
2026-09-13	south	2
2026-09-13	tropics	10
2026-09-20	north	2
2026-09-20	south	2
2026-09-20	tropics	11
2026-09-27	north	2
2026-09-27	south	1
2026-09-27	tropics	11
2026-10-04	north	2
2026-10-04	south	1
2026-10-04	tropics	12
2026-10-11	north	3
2026-10-11	south	1
2026-10-11	tropics	12
2026-10-18	north	3
2026-10-18	south	1
2026-10-18	tropics	12
2026-10-25	north	4
2026-10-25	south	0
2026-10-25	tropics	13
2026-11-01	north	5
2026-11-01	south	0
2026-11-01	tropics	14
2026-11-08	north	6
2026-11-08	south	0
2026-11-08	tropics	15
2026-11-15	north	8
2026-11-15	south	0
2026-11-15	tropics	14
2026-11-22	north	11
2026-11-22	south	0
2026-11-22	tropics	15
2026-11-29	north	13
2026-11-29	south	0
2026-11-29	tropics	16
2026-12-06	north	18
2026-12-06	south	0
2026-12-06	tropics	18
2026-12-13	north	24
2026-12-13	south	0
2026-12-13	tropics	19
2026-12-20	north	31
2026-12-20	south	0
2026-12-20	tropics	22
2026-12-27	north	43
2026-12-27	south	0
2026-12-27	tropics	23
2027-01-03	north	59
2027-01-03	south	0
2027-01-03	tropics	26
2027-01-10	north	78
2027-01-10	south	0
2027-01-10	tropics	30
2027-01-17	north	105
2027-01-17	south	0
2027-01-17	tropics	33
2027-01-24	north	139
2027-01-24	south	0
2027-01-24	tropics	39
2027-01-31	north	182
2027-01-31	south	0
2027-01-31	tropics	44
2027-02-07	north	239
2027-02-07	south	0
2027-02-07	tropics	50
2027-02-14	north	306
2027-02-14	south	0
2027-02-14	tropics	57
2027-02-21	north	374
2027-02-21	south	1
2027-02-21	tropics	68
2027-02-28	north	455
2027-02-28	south	1
2027-02-28	tropics	80
2027-03-07	north	537
2027-03-07	south	1
2027-03-07	tropics	94
2027-03-14	north	619
2027-03-14	south	2
2027-03-14	tropics	110
2027-03-21	north	690
2027-03-21	south	3
2027-03-21	tropics	128
2027-03-28	north	742
2027-03-28	south	4
2027-03-28	tropics	153
2027-04-04	north	776
2027-04-04	south	4
2027-04-04	tropics	182
2027-04-11	north	781
2027-04-11	south	6
2027-04-11	tropics	214
2027-04-18	north	764
2027-04-18	south	8
2027-04-18	tropics	252
2027-04-25	north	729
2027-04-25	south	10
2027-04-25	tropics	295
2027-05-02	north	672
2027-05-02	south	12
2027-05-02	tropics	348
2027-05-09	north	596
2027-05-09	south	16
2027-05-09	tropics	405
2027-05-16	north	525
2027-05-16	south	21
2027-05-16	tropics	470
2027-05-23	north	453
2027-05-23	south	28
2027-05-23	tropics	539
2027-05-30	north	385
2027-05-30	south	36
2027-05-30	tropics	612
2027-06-06	north	323
2027-06-06	south	50
2027-06-06	tropics	691
2027-06-13	north	268
2027-06-13	south	66
2027-06-13	tropics	774
2027-06-20	north	220
2027-06-20	south	89
2027-06-20	tropics	852
2027-06-27	north	180
2027-06-27	south	120
2027-06-27	tropics	918
2027-07-04	north	151
2027-07-04	south	160
2027-07-04	tropics	975
2027-07-11	north	125
2027-07-11	south	213
2027-07-11	tropics	1019
2027-07-18	north	104
2027-07-18	south	280
2027-07-18	tropics	1042
2027-07-25	north	89
2027-07-25	south	362
