location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
north	17	0.94382787	0.95068514	0.9367805	0.9487468	0.93902355	0.9465437	0.94122577	2042-04-01	MLR
north	18	0.9649599	0.9734867	0.9569388	0.9706628	0.95975214	0.9679491	0.96201146	2042-04-01	MLR
