variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
16	2050-04-03	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-04	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-05	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-06	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-07	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-08	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-09	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-10	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-11	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-12	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-13	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-14	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-15	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-16	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-17	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-18	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-19	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-20	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-21	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-22	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-23	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-24	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-25	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-26	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-27	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-28	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-29	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-04-30	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-01	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-02	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-03	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-04	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-05	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-06	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-07	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-08	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-09	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-10	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-11	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-12	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-13	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-14	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-15	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-16	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-17	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-18	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-19	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-20	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-21	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-22	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-23	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-24	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-25	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
16	2050-05-26	south	2174.1865	1.0	126706517.79999939	1.0	19937823.600000024	1.0	1122712.65625	MLR	2051-04-01
