location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
south	22	0.9065801	0.96158373	0.85611147	0.9429531	0.8759671	0.92618597	0.8881185	2049-10-01	MLR
south	23	0.9510125	0.9596057	0.9424931	0.95715064	0.9452572	0.9539431	0.9481091	2049-10-01	MLR
south	24	0.96693635	0.9760106	0.95826274	0.9724635	0.9619067	0.96979475	0.9641369	2049-10-01	MLR
south	25	1.0327758	1.0419362	1.0235478	1.038841	1.026354	1.0359136	1.0292059	2049-10-01	MLR
