location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
tropics	20	0.8043281	0.85366136	0.75021267	0.83825225	0.76872146	0.82250315	0.784961	2045-04-01	MLR
tropics	21	0.89170957	0.91123134	0.8739928	0.90509665	0.8804075	0.89835286	0.88500243	2045-04-01	MLR
