path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_5,5,,,,,,,,,,0.75,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_23,23,157217.2692,90000000.0,0.0,89842782.7308,0.5568,1.7641264779195247,220100.0978,3.1214,30.0,0.75,inf,0.25,0.01368,2.8692,1003.0,0.3261788617886179,3075.0,51.0,1.9615384615384615,26.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_22,22,154195.6445,90000000.0,0.0,89845804.3555,0.6766,1.7472583753971656,216009.8414,3.5904,30.0,0.75,inf,0.25,0.01361,3.3756,1012.0,0.31934364152729566,3169.0,69.0,1.6428571428571428,42.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_8,8,,,,,,,,,,0.75,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_1,1,155175.2142,90000000.0,0.0,89844824.7858,0.5,1.810201332432555,217317.4297,3.2104,30.0,0.75,inf,0.25,0.01361,3.1841,1005.0,0.3029846246608381,3317.0,48.0,1.3714285714285714,35.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_0,0,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_0,0,146926.5218,90000000.0,0.0,89853073.4782,0.5986,1.681005097781953,205881.7125,3.5366,30.0,0.75,inf,0.25,0.01364,3.4585,954.0,0.323499491353001,2949.0,77.0,0.506578947368421,152.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_11,11,151491.218,90000000.0,0.0,89848508.782,0.5712,1.5389803847690302,212229.0902,3.3207,30.0,0.75,inf,0.25,0.01364,3.0608,993.0,0.31826923076923075,3120.0,54.0,1.3170731707317074,41.0,False
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_11,11,,,,,,,,,,1.0,,0.25,,,,,,,,,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_17,17,132598.7932,90000000.0,0.0,89867401.2068,0.3929,1.482423414495904,185948.7304,3.6303,30.0,0.75,inf,0.25,0.01364,3.3266,918.0,0.3349142648668369,2741.0,76.0,0.6440677966101694,118.0,False
