pivot_date	model	location	correlation	mae	mse	rmse	r2	n_seqs	n_cases	seq_entropy	case_entropy	seq_entropy_norm	case_entropy_norm
2025-04-01	FGA	north	0.9436223947559269	0.004104550182312341	2.4036924381810532e-05	0.004902746616113312	0.8894352767992529	1407	3085111	3.582014217478699	3.5164719740096486	0.8955035543696748	0.9502848963517613
2025-10-01	FGA	north	-0.06478185530426579	0.21419466088770225	0.05396241097247756	0.23229810798299147	-58.95938949692535	2183	4753721	4.456493822660779	4.411739037626924	0.8554628499151052	0.8347026120136242
2026-04-01	FGA	north	-0.8066579874226766	0.15263897098514584	0.026597312539148	0.16308682515503206	-16.990039356646406	1288	2784672	4.3816450444671835	4.396019054551476	0.8074882525166681	0.7711719221521762
2026-10-01	FGA	north	0.5006911990121086	0.22862695396203778	0.053122017704365074	0.23048214183395005	-60.51805447414601	1735	3700048	4.778507999614174	4.800823494800268	0.8556025217711222	0.842184766821078
2027-04-01	FGA	north	0.22822352934279785	0.1935294335776482	0.042467365496805375	0.20607611578444837	-24.64657360710514	4254	9296046	4.7511527365990815	4.730076186267867	0.833471270905471	0.8297739157235295
2027-10-01	FGA	north	0.4754268316218779	0.24220066224367526	0.060251049179622186	0.24546089134447097	-42.25687219002292	4065	8919888	4.420354224968202	4.408061110881149	0.804893020157881	0.7732844006494666
2028-04-01	FGA	north	-0.9958925597349815	0.22788350800028148	0.05239219962788355	0.2288934241691612	-1179.5340039047157	1135	2398178	3.554619941877271	3.5195663163557844	0.6592007968339352	0.6174201448276189
2029-04-01	FGA	north	-0.16874097514014216	0.13627482809043717	0.020311362652931066	0.14251793800406692	-29.480570114031078	3004	6511530	4.5690173273434125	4.598255598032879	0.7976747169565639	0.8027792345422042
2029-10-01	FGA	north	0.8181973066433039	0.22694306523778113	0.051942596403416606	0.22790918455256823	-47.40287007537565	3116	6653737	4.557994896626264	4.549241452743549	0.8507607378700905	0.7942221769367197
2030-04-01	FGA	north	-0.8951281376238643	0.23253323565944156	0.0708397101600137	0.2661573034128759	-425.03237556172314	399	737910	3.0355250364996538	3.0952377790898424	0.7426428457930883	0.5403772282877974
