TRAIT_TYPE	TRAIT_VALUE	HEX_CODE
clade_membership	0	#4c72b0
clade_membership	1	#dd8452
clade_membership	2	#55a868
clade_membership	3	#c44e52
clade_membership	4	#8172b3
clade_membership	5	#937860
clade_membership	6	#da8bc3
clade_membership	7	#8c8c8c
clade_membership	8	#ccb974
clade_membership	9	#64b5cd
clade_membership	10	#4c72b0
clade_membership	11	#dd8452
clade_membership	12	#55a868
clade_membership	13	#c44e52
clade_membership	14	#8172b3
clade_membership	15	#937860
clade_membership	16	#da8bc3
clade_membership	17	#8c8c8c
clade_membership	18	#ccb974
clade_membership	19	#64b5cd
clade_membership	20	#4c72b0
clade_membership	21	#dd8452
clade_membership	22	#55a868
clade_membership	23	#c44e52
clade_membership	24	#8172b3
clade_membership	25	#937860
clade_membership	26	#da8bc3
clade_membership	27	#8c8c8c
clade_membership	28	#ccb974
clade_membership	29	#64b5cd
