strain	year	country	clade_membership	fitness
257eb400	-0.0362	tropics	2	0.26919141642235866
3efb165d	-0.036	north	2	0.17057123599931998
1e0b518b	-0.0253	tropics	2	0.3813091774415818
576c71ea	-0.0185	tropics	2	0.17057123599931998
78d1ddb0	-0.0085	tropics	2	0.3813091774415818
1b619fd9	-0.0036	tropics	2	0.11411444501769133
6b141244	-0.0015	north	2	0.17057123599931998
66ff053d	-0.0014	tropics	2	0.3774034297239437
28ecc71f	-0.0008	tropics	2	0.17056929057276315
1697ce25	0.0005	tropics	2	0.15371866196924724
fe3066d	0.0087	tropics	2	0.17057123599931998
705591c6	0.0105	tropics	2	0.17057123599931998
40f54507	0.0188	tropics	2	0.17057123599931998
12312fc0	0.0283	tropics	2	0.17057123599931998
7376f92d	0.0329	tropics	2	0.11411444501769133
117d9c06	0.0379	tropics	2	0.17057123599931998
6f725d9b	0.038	tropics	2	0.3429420283945316
20632973	0.0387	tropics	2	0.1960827537088249
283d342c	0.0403	tropics	2	0.17742448314732584
239f6c1	0.0406	tropics	2	0.26919141642235866
33858ff	0.0507	tropics	2	0.17057123599931998
57e5ce31	0.0525	tropics	2	0.17056929057276315
25a4820	0.0607	tropics	2	0.17057123599931998
7f304ba4	0.0614	tropics	2	0.19545412699990675
58a64c74	0.0707	tropics	2	0.38886398831207775
34e65483	0.0709	tropics	2	0.17057123599931998
3a23fb3c	0.0712	tropics	2	0.17057123599931998
5cf4123	0.0838	tropics	2	0.17057123599931998
1a611fa0	0.0842	north	2	0.18465190621051192
452f96ed	0.0942	tropics	2	0.17057123599931998
2f31bb47	0.1014	tropics	2	0.17057123599931998
5213ce49	0.1033	tropics	2	0.18073489117615252
6338e772	0.107	tropics	2	0.26919141642235866
51da3036	0.1173	tropics	2	0.17057123599931998
b4a6f85	0.1355	tropics	2	0.17057123599931998
5a147ddd	0.136	north	2	0.17057123599931998
2c339b8b	0.1384	tropics	2	0.17057123599931998
6820e2c	0.142	tropics	2	0.2864707911166088
17fc6057	0.1465	tropics	2	0.11343198248887175
5a45f4d6	0.148	tropics	2	0.11715511887534277
5ca1ed47	0.1505	north	2	0.17057123599931998
3fdf4a81	0.1545	tropics	2	0.19073765036839402
74e9e08a	0.1565	tropics	2	0.39899205857382136
49ebc631	0.1808	tropics	2	0.17057123599931998
22774cbb	0.1835	tropics	2	0.3813091774415818
520df321	0.1877	north	2	0.17448238495033155
2fb4111b	0.1881	north	2	0.17057123599931998
45463168	0.1922	north	2	0.17057123599931998
63568448	0.1937	tropics	2	0.17057123599931998
3617e366	0.1944	tropics	2	0.17236431601011767
7dd02ef8	0.2046	tropics	2	0.17057123599931998
60598e71	0.2068	tropics	2	0.17057123599931998
409a7cf4	0.2471	north	2	0.17057123599931998
2a900e53	0.2485	tropics	2	0.17057123599931998
6a142f57	0.2521	north	2	0.17056929057276315
7232956e	0.2607	tropics	2	0.17057123599931998
885b4b9	0.2622	tropics	2	0.17057123599931998
15901667	0.2887	tropics	2	0.17056929057276315
2e605d03	0.2913	tropics	2	0.17057123599931998
7ae52e19	0.3139	tropics	2	0.17056929057276315
248d16db	0.3213	tropics	2	0.17057123599931998
4dc2057e	0.3227	tropics	2	0.15603031042869744
276dbc6	0.3276	north	2	0.17057123599931998
4a29fa1f	0.3287	tropics	2	0.11411444501769133
2582353c	0.3325	north	2	0.17057123599931998
6c09884a	0.3358	north	2	0.16073172376894265
6047daa3	0.3385	tropics	2	0.17057123599931998
4b153584	0.3396	tropics	2	0.17057123599931998
13d86246	0.3484	tropics	2	0.19073765036839402
4b6442af	0.3725	tropics	2	0.17056929057276315
bc668f9	0.3779	tropics	2	0.11411444501769133
3a67631	0.3804	tropics	2	0.17057123599931998
67ae404a	0.3881	north	2	0.26919141642235866
41288c26	0.3958	tropics	2	0.15371866196924724
687565a5	0.3965	tropics	2	0.17057123599931998
6eb2247a	0.4015	tropics	2	0.17057123599931998
f69b029	0.4126	tropics	2	0.17057123599931998
3d448b2f	0.4218	tropics	2	0.17057123599931998
50b213a0	0.4241	tropics	2	0.17057123599931998
7bbeebc	0.4285	tropics	2	0.11715511887534277
1c39dae7	0.4417	north	2	0.17056929057276315
5affa761	0.4515	tropics	17	0.050000000000000044
4a840024	0.4741	tropics	2	0.17056929057276315
24a13d04	0.4881	tropics	2	0.15371866196924724
307d8c35	0.4939	tropics	2	0.17057123599931998
325d9ad7	0.4968	tropics	2	0.11411444501769133
6234f4b9	0.497	tropics	2	0.17057123599931998
304823dc	0.5202	tropics	17	0.11221272516107829
767405a7	0.5259	tropics	2	0.17056929057276315
214eea38	0.5414	tropics	2	0.17057123599931998
5b8e43b	0.5481	tropics	2	0.17057123599931998
5d4e312f	0.5638	tropics	2	0.17057123599931998
43d19bae	0.573	tropics	2	0.11411444501769133
20fef060	0.607	tropics	2	0.17057123599931998
1c69ca6e	0.6129	tropics	2	0.15371866196924724
6ef3eb61	0.6277	tropics	2	0.15371866196924724
4bf79a1a	0.6661	tropics	17	0.07176955473064957
674f1f8f	0.7034	tropics	2	0.17056929057276315
b085b65	0.7071	tropics	2	0.11411444501769133
341ce204	0.7095	tropics	2	0.15371866196924724
3cb57e2	0.7487	tropics	2	0.16981923544150027
581eafcc	0.753	tropics	2	0.11411444501769133
432081aa	0.772	tropics	2	0.17057123599931998
17fbf3a9	0.8072	tropics	2	0.11411444501769133
539e600b	0.8356	tropics	2	0.1141167225323953
737c3c3e	0.8646	tropics	2	0.17057123599931998
26520bb0	0.8735	tropics	2	0.17057123599931998
685580a	0.8817	tropics	2	0.11411444501769133
7c0683c1	0.8987	tropics	17	0.050000000000000044
2c4e9e21	0.906	tropics	2	0.17057123599931998
68e1acde	0.9344	tropics	17	0.06695263284916958
91b3f48	0.9602	north	2	0.15371866196924724
3516ffae	0.992	tropics	2	0.11411444501769133
58e41c7f	1.0033	tropics	17	0.050000000000000044
564d9a7f	1.0053	north	17	0.050000000000000044
60aee23e	1.0105	north	2	0.11411444501769133
7f4a6426	1.0294	north	2	0.15371866196924724
491f3642	1.0323	north	2	0.15479926691272053
4b8462d6	1.0482	tropics	17	0.050000000000000044
54a36686	1.0538	north	17	0.050000000000000044
2fb56b04	1.0711	north	17	0.050000000000000044
3f7af39b	1.1026	north	17	0.06791080883170002
3d68802a	1.1061	north	2	0.14933569766166324
47abb902	1.1118	tropics	2	0.15371866196924724
1d685c12	1.1152	north	17	0.050000000000000044
6dcd94aa	1.1164	tropics	17	0.11221272516107829
7da7f5b	1.1177	north	2	0.15371866196924724
6bd66fde	1.1223	north	17	0.050000000000000044
3a09065	1.1239	tropics	2	0.17056929057276315
4fdb17ea	1.1275	north	17	0.050000000000000044
1111c7ef	1.1319	north	2	0.11411444501769133
59d44859	1.1326	north	2	0.11411444501769133
596310b2	1.1356	north	17	0.050000000000000044
2a7fc80b	1.1522	north	2	0.11411444501769133
511d4f9	1.1575	north	17	0.050000000000000044
47dbddee	1.1585	north	2	0.10270349599811929
4a3e1811	1.1628	north	17	0.050000000000000044
8715d3d	1.1651	tropics	2	0.11343198248887175
6a835de1	1.1675	north	17	0.050000000000000044
2d89b5d1	1.1706	tropics	17	0.050000000000000044
e02ce7e	1.1753	north	17	0.050000000000000044
35a1286f	1.1759	north	2	0.17057123599931998
1d2927a2	1.1778	north	17	0.050000000000000044
44b8e0f7	1.1809	north	17	0.050000000000000044
16aa8dc9	1.1836	tropics	2	0.11343198248887175
53d2b507	1.1844	north	17	0.06694834274196557
30c33d63	1.1864	tropics	2	0.11411444501769133
bb04827	1.1871	north	17	0.050000000000000044
5c80a1a0	1.1896	north	17	0.050000000000000044
1b7370a0	1.1897	north	17	0.08540332874762963
48a5c302	1.1913	north	17	0.06283678870705997
13b57555	1.1923	tropics	17	0.050000000000000044
46134a80	1.1958	north	17	0.050000000000000044
4a66a03b	1.2038	tropics	2	0.11411444501769133
5243a981	1.2048	tropics	17	0.050000000000000044
48d44df1	1.2089	north	17	0.05098323316028224
5709640c	1.209	north	2	0.11411444501769133
70299885	1.2093	tropics	17	0.050000000000000044
1064416b	1.2118	north	17	0.050000000000000044
602453b	1.2149	north	2	0.17057123599931998
38e0ec05	1.2175	north	17	0.050000000000000044
1acf6aaf	1.2199	north	17	0.050000000000000044
4850bc45	1.2208	tropics	17	0.07176955473064957
78bfc437	1.2213	north	17	0.050000000000000044
74d64587	1.2243	north	17	0.06695263284916958
252a047c	1.2268	north	17	0.050000000000000044
18037574	1.2273	north	17	0.050000000000000044
792dc90e	1.2302	north	17	0.050000000000000044
3248b173	1.2314	tropics	2	0.17057123599931998
