name_seq	index	groups
257eb400	0.89080541334972	3
3efb165d	0.719688761554937	3
1e0b518b	0.588994904959661	3
576c71ea	0.788729536049489	3
78d1ddb0	0.505806917163913	3
1b619fd9	0.634949598433188	3
6b141244	0.53084388379205	3
66ff053d	0.409451256511725	3
28ecc71f	0.534298803310423	3
1697ce25	0.433045169797394	3
fe3066d	0.404923566301024	3
705591c6	0.73433973538438	3
40f54507	0.642735412901969	3
12312fc0	0.610381805275248	3
7376f92d	0.807661586591313	3
117d9c06	0.748876998384026	3
6f725d9b	0.768303679848841	3
20632973	0.634197160039884	3
283d342c	0.620173606178433	3
239f6c1	0.64981180820374	3
33858ff	0.623589068397715	3
57e5ce31	0.740115924550747	3
25a4820	0.74237835861978	3
7f304ba4	0.606693596773361	3
58a64c74	0.609381587612713	3
34e65483	0.700334969205982	3
3a23fb3c	0.640328651855898	3
5cf4123	0.606940140496188	3
1a611fa0	0.713960079381929	3
452f96ed	0.606229047657568	3
2f31bb47	0.740554871959019	3
5213ce49	0.665625815071968	3
6338e772	0.747245541803893	3
51da3036	0.629873469397732	3
b4a6f85	0.62950012592595	3
5a147ddd	0.738075206965683	3
2c339b8b	0.729388946829896	3
6820e2c	0.736870006229276	3
17fc6057	0.645921177784579	3
5a45f4d6	0.617575039617425	3
5ca1ed47	0.64154425004284	3
3fdf4a81	0.625490331004988	3
74e9e08a	0.712094160998578	3
49ebc631	0.740526071990879	3
22774cbb	0.624762057011574	3
520df321	0.730620278353057	3
2fb4111b	0.663874115835417	3
45463168	0.748095851225247	3
63568448	0.606535849419077	3
3617e366	0.735102256090931	3
7dd02ef8	0.618352187053179	3
60598e71	0.635476028317601	3
409a7cf4	0.612865100222363	3
2a900e53	0.583652290754171	3
6a142f57	0.642182972950832	3
7232956e	0.601583944078067	3
885b4b9	0.771209700830447	3
15901667	0.71641466442291	3
2e605d03	0.739657024312033	3
7ae52e19	0.645903261359271	3
248d16db	0.722164905998674	3
4dc2057e	0.607929521827217	3
276dbc6	0.821011078556742	3
