pivot_date	model	location	inference_method	iterations	learning_rate	num_samples	num_iterations	initial_loss	final_loss	min_loss	total_improvement	converged	relative_change	threshold	window	final_iteration
2042-04-01	FGA	south	InferFullRank	50000		500	50000	232129.0625				False		0.01	100	50000
2042-10-01	FGA	south	InferFullRank	50000		500	50000	8335126.0				False		0.01	100	50000
2043-04-01	FGA	south	InferFullRank	50000		500	50000	3578420.25				False		0.01	100	50000
2043-10-01	FGA	south	InferFullRank	50000		500	50000	3702229.5	501.6346435546875		3701727.75	True	0.10505419224500656	0.01	100	50000
2046-10-01	FGA	south	InferFullRank	50000		500	50000	46418.25	557.7554321289062		45860.49609375	True	0.018659744411706924	0.01	100	50000
2047-04-01	FGA	south	InferFullRank	50000		500	50000	1341910.375				False		0.01	100	50000
2047-10-01	FGA	south	InferFullRank	50000		500	50000	109272576.0				False		0.01	100	50000
2048-04-01	FGA	south	InferFullRank	50000		500	50000	960772.8125				False		0.01	100	50000
2048-10-01	FGA	south	InferFullRank	50000		500	50000	8297565.0				False		0.01	100	50000
2049-04-01	FGA	south	InferFullRank	50000		500	50000	10274673.0	1271.421875		10273402.0	True	0.0025330546777695417	0.01	100	50000
2049-10-01	FGA	south	InferFullRank	50000		500	50000	173214192.0				False		0.01	100	50000
2050-04-01	FGA	south	InferFullRank	50000		500	50000	104972480.0				False		0.01	100	50000
2051-10-01	FGA	south	InferFullRank	50000		500	50000	98049776.0				False		0.01	100	50000
2052-04-01	FGA	south	InferFullRank	50000		500	50000	108909552.0				False		0.01	100	50000
2054-10-01	FGA	south	InferFullRank	50000		500	50000	24463652.0	586.1575927734375		24463066.0	True	0.035142168402671814	0.01	100	50000
2027-04-01	FGA	tropics	InferFullRank	50000		500	50000	47653752.0				False		0.01	100	50000
2027-10-01	FGA	tropics	InferFullRank	50000		500	50000	5574763.5				False		0.01	100	50000
2028-04-01	FGA	tropics	InferFullRank	50000		500	50000	12584740.0				False		0.01	100	50000
2028-10-01	FGA	tropics	InferFullRank	50000		500	50000	10468720.0				False		0.01	100	50000
2029-10-01	FGA	tropics	InferFullRank	50000		500	50000	382482.875				False		0.01	100	50000
2030-04-01	FGA	tropics	InferFullRank	50000		500	50000	513417.46875	1526.94287109375		511890.53125	True	0.052916549146175385	0.01	100	50000
2030-10-01	FGA	tropics	InferFullRank	50000		500	50000	102021128.0	937.2576904296875		102020192.0	True	0.007510742638260126	0.01	100	50000
2031-04-01	FGA	tropics	InferFullRank	50000		500	50000	32083334.0	1007.0318603515625		32082326.0	True	0.040441304445266724	0.01	100	50000
2031-10-01	FGA	tropics	InferFullRank	50000		500	50000	50637628.0				False		0.01	100	50000
2032-04-01	FGA	tropics	InferFullRank	50000		500	50000	249474.34375	707.60595703125		248766.734375	True	0.01192126702517271	0.01	100	50000
2032-10-01	FGA	tropics	InferFullRank	50000		500	50000	55644096.0				False		0.01	100	50000
2033-04-01	FGA	tropics	InferFullRank	50000		500	50000	74527288.0				False		0.01	100	50000
2033-10-01	FGA	tropics	InferFullRank	50000		500	50000	2202182.0				False		0.01	100	50000
2034-04-01	FGA	tropics	InferFullRank	50000		500	50000	36552428.0	1469.5615234375		36550960.0	True	3.372585342731327e-05	0.01	100	50000
2034-10-01	FGA	tropics	InferFullRank	50000		500	50000	65876984.0				False		0.01	100	50000
