path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_3,3,140390.401,90000000.0,0.0,89859609.599,0.5799,1.5965147858003361,196632.9069,3.4727,30.0,0.75,inf,0.1,0.01377,3.1742,1231,0.7983138780804151,1542,31,,0
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_27,27,128537.555,90000000.0,0.0,89871462.445,0.6694,1.6075706863887056,180028.5377,4.0843,30.0,0.75,inf,0.1,0.01362,3.9696,1271,0.7894409937888198,1610,42,10.5,4
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_25,25,153982.9827,90000000.0,0.0,89846017.0173,0.7223,1.724604697417995,215610.8958,3.724,30.0,0.75,inf,0.1,0.01365,3.4323,1311,0.76487747957993,1714,60,2.5,24
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_6,6,144207.241,90000000.0,0.0,89855792.759,0.6355,1.6423829713694686,201947.0607,3.7291,30.0,0.75,inf,0.1,0.01363,3.4754,1253,0.7621654501216545,1644,70,2.8,25
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_26,26,194697.8312,90000000.0,0.0,89805302.1688,0.7208,2.012684990646229,272711.3165,3.1495,30.0,0.75,inf,0.1,0.01364,3.1986,1366,0.7918840579710145,1725,65,3.611111111111111,18
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_28,28,185523.5654,90000000.0,0.0,89814476.4346,0.9451,3.3472939383251643,259854.7075,3.6037,30.0,0.75,inf,0.1,0.01368,3.908,1457,0.8121516164994426,1794,65,3.823529411764706,17
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_5,5,221697.6221,90000000.0,0.0,89778302.3779,2.0501,5.221477037246326,310596.0173,4.5233,30.0,0.75,inf,0.1,0.01361,4.8085,1469,0.8053728070175439,1824,83,2.9642857142857144,28
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_8,8,123434.7436,90000000.0,0.0,89876565.2564,0.8298,1.8131880308719104,172921.9482,4.6025,30.0,0.75,inf,0.1,0.01361,4.5461,1317,0.7957703927492447,1655,63,3.0,21
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_4,4,249295.0806,90000000.0,0.0,89750704.9194,3.7717,7.457237494340333,349167.0806,8.85,30.0,0.75,inf,0.1,0.01363,9.9955,1490,0.8054054054054054,1850,80,7.2727272727272725,11
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_29,29,212568.7129,90000000.0,0.0,89787431.2871,5.2972,10.055813945327454,297743.7417,9.5083,30.0,0.75,inf,0.1,0.0136,11.9419,1499,0.8195735374521597,1829,101,3.0606060606060606,33
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_7,7,233338.5701,90000000.0,0.0,89766661.4299,3.6106,11.211710922806295,326831.8582,8.0341,30.0,0.75,inf,0.1,0.01365,10.6076,1519,0.7738155883851248,1963,106,4.818181818181818,22
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_1,1,248429.1953,90000000.0,0.0,89751570.8047,5.3301,7.064014345939322,347960.2559,6.5618,30.0,1.0,inf,0.1,0.01366,7.374,2138,1.1613253666485606,1841,50,4.166666666666667,12
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_9,9,215292.3256,90000000.0,0.0,89784707.6744,3.3983,14.155993329374954,301542.5143,5.808,30.0,0.75,inf,0.1,0.01369,6.7219,1635,0.8419155509783728,1942,102,2.6153846153846154,39
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_0,0,344691.2769,90000000.0,0.0,89655308.7231,8.2439,16.716986486769237,482878.6132,9.0418,30.0,1.0,inf,0.1,0.0136,12.1469,2163,1.0723847297967277,2017,200,3.1746031746031744,63
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_10,10,154618.1451,90000000.0,0.0,89845381.8549,0.6626,1.824245945904199,216582.7711,3.6756,30.0,1.0,inf,0.1,0.01363,3.5116,1736,1.0005763688760807,1735,67,6.090909090909091,11
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_11,11,175019.9659,90000000.0,0.0,89824980.0341,0.5531,1.8081137827180445,245135.0076,3.1694,30.0,1.0,inf,0.1,0.0137,2.9259,1787,1.06877990430622,1672,53,17.666666666666668,3
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_15,15,135138.7794,90000000.0,0.0,89864861.2206,0.5361,1.5555563225289475,189306.1113,3.2477,30.0,1.0,inf,0.1,0.01357,3.1949,1603,1.0088105726872247,1589,74,2.8461538461538463,26
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_12,12,194485.7967,90000000.0,0.0,89805514.2033,0.8027,2.3937397971124432,272388.438,3.1483,30.0,1.0,inf,0.1,0.01363,3.3042,1855,1.1028537455410226,1682,79,3.16,25
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_13,13,178779.0628,90000000.0,0.0,89821220.9372,0.6684,2.06849508679158,250317.5975,3.369,30.0,1.0,inf,0.1,0.01369,3.25,1731,1.0465538089480049,1654,57,19.0,3
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_14,14,284257.1781,90000000.0,0.0,89715742.8219,5.6096,9.96415159316046,398039.6624,6.6029,30.0,1.0,inf,0.1,0.01365,8.209,2060,1.07012987012987,1925,92,5.411764705882353,17
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_17,17,217629.8721,90000000.0,0.0,89782370.1279,0.9874,2.6368344027043706,304866.087,3.4122,30.0,1.0,inf,0.1,0.01361,4.027,1905,1.0780984719864177,1767,71,2.730769230769231,26
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_2,2,171104.6995,90000000.0,0.0,89828895.3005,0.6494,2.0526309623433656,239675.2353,3.2432,30.0,1.0,inf,0.1,0.01364,3.0012,1748,1.0092378752886837,1732,86,2.4571428571428573,35
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_16,16,297455.0281,90000000.0,0.0,89702544.9719,4.5491,8.371894774056182,416641.5914,8.6644,30.0,1.0,inf,0.1,0.01359,12.423,2114,1.050173869846001,2013,66,4.714285714285714,14
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_1.0/run_18,18,239446.2372,90000000.0,0.0,89760553.7628,3.4212,4.893457808798773,335408.1029,7.3664,30.0,1.0,inf,0.1,0.01362,10.01,2039,1.0748550342646284,1897,102,3.5172413793103448,29
