variant	country	date	freq	median_freq_nowcast	median_freq_forecast	model
13	south	2048-04-06	0.5	0.5		NAIVE
13	south	2048-04-07	0.5	0.5		NAIVE
13	south	2048-04-08	0.5	0.5		NAIVE
13	south	2048-04-09	0.5	0.5		NAIVE
13	south	2048-04-10	0.5	0.5		NAIVE
13	south	2048-04-11	0.5	0.5		NAIVE
13	south	2048-04-12	0.5	0.5		NAIVE
13	south	2048-04-13	0.5	0.5		NAIVE
13	south	2048-04-14	0.5	0.5		NAIVE
13	south	2048-04-15	0.5	0.5		NAIVE
13	south	2048-04-16	0.5	0.5		NAIVE
13	south	2048-04-17	0.5	0.5		NAIVE
13	south	2048-04-18	0.5	0.5		NAIVE
13	south	2048-04-19	0.5	0.5		NAIVE
13	south	2048-04-20	0.75	0.75		NAIVE
13	south	2048-04-21	0.75	0.75		NAIVE
13	south	2048-04-22	0.75	0.75		NAIVE
13	south	2048-04-23	0.75	0.75		NAIVE
13	south	2048-04-24	0.75	0.75		NAIVE
13	south	2048-04-25	0.75	0.75		NAIVE
13	south	2048-04-26	0.75	0.75		NAIVE
13	south	2048-04-27	0.75	0.75		NAIVE
13	south	2048-04-28	0.75	0.75		NAIVE
13	south	2048-04-29	0.75	0.75		NAIVE
13	south	2048-04-30	0.75	0.75		NAIVE
13	south	2048-05-01	0.75	0.75		NAIVE
13	south	2048-05-02	0.75	0.75		NAIVE
13	south	2048-05-03	0.75	0.75		NAIVE
13	south	2048-05-04	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-05	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-06	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-07	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-08	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-09	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-10	0.7222222222222222	0.7222222222222222		NAIVE
13	south	2048-05-11	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-12	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-13	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-14	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-15	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-16	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-17	0.7416666666666667	0.7416666666666667		NAIVE
13	south	2048-05-18	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-19	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-20	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-21	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-22	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-23	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-24	0.7266666666666667	0.7266666666666667		NAIVE
13	south	2048-05-25	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-05-26	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-05-27	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-05-28	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-05-29	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-05-30	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-05-31	0.6293650793650793	0.6293650793650793		NAIVE
13	south	2048-06-01	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-02	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-03	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-04	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-05	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-06	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-07	0.6188208616780045	0.6188208616780045		NAIVE
13	south	2048-06-08	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-09	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-10	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-11	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-12	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-13	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-14	0.5759637188208616	0.5759637188208616		NAIVE
13	south	2048-06-15	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-16	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-17	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-18	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-19	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-20	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-21	0.5188208616780046	0.5188208616780046		NAIVE
13	south	2048-06-22	0.4664399092970522	0.4664399092970522		NAIVE
13	south	2048-06-23	0.4664399092970522	0.4664399092970522		NAIVE
13	south	2048-06-24	0.4664399092970522	0.4664399092970522		NAIVE
