country	model	pivot_date	lead	variant	date	MAE	MSE	loglik	coverage_posterior	coverage_predictive	total_seq	raw_freq	smoothed_freq	pred_freq
tropics	FGA	2025-10-01	-283	0	2024-12-22	0.0	0.0	0.0	1	1	1.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-276	0	2024-12-29	0.0	0.0	0.0	1	1	1.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-269	0	2025-01-05	0.0	0.0	0.0	1	1	4.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-262	0	2025-01-12	0.0	0.0	0.0	1	1	8.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-255	0	2025-01-19	0.0	0.0	0.0	1	1	8.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-248	0	2025-01-26	0.0	0.0	0.0	1	1	6.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-241	0	2025-02-02	0.0	0.0	0.0	1	1	6.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-234	0	2025-02-09	0.0	0.0	0.0	1	1	5.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-227	0	2025-02-16	0.0	0.0	0.0	1	1	1.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-220	0	2025-02-23	0.0	0.0	0.0	1	1	5.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-213	0	2025-03-02	0.0	0.0	0.0	1	1	3.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-206	0	2025-03-09	0.0	0.0	0.0	1	1	3.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-199	0	2025-03-16	0.0	0.0	0.0	1	1	4.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-192	0	2025-03-23	0.0	0.0	0.0	1	1	2.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-185	0	2025-03-30	0.0	0.0	0.0	1	1	6.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-178	0	2025-04-06	0.0	0.0	0.0	1	1	3.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-164	0	2025-04-20	0.0	0.0	0.0	1	1	6.0	1.0	1.0	1.0
tropics	FGA	2025-10-01	-157	0	2025-04-27	0.04761904761904756	0.002267573696145119	0.0	0	0	3.0	1.0	0.9523809523809524	1.0
tropics	FGA	2025-10-01	-150	0	2025-05-04	0.04761904761904756	0.002267573696145119	0.0	0	0	3.0	1.0	0.9523809523809524	1.0
tropics	FGA	2025-10-01	-143	0	2025-05-11	0.0009087476190475785	8.258222351246429e-07	-0.09567286822912177	1	1	2.0	1.0	0.9523809523809524	0.9532897
tropics	FGA	2025-10-01	-136	0	2025-05-18	0.053524792380952424	0.0028649033994240626	-1.4058638428324763	1	1	3.0	0.6666666666666666	0.9523809523809524	0.89885616
tropics	FGA	2025-10-01	-129	0	2025-05-25	0.07002993047619044	0.004904191162500066	-0.38502184131556705	1	1	3.0	1.0	0.8095238095238095	0.87955374
tropics	FGA	2025-10-01	-122	0	2025-06-01	0.04890145047619043	0.0023913518586753057	-0.1526556612579756	1	1	1.0	1.0	0.8095238095238095	0.85842526
tropics	FGA	2025-10-01	-115	0	2025-06-08	0.027543490476190424	0.0007586438676119926	-0.17785080551240376	1	1	1.0	1.0	0.8095238095238095	0.8370673
tropics	FGA	2025-10-01	-108	0	2025-06-15	0.09641178571428566	0.009295232424617337	-1.6644090143036163	1	1	1.0	0.0	0.7142857142857143	0.8106975
tropics	FGA	2025-10-01	-101	0	2025-06-22	0.2125223285714286	0.04516574014142226	-0.48681777628787315	0	1	2.0	1.0	0.5714285714285714	0.7839509
tropics	FGA	2025-10-01	-94	0	2025-06-29	0.32499060142857145	0.10561889101690458	-0.5658878836177487	0	1	2.0	1.0	0.42857142857142855	0.75356203
tropics	FGA	2025-10-01	-87	0	2025-07-06	0.2918139714285714	0.08515539392091509		0	0	0.0	0.0	0.42857142857142855	0.7203854
tropics	FGA	2025-10-01	-80	0	2025-07-13	0.2567725714285714	0.0659321534380408	-1.156275300384391	0	1	1.0	0.0	0.42857142857142855	0.685344
tropics	FGA	2025-10-01	-73	0	2025-07-20	0.35992011428571435	0.12954248866744167		0	0	0.0	0.0	0.2857142857142857	0.6456344
tropics	FGA	2025-10-01	-66	0	2025-07-27	0.3890143857142857	0.15133219229266306	-1.0106810555608412	0	1	2.0	1.0	0.21428571428571427	0.6033001
tropics	FGA	2025-10-01	-59	0	2025-08-03	0.2750686142857143	0.07566274256506306	-0.8227614551185117	0	1	1.0	0.0	0.2857142857142857	0.5607829
tropics	FGA	2025-10-01	-52	0	2025-08-10	0.09158913142857145	0.008388568995840133	-0.7343037310378043	1	1	1.0	0.0	0.42857142857142855	0.52016056
tropics	FGA	2025-10-01	-45	0	2025-08-17	0.02323913999999999	0.0005400576279395996	-0.695309747735397	1	1	2.0	0.5	0.5	0.47676086
tropics	FGA	2025-10-01	-38	0	2025-08-24	0.0064959314285714664	4.219712512470253e-05	-0.7101560049289587	1	1	2.0	0.5	0.42857142857142855	0.43506736
tropics	FGA	2025-10-01	-31	0	2025-08-31	0.11988437428571436	0.014372263197877249	-1.860772517387011	1	1	2.0	1.0	0.5142857142857143	0.39440134
tropics	FGA	2025-10-01	-24	0	2025-09-07	0.16021261428571437	0.025668081776263087	-1.1588821897478208	0	1	4.0	0.5	0.5142857142857143	0.3540731
tropics	FGA	2025-10-01	-17	0	2025-09-14	0.17561059047619043	0.030839079487396264	-1.2757398376863518	0	1	4.0	0.5	0.49047619047619045	0.3148656
tropics	FGA	2025-10-01	-10	0	2025-09-21	0.1891509666666667	0.035778088190934455	-2.1931673981352673	0	1	5.0	0.6	0.4666666666666667	0.2775157
tropics	FGA	2025-10-01	-3	0	2025-09-28	0.08083759380952382	0.006534716572913564	-1.1134197826036571	1	1	4.0	0.0	0.3238095238095238	0.24297193
