analysis_date	model	location	all_variants_flat	n_seqs	n_cases	seq_entropy	seq_norm_entropy	case_entropy	case_norm_entropy	max_fitness_sd	max_fitness_variant	max_Rt_sd	max_Rt_variant	avg_cv_fitness	avg_cv_Rt	max_cv	max_cv_source	ssd	combined_flatness_correlation	pearson_corr	r2	pearson_corr_roi	r2_roi	spearman_corr	spearman_corr_roi
2025-04-01	FGA	north	False	19	126	3.036372249830224	0.9578687976682976	3.517697628708842	0.9506161150156365	0.05850722104330038	22	0.2945443996110153	22	0.054838818992480526	0.23484123565952286	0.23484123565952286	Rt	0.18575642896315742	0.9071217855184213	0.9071217855184212	0.8228699337621285			1.0	1.0
2025-10-01	FGA	north	False	39	265	3.967861757701885	0.9515427151158505	4.755958202880924	0.8998290018322779	0.094228344204893	22	0.2280674768589096	20	0.09782416104494535	0.18739868057663794	0.18739868057663794	Rt	0.17148980331728295	0.9142550983413587	0.9142550983413587	0.8358623848431673			-0.8000000000000002	-0.8000000000000002
2026-04-01	FGA	north	False	169	1497	3.9548422698626435	0.8516289282538042	4.276019769778712	0.7501210399911251	0.077329759385103	20	0.1703595406535371	20	0.11057508690145196	0.1798298216592714	0.1798298216592714	Rt	0.221263715395542	0.8893681423022288	0.8893681423022288	0.7909756925421175	0.653924124961795	0.4276167612070492		
2026-10-01	FGA	north	False	338	2829	4.721553272452297	0.881289303096345	4.924020694746281	0.8637966434547262	0.07229524672309609	16	0.10551455577883985	16	0.11549276556815231	0.09573858283837122	0.11549276556815231	fitness	0.07503700925269467	0.9624814953736527	0.9624814953736527	0.9263706289367026	0.79736933865251	0.6357978622231413	0.9999999999999999	0.9999999999999999
2027-04-01	FGA	north	False	2526	21606	4.143048441566245	0.730383952506336	4.132250788354801	0.7249003572837227	0.07672790221803116	20	0.11104341787440832	20	0.117886971142518	0.09981974163364012	0.117886971142518	fitness	0.30768605120833725	0.8461569743958313	0.8461569743958313	0.7159816253187075	-0.07284424205660356	0.005306283600801051	1.0	1.0
2027-10-01	FGA	north	False	3047	26073	4.395115267342031	0.7869551974206654	4.389237234420332	0.769982220924469	0.13595178724327853	2	0.1515629939930602	20	0.21620368264619605	0.1439422105682746	0.21620368264619605	fitness	0.10829525054147322	0.9458523747292634	0.9458523747292633	0.8946367147809867	0.8936516039299855	0.7986131892066357	-0.2	-0.2
2028-04-01	FGA	north	False	750	6318	3.5039005854332474	0.6540114930126609	3.5477924526751776	0.6223717165861214	0.08090615614200686	2	0.07785480691684628	20	0.11180754446335835	0.07901670475806503	0.11180754446335835	fitness	0.2660950834834334	0.8669524582582833	0.8669524582582833	0.7516065648800804	0.5881559749664668	0.3459274508887551	-0.6	-0.6
2028-10-01	FGA	north	False	117	1024	5.171712374100111	0.9472986815046871	5.502791066379634	0.9653274726978588	0.06766641565683969	5	0.03793529656218859	27	0.10278883647272659	0.034665758597272237	0.10278883647272659	fitness	0.26196338446544104	0.8690183077672795	0.8690183077672795	0.7551928192347062	-0.12392191150745384	0.01535664015166122	0.6999999999999998	0.6999999999999998
2029-04-01	FGA	north	False	4151	35932	4.193014356006146	0.7391925152334983	4.223633922692317	0.7373764974909037	0.09717883976210255	5	0.10134489008712701	5	0.1523157612803577	0.09342847179499665	0.1523157612803577	fitness	0.1406184603350278	0.929690769832486	0.9296907698324861	0.8643249275117206	0.4957742730028034	0.24579212977145826	1.0	1.0
2029-10-01	FGA	north	False	4181	36200	4.19665674898996	0.7733969753970025	4.228425547421387	0.7382130357716079	0.1370242917194931	2	0.17836711890184032	2	0.26250639537669934	0.15695188705620763	0.26250639537669934	fitness	0.09335545805135347	0.9533222709743232	0.9533222709743232	0.9088233523356409	0.9162351239553823	0.8394868023695348	0.8	0.8
2030-04-01	FGA	north	False	431	3792	4.5737384313100256	0.8536993065802386	4.730361136986378	0.8258426726610517	0.058343555706872864	2	0.1147637025191846	2	0.11249670872950393	0.1146976376292308	0.1146976376292308	Rt	0.5101817360648826	0.7449091319675587	0.7449091319675587	0.5548896148886617	0.5524909534084166	0.30524625359814117	0.4	0.4
2030-10-01	FGA	north	False	425	3620	4.8049033595179225	0.8968467978241198	5.004237287887736	0.8736569104937666	0.060643184271470196	2	0.09247516651201021	2	0.10769870325158298	0.09337122584153414	0.10769870325158298	fitness	0.2079372068299861	0.8960313965850069	0.8960313965850069	0.8028722636660779	0.002800115779823901	7.840648380418813e-06	0.5	0.5
2031-04-01	FGA	north	False	1392	12341	3.547685905179629	0.6760165600785344	3.656130822653067	0.6382998597231527	0.07859901029993162	8	0.1158106654155177	8	0.11825144522937962	0.10251875375045139	0.11825144522937962	fitness	0.40038318077442586	0.7998084096127872	0.7998084096127872	0.6396934920873361	0.011532155943835443	0.00013299062071293912	1.0	1.0
2031-10-01	FGA	north	False	3195	27354	4.273349049757481	0.7736582089156117	4.291494139251491	0.7528356322397781	0.14947189537143898	15	0.18093798795221244	8	0.22081465159809163	0.17067443175582456	0.22081465159809163	fitness	0.1185464686921931	0.9407267656539036	0.9407267656539036	0.8849668476176544	0.961464374614501	0.9244137436528534	-0.5	-0.5
2032-04-01	FGA	north	False	2511	21454	4.257924013665695	0.7544352425882154	4.263578564877262	0.7479385408302521	0.06664497894464569	15	0.12253017782351283	8	0.10986192456991915	0.12233721191310389	0.12233721191310389	Rt	0.5758731736212345	0.7120634131893827	0.7120634131893827	0.5070343044029135	-0.0645717471697755	0.00416951053255741	-0.5	-0.5
2032-10-01	FGA	north	False	1611	13580	4.620119655829088	0.8186104501031769	4.643641412446823	0.8146110900302811	0.09684356857052205	15	0.09058587061029878	15	0.16051755375843593	0.08384932199162792	0.16051755375843593	fitness	0.10749165009224507	0.9462541749538772	0.9462541749538772	0.8953969636176429	0.990750258526493	0.9815860747703128	0.9999999999999999	0.9999999999999999
2033-04-01	FGA	north	False	1438	11794	4.723922188173935	0.8327870184946496	4.7823113366337635	0.83893727029768	0.06391000345363264	9	0.08208961959933947	9	0.10472633285059478	0.0755607875106959	0.10472633285059478	fitness	0.3298566093521987	0.8350716953239007	0.8350716953239007	0.6973447363311336	-0.37205261605683204	0.13842314911473247	1.0	1.0
