analysis_date	model	location	n_seqs	n_cases	seq_entropy	seq_norm_entropy	case_entropy	case_norm_entropy	combined_flatness_correlation	pearson_corr	r2	pearson_corr_roi	r2_roi	spearman_corr	spearman_corr_roi	is_outlier	deviation_from_median
2038-04-01	GARW	north	314	3008	2.910838530855643	0.7866196324143597	3.083450258542726	0.5383193225189201	-0.7886707363401565	-0.7886707363401565	0.6220015303593246	-0.6657548310416442	0.44322949505528825	0.29999999999999993	0.29999999999999993	True	1.6495593372340425
2038-04-01	FGA	north	314	3008	2.910838530855643	0.7866196324143597	3.083450258542726	0.5383193225189201	-0.7383464728163827	-0.7383464728163827	0.5451555139203933	-0.5028955375982381	0.25290392173622095	-0.29999999999999993	-0.29999999999999993	True	1.5845034472122137
2025-04-01	GARW	north	19	126	3.036372249830224	0.9578687976682976	3.517697628708842	0.9506161150156365	-0.6862066298466716	-0.6862066298466716	0.47087953884552697			-1.0	-1.0	True	1.5470952307405577
2025-04-01	FGA	north	19	126	3.036372249830224	0.9578687976682976	3.517697628708842	0.9506161150156365	-0.6855003804090756	-0.6855003804090756	0.4699107715409873			-1.0	-1.0	True	1.5316573548049068
2035-04-01	GARW	north	253	1934	2.9612117221906638	0.664033440901947	2.9284822483775255	0.5137291846202525	-0.546528749961852	-0.5465287499618519	0.2986936745348644	-0.6727908465584672	0.45264752321285895	-0.8000000000000002	-0.8000000000000002	True	1.407417350855738
2048-04-01	FGA	north	61	527	4.465848051722046	0.9500915487728409	4.586840840099822	0.8046468460148171	-0.45582496189289484	-0.45582496189289484	0.20777639588465904	-0.6142049724340656	0.37724774816273127	-0.5000000000000001	-0.5000000000000001	True	1.301981936288726
2040-10-01	FGA	south	15	133	3.323231428797621	0.9606293157795306	4.1099969296807	0.7209964727108747	-0.33587269871673886	-0.33587269871673886	0.11281046974326524	-0.6871086481504194	0.4721182943630968	-1.0	-1.0	True	1.2269463165836278
2048-04-01	GARW	north	61	527	4.465848051722046	0.9500915487728409	4.586840840099822	0.8046468460148171	-0.34758659008341725	-0.34758659008341725	0.12081643760581753	-0.5122963750938225	0.2624475759342705	0.5000000000000001	0.5000000000000001	True	1.2084751909773033
2040-10-01	GARW	south	15	133	3.323231428797621	0.9606293157795306	4.1099969296807	0.7209964727108747	-0.28193237371688185	-0.2819323737168818	0.07948586334963549	-0.6599229898991766	0.4354983525974688	-1.0	-1.0	True	1.1502156235530243
2047-10-01	GARW	north	12	74	3.41829583405449	0.9881090915741207	4.958528703057483	0.8698502130068054	-0.12230296463095011	-0.1223029646309501	0.014958015157519431	0.5360423169228898	0.28734136553205986	-1.0	-1.0	True	0.9831915655248362
2047-10-01	FGA	north	12	74	3.41829583405449	0.9881090915741207	4.958528703057483	0.8698502130068054	-0.09377578239490407	-0.09377578239490406	0.008793897363776398	0.518917369853676	0.26927523673585674	-1.0	-1.0	True	0.9399327567907352
2038-10-01	FGA	south	0	0	0.0	0.0	0.0	0.0	0.020985058521167128	0.020985058521167128	0.0004403726811368091	-0.4690467206907158	0.22000482619071435			True	0.8700885593457218
2038-10-01	GARW	south	0	0	0.0	0.0	0.0	0.0	0.03295556747617749	0.0329555674761775	0.001086069427676888	-0.45519734664210176	0.20720462439000975			True	0.8353276823599651
2037-10-01	GARW	south	147	1104	2.6059831691623603	0.704236082103094	2.822374071141815	0.4951151508821128	0.04392308373259938	0.04392308373259938	0.0019292372845809362	-0.2721764463396157	0.07408001794206169	-0.6461538461538462	-0.6461538461538462	True	0.8243601661035432
2025-04-01	FGA	south	0	9	0.0	0.0	2.4193819456463714	0.6538093118462535	0.08688346010765696	0.08688346010765696	0.007548735640278819			1.0	1.0	True	0.8041901577592321
2035-10-01	FGA	north	16	78	3.75	0.9849357563894758	5.424896892211431	0.9516628822417379	0.045246646898204755	0.04524664689820474	0.002047259055530821	0.4826682266840813	0.2329686170503557	0.5000000000000001	0.5000000000000001	True	0.8009103274976264
2037-10-01	FGA	south	147	1104	2.6059831691623603	0.704236082103094	2.822374071141815	0.4951151508821128	0.10153209065469122	0.10153209065469122	0.010308765432712436	-0.16733019388166026	0.027999393784474014	0.20769230769230773	0.20769230769230773	True	0.7895415272121977
2047-04-01	GARW	north	18	106	3.191611641751379	0.9225826648970114	4.446437623440187	0.7800166028051896	0.07378660679743493	0.07378660679743493	0.0054444633426792705	-0.37917812382920685	0.14377604959063733	1.0	1.0	True	0.7871019940964512
2025-04-01	GARW	south	0	9	0.0	0.0	2.4193819456463714	0.6538093118462535	0.10189768629100215	0.10189768629100215	0.010383138471459488			1.0	1.0	True	0.7663855635451404
2045-10-01	FGA	south	591	5020	3.3048859753323403	0.8085421455039793	3.3143579568765213	0.5814214553184207	0.29898696519125967	0.29898696519125967	0.08939320535427953	0.8693846884149776	0.7558297364504077	1.0	1.0	True	0.5920866526756293
2045-10-01	GARW	south	591	5020	3.3048859753323403	0.8085421455039793	3.3143579568765213	0.5814214553184207	0.29395873043161336	0.29395873043161336	0.08641173519696593	0.8756619017581031	0.7667837661906178	1.0	1.0	True	0.5743245194045292
2034-04-01	FGA	north	3881	33798	4.601428810180095	0.8072059415936805	4.5842271853777525	0.8041883454690167	0.34117317324373764	0.34117317324373764	0.11639913414120141	0.20422492096072417	0.04170781834141404	0.29999999999999993	0.29999999999999993	True	0.5049838011520935
