date	country	cases
2025-01-05	north	38
2025-01-05	south	1
2025-01-05	tropics	320
2025-01-11	north	46
2025-01-11	south	1
2025-01-11	tropics	320
2025-01-18	north	54
2025-01-18	south	1
2025-01-18	tropics	325
2025-01-26	north	65
2025-01-26	south	1
2025-01-26	tropics	327
2025-02-02	north	76
2025-02-02	south	0
2025-02-02	tropics	330
2025-02-09	north	86
2025-02-09	south	0
2025-02-09	tropics	332
2025-02-16	north	99
2025-02-16	south	1
2025-02-16	tropics	335
2025-02-22	north	110
2025-02-22	south	1
2025-02-22	tropics	333
2025-03-01	north	119
2025-03-01	south	0
2025-03-01	tropics	338
2025-03-09	north	127
2025-03-09	south	0
2025-03-09	tropics	335
2025-03-16	north	131
2025-03-16	south	1
2025-03-16	tropics	332
2025-03-23	north	135
2025-03-23	south	1
2025-03-23	tropics	329
2025-03-30	north	134
2025-03-30	south	1
2025-03-30	tropics	329
2025-04-05	north	131
2025-04-05	south	1
2025-04-05	tropics	327
2025-04-13	north	120
2025-04-13	south	1
2025-04-13	tropics	322
2025-04-20	north	111
2025-04-20	south	1
2025-04-20	tropics	319
2025-04-27	north	99
2025-04-27	south	2
2025-04-27	tropics	311
2025-05-04	north	88
2025-05-04	south	2
2025-05-04	tropics	302
2025-05-11	north	75
2025-05-11	south	2
2025-05-11	tropics	294
2025-05-17	north	64
2025-05-17	south	2
2025-05-17	tropics	283
2025-05-25	north	52
2025-05-25	south	2
2025-05-25	tropics	277
2025-06-01	north	42
2025-06-01	south	2
2025-06-01	tropics	268
2025-06-08	north	34
2025-06-08	south	3
2025-06-08	tropics	256
2025-06-15	north	28
2025-06-15	south	3
2025-06-15	tropics	246
2025-06-22	north	22
2025-06-22	south	3
2025-06-22	tropics	235
2025-06-28	north	17
2025-06-28	south	3
2025-06-28	tropics	223
2025-07-06	north	14
2025-07-06	south	3
2025-07-06	tropics	215
2025-07-13	north	11
2025-07-13	south	4
2025-07-13	tropics	207
2025-07-20	north	9
2025-07-20	south	3
2025-07-20	tropics	198
2025-07-27	north	7
2025-07-27	south	3
2025-07-27	tropics	191
2025-08-03	north	6
2025-08-03	south	3
2025-08-03	tropics	181
2025-08-10	north	5
2025-08-10	south	3
2025-08-10	tropics	174
2025-08-17	north	5
2025-08-17	south	3
2025-08-17	tropics	167
2025-08-24	north	4
2025-08-24	south	3
2025-08-24	tropics	159
2025-08-31	north	4
2025-08-31	south	2
2025-08-31	tropics	151
2025-09-07	north	4
2025-09-07	south	2
2025-09-07	tropics	142
2025-09-14	north	4
2025-09-14	south	2
2025-09-14	tropics	134
2025-09-21	north	3
2025-09-21	south	1
2025-09-21	tropics	130
2025-09-28	north	4
2025-09-28	south	1
2025-09-28	tropics	126
2025-10-05	north	4
2025-10-05	south	1
2025-10-05	tropics	121
2025-10-12	north	4
2025-10-12	south	1
