date	country	variant	sequences
2026-09-20	tropics	12	9
2026-09-27	north	12	1
2026-09-27	south	12	33
2026-09-27	south	16	4
2026-09-27	tropics	12	8
2026-09-27	tropics	20	2
2026-10-04	north	12	1
2026-10-04	south	12	28
2026-10-04	south	16	5
2026-10-04	tropics	12	11
2026-10-04	tropics	16	2
2026-10-11	north	12	2
2026-10-11	south	12	18
2026-10-11	south	16	5
2026-10-11	tropics	12	7
2026-10-11	tropics	16	2
2026-10-18	north	12	1
2026-10-18	south	12	33
2026-10-18	south	16	3
2026-10-18	tropics	12	9
2026-10-18	tropics	16	2
2026-10-18	tropics	20	1
2026-10-25	north	12	1
2026-10-25	south	12	24
2026-10-25	south	16	4
2026-10-25	tropics	12	5
2026-10-25	tropics	20	2
2026-11-01	north	12	4
2026-11-01	south	12	26
2026-11-01	south	16	5
2026-11-01	tropics	12	8
2026-11-01	tropics	16	1
2026-11-01	tropics	20	1
2026-11-08	north	12	3
2026-11-08	north	16	1
2026-11-08	south	12	15
2026-11-08	south	16	4
2026-11-08	tropics	12	9
2026-11-08	tropics	16	1
2026-11-08	tropics	20	1
2026-11-15	north	12	2
2026-11-15	north	16	1
2026-11-15	south	12	19
2026-11-15	south	16	6
2026-11-15	tropics	12	8
2026-11-15	tropics	16	1
2026-11-22	north	12	4
2026-11-22	north	16	2
2026-11-22	south	12	10
2026-11-22	south	16	4
2026-11-22	tropics	12	6
2026-11-22	tropics	16	2
2026-11-22	tropics	20	2
2026-11-29	north	12	1
2026-11-29	north	16	3
2026-11-29	south	12	13
2026-11-29	south	16	2
2026-11-29	tropics	12	8
2026-11-29	tropics	20	1
2026-12-06	north	12	6
2026-12-06	north	16	5
2026-12-06	north	20	1
2026-12-06	south	12	10
2026-12-06	south	16	1
2026-12-06	tropics	12	5
2026-12-06	tropics	16	1
2026-12-13	north	12	6
2026-12-13	north	16	5
2026-12-13	south	12	10
2026-12-13	south	16	2
2026-12-13	tropics	12	10
2026-12-20	north	12	10
2026-12-20	north	16	7
2026-12-20	south	12	8
2026-12-20	south	16	3
2026-12-20	tropics	12	7
2026-12-20	tropics	16	2
2026-12-27	north	12	12
2026-12-27	north	16	9
2026-12-27	south	12	5
2026-12-27	south	16	4
2026-12-27	tropics	12	6
2026-12-27	tropics	16	1
2026-12-27	tropics	20	2
2027-01-03	north	12	22
2027-01-03	north	16	21
2027-01-03	south	12	3
2027-01-03	south	16	4
2027-01-03	tropics	12	7
2027-01-03	tropics	16	2
2027-01-03	tropics	20	1
2027-01-10	north	12	22
2027-01-10	north	16	27
2027-01-10	north	20	4
2027-01-10	south	12	5
2027-01-10	south	16	4
2027-01-10	tropics	12	8
2027-01-10	tropics	16	1
2027-01-10	tropics	20	2
2027-01-17	north	12	50
2027-01-17	north	16	32
2027-01-17	north	20	1
2027-01-17	south	12	4
2027-01-17	south	16	2
2027-01-17	tropics	12	6
2027-01-17	tropics	16	1
2027-01-17	tropics	20	2
2027-01-24	north	12	57
2027-01-24	north	16	45
2027-01-24	north	20	3
2027-01-24	south	12	3
2027-01-24	tropics	12	4
2027-01-24	tropics	16	2
2027-01-24	tropics	20	5
2027-01-31	north	12	47
2027-01-31	north	16	80
2027-01-31	north	20	7
2027-01-31	south	12	2
2027-01-31	south	16	1
2027-01-31	tropics	12	5
2027-01-31	tropics	16	1
2027-01-31	tropics	20	2
2027-02-07	north	12	70
2027-02-07	north	16	96
2027-02-07	north	20	7
2027-02-07	south	12	1
2027-02-07	south	16	2
2027-02-07	tropics	12	8
2027-02-07	tropics	16	3
2027-02-07	tropics	20	4
2027-02-14	north	12	72
2027-02-14	north	16	120
2027-02-14	north	20	11
2027-02-14	south	12	1
2027-02-14	tropics	12	10
2027-02-14	tropics	16	7
2027-02-14	tropics	20	1
2027-02-21	north	12	84
2027-02-21	north	16	131
2027-02-21	north	20	10
2027-02-21	south	12	1
2027-02-21	south	16	2
2027-02-21	tropics	12	9
2027-02-21	tropics	16	2
2027-02-21	tropics	20	4
2027-02-28	north	12	77
2027-02-28	north	16	156
2027-02-28	north	20	22
2027-02-28	south	16	2
2027-02-28	tropics	12	7
2027-02-28	tropics	16	1
2027-02-28	tropics	20	1
2027-03-07	north	12	94
2027-03-07	north	16	157
2027-03-07	north	20	19
2027-03-07	south	12	3
2027-03-07	tropics	12	4
2027-03-07	tropics	16	3
2027-03-07	tropics	20	5
2027-03-14	north	12	94
2027-03-14	north	16	144
2027-03-14	north	20	24
2027-03-14	south	12	2
2027-03-14	south	16	3
2027-03-14	tropics	12	6
2027-03-14	tropics	16	1
2027-03-14	tropics	20	4
2027-03-21	north	12	62
2027-03-21	north	16	168
2027-03-21	north	20	15
2027-03-21	south	12	1
2027-03-21	south	20	1
2027-03-21	tropics	12	13
2027-03-21	tropics	16	6
2027-03-21	tropics	20	5
2027-03-28	north	12	52
2027-03-28	north	16	126
2027-03-28	north	20	21
2027-03-28	south	12	1
2027-03-28	south	16	3
2027-03-28	tropics	12	7
2027-03-28	tropics	16	3
2027-03-28	tropics	20	6
2027-04-04	north	12	62
2027-04-04	north	16	95
2027-04-04	north	20	19
2027-04-04	south	12	3
2027-04-04	south	20	1
2027-04-04	tropics	12	8
2027-04-04	tropics	16	12
2027-04-04	tropics	20	5
2027-04-11	north	2	1
2027-04-11	north	12	32
2027-04-11	north	16	85
2027-04-11	north	20	12
2027-04-11	south	12	2
2027-04-11	south	16	1
2027-04-11	south	20	2
2027-04-11	tropics	12	7
2027-04-11	tropics	16	5
2027-04-11	tropics	20	9
2027-04-18	north	12	25
2027-04-18	north	16	68
2027-04-18	north	20	13
2027-04-18	south	16	5
2027-04-18	south	20	1
2027-04-18	tropics	12	18
2027-04-18	tropics	16	6
2027-04-18	tropics	20	4
2027-04-25	north	12	15
2027-04-25	north	16	55
2027-04-25	north	20	9
2027-04-25	south	12	3
2027-04-25	south	16	4
2027-04-25	south	20	2
2027-04-25	tropics	12	7
2027-04-25	tropics	16	7
2027-04-25	tropics	20	7
2027-05-02	north	12	15
2027-05-02	north	16	34
2027-05-02	north	20	9
2027-05-02	south	12	2
2027-05-02	south	16	10
2027-05-02	south	20	1
2027-05-02	tropics	12	13
2027-05-02	tropics	16	10
2027-05-02	tropics	20	3
2027-05-09	north	12	12
2027-05-09	north	16	38
2027-05-09	north	20	7
2027-05-09	south	12	2
2027-05-09	south	16	9
2027-05-09	south	20	1
2027-05-09	tropics	12	14
2027-05-09	tropics	16	3
2027-05-09	tropics	20	9
2027-05-16	north	12	1
2027-05-16	north	16	30
2027-05-16	north	20	2
2027-05-16	south	12	3
2027-05-16	south	16	14
2027-05-16	south	20	2
2027-05-16	tropics	12	6
2027-05-16	tropics	16	15
2027-05-16	tropics	20	10
2027-05-23	north	12	2
2027-05-23	north	16	11
2027-05-23	north	20	4
2027-05-23	south	12	3
2027-05-23	south	16	17
2027-05-23	south	20	2
2027-05-23	tropics	12	10
2027-05-23	tropics	16	12
2027-05-23	tropics	20	10
2027-05-30	north	12	2
2027-05-30	north	16	9
2027-05-30	north	20	2
2027-05-30	south	12	6
2027-05-30	south	16	16
2027-05-30	south	20	10
2027-05-30	tropics	12	15
2027-05-30	tropics	16	8
2027-05-30	tropics	20	20
2027-06-06	north	12	2
2027-06-06	north	16	2
2027-06-06	south	12	8
2027-06-06	south	16	30
2027-06-06	south	20	8
2027-06-06	tropics	12	12
2027-06-06	tropics	16	9
2027-06-06	tropics	20	23
2027-06-13	north	12	2
2027-06-13	north	16	4
2027-06-13	north	20	3
2027-06-13	south	12	14
2027-06-13	south	16	38
2027-06-13	south	20	7
2027-06-13	tropics	12	15
2027-06-13	tropics	16	13
2027-06-13	tropics	20	15
2027-06-20	north	12	2
2027-06-20	north	16	4
2027-06-20	north	20	2
2027-06-20	south	12	18
2027-06-20	south	16	53
2027-06-20	south	20	19
2027-06-20	tropics	12	10
2027-06-20	tropics	16	15
2027-06-20	tropics	20	15
2027-06-27	north	20	1
2027-06-27	south	12	28
2027-06-27	south	16	71
2027-06-27	south	20	19
2027-06-27	tropics	12	14
2027-06-27	tropics	16	13
2027-06-27	tropics	20	22
2027-07-04	north	16	2
2027-07-04	north	20	1
2027-07-04	south	12	14
2027-07-04	south	16	80
2027-07-04	south	20	28
2027-07-04	tropics	12	13
2027-07-04	tropics	16	8
2027-07-04	tropics	20	13
2027-07-11	north	16	1
