pivot_date	model	location	correlation	mae	mse	rmse	r2	n_seqs	n_cases	seq_entropy	case_entropy	seq_entropy_norm	case_entropy_norm
2026-04-01	FGA	north	0.8357244403784377	0.01566302856935415	0.0003490218501258215	0.018682126488326255	0.6489822675797502	1572	11152	3.8854554096846132	3.822162796532899	0.711695956850256	0.670503151602365
2026-10-01	FGA	north	0.9842657399967936	0.004780295073472673	6.121039175656163e-05	0.007823707034172588	0.9570582440981968	3036	21239	4.408097051771297	4.4265299058438075	0.7892796148948366	0.7765242901800732
2027-04-01	FGA	north	0.9984122407860163	0.002101025189771772	6.581042865025661e-06	0.0025653543351797743	0.995357645564784	2177	15074	4.263212495240587	4.348711659894213	0.7675118013375519	0.7628730194365293
2027-10-01	FGA	north	0.9987950472910657	0.0018589762718615695	4.76031583777795e-06	0.0021818148037305893	0.9944101738640228	1693	11822	4.734490756703371	4.804970269464668	0.8432298174171196	0.8429122150302406
2028-04-01	FGA	north	0.9286978477971531	0.005281700471788911	0.00017064800868536048	0.013063231173234303	0.8335125628313229	3927	26799	4.90359201357503	4.918869424877519	0.860212940761364	0.8628929816104709
2028-10-01	FGA	north	0.9987149316613009	0.0015746920071630847	3.3684633646503317e-06	0.0018353373980416602	0.9968580860933246	3312	22685	4.505222727236079	4.52248534555423	0.8302622394773688	0.7933572792923085
2029-04-01	FGA	north	0.8833910579193405	0.0124831918736716	0.0002756152603644954	0.016601664385370987	0.7537599325529803	1285	8998	4.475405890894935	4.519404323381422	0.8353453008085111	0.7890131085498924
2029-10-01	FGA	north	0.9144592739754388	0.009770786202715284	0.00015960849506504353	0.012633625570874085	0.7397198987794906	1331	8984	4.846514024356966	4.910374810529263	0.8587238691761236	0.8572700772437176
2030-04-01	FGA	north	0.9643025784576917	0.009508312946989984	0.00013908276179269022	0.011793335482071652	0.9199146227214613	6689	46107	4.565714665875366	4.562381198259505	0.7970981269891849	0.7965161587788537
2030-10-01	FGA	north	0.997506744665978	0.003620649527296416	1.8528820282522685e-05	0.00430451161951303	0.9903290418938787	6177	42951	4.2549204152878115	4.26874103130308	0.7941911551432763	0.7452514512317204
2034-04-01	FGA	north	0.9602979190580296	0.005234126883360831	4.469267337026043e-05	0.006685257913518402	0.6121414725265528	380	2564	4.1120577402516405	4.1534963390609185	0.7953805401634363	0.728627359367177
2034-10-01	FGA	north	0.9922496207816961	0.002424273570956804	8.777669714686676e-06	0.00296271323531095	0.979325369759922	828	5606	4.908514726541996	4.872969320244266	0.8788805163701969	0.8548409528367642
2035-04-01	FGA	north	0.9754621541287333	0.005201292658997579	4.4634296118536084e-05	0.006680890368696083	0.9294907788657009	3831	25347	4.629167791342097	4.5894719696546655	0.8081759912804358	0.8051084120842678
2035-10-01	FGA	north	0.9753227494672947	0.004836913905365899	5.384278273841776e-05	0.007337764151185139	0.9504220383997691	3707	25077	4.413403297548643	4.424118503177058	0.8237723672573581	0.776101269713937
2036-04-01	FGA	north	0.48542657385589355	0.008458751557952268	0.00010378493323469637	0.010187489054457745	-0.06368987972490525	372	3068	2.9503385388582584	3.0296185734607404	0.6826440593373985	0.5289212022920409
2037-04-01	FGA	north	0.8706191041618407	0.015243616808566953	0.0004952288398820825	0.022253737660943216	0.48553903287838807	785	5730	3.422852325908038	3.5448960077075133	0.7120032494798653	0.6188801041891985
2037-10-01	FGA	north	0.9964042885014067	0.003589788903650274	2.519359403070677e-05	0.005019322068836265	0.9782177445483364	2308	15547	4.722821937045896	4.771902306866229	0.8456318079908438	0.8371112655888838
2038-04-01	FGA	north	0.9068400553292734	0.010691814959627555	0.00036155782168892055	0.019014673851763027	0.7922002745791316	7068	49350	4.8259722291263785	4.844603650029605	0.8465964851392418	0.8457875224454466
2038-10-01	FGA	north	0.9994045172461403	0.0012338966807802756	2.9377583038451293e-06	0.0017139890034201296	0.9985457222835538	5599	38830	4.152129101046169	4.141970049683309	0.8094950283166874	0.7266053593202458
2041-04-01	FGA	north	0.9064546781938299	0.007037349966711136	9.574019254337919e-05	0.00978469174493398	0.3349343923314335	588	3693	4.14973130144185	4.169321810857563	0.8156779579390453	0.7314035437633178
2041-10-01	FGA	north	0.9964237679905206	0.001987582163228308	6.685457094346413e-06	0.002585625087739213	0.9858615226979249	874	5839	4.8569168445881905	4.869363052160011	0.8696418004527413	0.8542083230287901
2042-04-01	FGA	north	0.983507383633915	0.00784135961629975	8.077489923750273e-05	0.008987485701657763	0.889145323194432	631	4293	4.72970446755087	4.723756623731712	0.8663364243641591	0.8286653060638145
2042-10-01	FGA	north	0.9952172271693674	0.0018852657202964463	5.058060455069096e-06	0.00224901321807345	0.9901717906010173	839	5351	4.966326625140041	4.952870048763654	0.8892318658359417	0.8688575432175223
