variant	pivot_date	model	location	mae	normalized_mae	max_r_data	correlation	r2	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency
0	2026-04-01	FGA	north	0.018817236687423244	0.5005566438847063	0.0375926219685887	0.6643027932937287	0.14798980649354299	16	267.0	266.9897474690526	0.491158430495873	0.48526388067911974	1.0	1.0
1	2026-04-01	FGA	north	0.011075089488526375	0.17412925679676616	0.06360269200168123	0.9909384704861564	0.45965137804400735	11	1172.0	1171.9871943837777	0.7964102482830591	0.8020350221686638	0.9320388349514563	0.9486953941330772
0	2026-10-01	FGA	north	0.010307809068482833	0.1734800159817524	0.05941784712290473	0.9993634826703873	0.8577217669507039	13	228.0	227.96379431948753	0.15656354665196615	0.15983748545045365	0.40625	0.3217114434902323
1	2026-10-01	FGA	north	0.0017862249928421688	0.030726690610934537	0.0581326839085793	0.9995802227754105	0.9972109467759604	24	2694.0	2694.1123074447305	0.8899410847714595	0.891332088007098	1.0	0.9859623409356786
1	2027-04-01	FGA	north	0.0022586692100808356	0.049007292941701655	0.04608843040499533	0.9957861750350405	0.9167515387164463	11	1011.0	1011.0396052287323	0.9754196048331536	0.9565217321312768	1.0	0.9731985450520946
2	2027-04-01	FGA	north	0.0019276167674318022	0.03937547273384748	0.048954758726612244	0.9852342362878871	0.9493818219841113	10	492.0	491.8453611321608	0.9185668594136903	0.9164289904196361	0.9900990099009901	0.9890909746705364
2	2027-10-01	FGA	north	0.00159882972155695	0.03453849522874143	0.04629123854320305	0.9989577439677547	0.9957132366180678	25	1546.0	1545.97283417898	0.9632800715727149	0.9637543071287284	1.0	1.0
2	2028-04-01	FGA	north	0.0025014592517410552	0.0659206357526381	0.03794652802087014	0.9958050631447863	0.9858101849480109	36	3572.0	3572.0709764842313	0.9984985163518856	0.99742695950145	1.0	1.0
2	2028-10-01	FGA	north	0.0018704878985152376	0.034549686305665954	0.05413907038016979	0.9979719117825439	0.9951110796051382	31	3261.0	3261.0083161876105	0.9995293268696032	0.9862855128119022	1.0	1.0
2	2029-04-01	FGA	north	0.004267860827546001	0.07859366974969384	0.05430285722932065	0.9271670247948707	0.0729738661820084	6	251.0	250.99337188405252	0.99822695035461	0.9995780386343652	1.0	1.0
3	2029-04-01	FGA	north	0.01529978240897696	0.22025827541376852	0.06946291747828948	0.6983904997732685	0.1894956404662579	14	678.0	677.9422503687533	0.9490905820703052	0.9504562744218831	1.0	0.9959174648797755
2	2029-10-01	FGA	north	0.005131518262670588	0.6080601435587918	0.00843916233785258	0.9990960142079496	-0.3030331549691334	3	32.0	31.98388031632446	0.1334554207558524	0.12433780853627592	0.16417910447761194	0.1332794653046799
3	2029-10-01	FGA	north	0.008281325927529002	0.11970127101374418	0.06918327480898791	0.9225531592136464	0.8207212615226844	25	1098.0	1097.641973536867	0.8958318268321821	0.8903198791665267	1.0	0.9657079531927688
2	2030-04-01	FGA	north	0.023732998559097412	2.7314409639175707	0.0086888198839408	1.0	-22.2408283245281	2	22.0	21.99440670857176	0.1491627229705133	0.13633116538709852	0.16417910447761194	0.14183099745516745
3	2030-04-01	FGA	north	0.0192893380784465	0.45531032663917237	0.04236525496978911	0.9669194559388634	-2.7327857054417577	10	333.0	332.5786360808129	0.822077241977946	0.8181699848442203	0.9	0.859761901575797
4	2030-04-01	FGA	north	0.006449812148730474	0.07556395445413254	0.0853556724938942	0.9916247272740626	0.9661242014713357	24	3800.0	3799.512760602829	0.6753416314664863	0.6703645486889672	1.0	0.9101914480110849
5	2030-04-01	FGA	north	0.005277335982418737	0.06648452236777502	0.0793769105119819	0.998672244051669	0.9817721487063871	17	2076.0	2075.9801784398373	0.4053894522323892	0.4018998329482958	0.75	0.7846527737634901
4	2030-10-01	FGA	north	0.004647612733805925	0.07049129430296935	0.06593172646015878	0.9988414000709438	0.9823200789061184	23	3789.0	3789.0002007995095	0.6612260502258988	0.6584636475541217	0.9615384615384616	0.9126333817479712
5	2030-10-01	FGA	north	0.0024958803011193333	0.02879282107617379	0.08668411804860231	0.9985849194061196	0.9964917319128792	21	2173.0	2173.146650763699	0.49070920147668545	0.48343530961315717	0.9285714285714286	0.8586328572622973
6	2034-04-01	FGA	north	0.0045007729017653	0.11745008441409634	0.03832072939085191	0.9650439096675492	0.6972040292030017	10	291.0	290.94463900790083	0.9782160430558502	0.9739363970091841	1.0	0.9903156900231288
6	2034-10-01	FGA	north	0.0014065103539660515	0.0377254490744088	0.03728279950205187	0.9981529742702541	0.9945719888584588	22	700.0	699.9026821456504	0.9827522195400665	0.9675259772406715	1.0	0.9881543609939911
6	2035-04-01	FGA	north	0.011352809097279131	0.2881957715614171	0.03939269835837874	0.42501176594255297	-0.26056775213378014	20	488.0	487.6115550142632	0.5464898295002291	0.5200847943875847	1.0	0.9861909344326927
7	2035-04-01	FGA	north	0.0019350812760183813	0.03991173650554971	0.04848401611764773	0.9978166233135176	0.9926700225398661	21	3078.0	3077.995933286423	0.8868042122870913	0.8931874728567992	0.97	0.9818274246550819
6	2035-10-01	FGA	north	0.0014387230326919334	0.05691793499253349	0.0252771474031984	0.99935583419254	0.9801528205632507	10	164.0	163.80234862398848	0.10686809179543495	0.08385615539707522	0.2972972972972973	0.1649329057737234
7	2035-10-01	FGA	north	0.0014419333680089517	0.02475992353984099	0.058236584038264434	0.999367258818115	0.9982752266217012	29	3421.0	3421.00725585555	0.914534547789154	0.9189321739509815	1.0	0.9842554109983779
7	2036-04-01	FGA	north	0.005807830088823646	0.09967310309924896	0.058268779723257245	-0.47179793236164	-1.1265698606781416	6	158.0	158.1384770134778	0.9897727272727272	0.9893659236396989	1.0	0.9955231524671156
7	2037-04-01	FGA	north	0.03730599451239761	0.23186693164891484	0.16089398452421452	0.8272483407716387	-0.2330889110471026	8	131.0	130.87222585157113	0.27270040381836713	0.25990877722290867	0.56	0.4774150561870237
8	2037-04-01	FGA	north	0.004094310110635145	0.07351577023447141	0.05569294992865803	0.9658862950100302	0.6222619307601935	9	574.0	574.0014532467362	0.7434582269089263	0.7392261745121136	0.8727272727272727	0.9752444863467505
7	2037-10-01	FGA	north	0.009378731867951021	0.30848976627890706	0.03040208426062233	0.9980291031343693	0.6244944071639228	10	153.0	152.91874137259174	0.2322548372648722	0.26748523853447664	0.56	0.43610230715033677
8	2037-10-01	FGA	north	0.0039751368209553686	0.07433311713650156	0.05347733250114655	0.996722644360671	0.9819360674199513	26	1955.0	1955.1502771129133	0.8873626295933831	0.8599999594586305	1.0	1.0
8	2038-04-01	FGA	north	0.01041631981357378	0.10037152756491607	0.10377763561321654	0.34460033206489304	-0.15469208657770217	16	1100.0	1099.9121273070127	0.9099325438891324	0.8938521572273985	1.0	0.9815280837123658
9	2038-04-01	FGA	north	0.013769990561801908	0.20476140505152746	0.0672489552332225	0.9923858648426747	0.8894246822653776	24	5416.0	5416.012968311668	0.9552547031874944	0.9179282924137452	1.0	1.0
8	2038-10-01	FGA	north	0.0308215302793332	2.0139681449387394	0.015303881720666799			1	11.0	10.881829870703362	0.03767123287671233	0.02986604600763041	0.03767123287671233	0.02986604600763041
9	2038-10-01	FGA	north	0.03407855987696216	0.5265079065176774	0.06472563745976334	0.7449165058993623	0.21801841794099475	26	5457.0	5457.011199845015	0.9586966490961486	0.9453493986746592	1.0	1.0
10	2041-04-01	FGA	north	0.006128867770803062	0.1877380695362522	0.03264584421232465	0.948111269841436	0.5181861066548841	15	538.0	538.0844202885141	1.0	0.9882480118800394	1.0	1.0
10	2042-10-01	FGA	north	0.0023935526336093848	0.0645058658772583	0.03710596859770605	0.9981230271615668	0.9838857191505435	25	741.0	740.9834246432827	0.9978586135895676	0.9989524985426277	1.0	1.0
10	2043-04-01	FGA	north	0.0020596998092077268	0.06088669816352689	0.03382840376194934	0.9931130671422855	0.9853335597215963	33	1657.0	1656.967256738888	0.8150924782214977	0.8111883517787916	1.0	0.9973160724879548
11	2043-04-01	FGA	north	0.0008118181020301696	0.015624354529211638	0.05195850494254829	0.9983803441646353	0.9960700969546276	14	858.0	858.0001601377935	0.38830816997301465	0.38060100974743677	0.6424242424242425	0.6010878926540727
10	2043-10-01	FGA	north	0.0023408838550131182	0.048513453206785274	0.0482522620073088	0.999082823678549	0.9912179356283385	26	1474.0	1473.9771618995908	0.6115887621872926	0.6234473438656457	0.9444444444444444	0.8798412389922747
11	2043-10-01	FGA	north	0.0017590690822106715	0.035136531698418925	0.05006382238602753	0.9992861300246344	0.9959212296629086	22	1237.0	1236.943307434431	0.4985067232004385	0.46078951426052955	0.8095238095238095	0.6874425774801632
10	2044-04-01	FGA	north	0.0034100295301225225	0.06765059947410548	0.050406493905908026	0.9741908743533279	0.611500041566146	4	86.0	86.15599295644954	0.3182149976547843	0.333786276755222	0.38461538461538464	0.37423259494386435
11	2044-04-01	FGA	north	0.0024866297103379926	0.058294528361327556	0.042656314069908774	0.9162168500003036	0.6817103343335632	6	210.0	209.89065328038865	0.7048285852020607	0.6668326043426852	0.8095238095238095	0.7048123926467288
12	2044-04-01	FGA	north	0.005111699068677638	0.09483816747605378	0.05389917587735254	0.9982381658436394	0.9573281279467574	16	3141.0	3140.9926881151896	0.9901806193749536	0.9830326758101172	1.0	1.0
12	2044-10-01	FGA	north	0.024411136005996134	0.4215839740878796	0.057903377515264864	0.7151597418156788	0.43486793609652163	25	3840.0	3840.018403773688	0.9937155963999703	0.979772379639781	1.0	1.0
12	2045-04-01	FGA	north	0.004134996050762661	0.07338305790910034	0.05634810225385652	0.5624172078132371	0.16953341391463128	7	351.0	350.9279762351058	1.0	0.9822096402980633	1.0	0.9923484722631318
13	2047-04-01	FGA	north	0.0020769523551260253	0.04831759215115569	0.04298542751527298	0.9913991689582531	0.9560175430016018	15	685.0	684.5515555509938	0.9968004218004218	0.9968649657983369	1.0	0.9990673472581892
13	2047-10-01	FGA	north	0.0010218039180345435	0.02379436125298228	0.0429431119066697	0.9988986263325458	0.9976368598478664	27	1277.0	1276.6853931845988	0.9851076131613807	0.9922711869377093	1.0	0.9989200958596575
13	2048-04-01	FGA	north	0.003003946866330623	0.08236488090539744	0.03647120997820531	0.9881360435207822	0.9732832800525902	22	774.0	773.9377245685987	0.8032766419321589	0.8150650557866566	1.0	0.98506103782354
14	2048-04-01	FGA	north	0.002717926307247041	0.07314720716215994	0.0371569389002327	0.9909357499250727	0.8851430426600138	8	164.0	163.99316861505866	0.36894676640785695	0.3516970270690627	0.45652173913043476	0.42751488106719937
13	2048-10-01	FGA	north	0.011368069686294228	0.2438359773023236	0.04662178982800131	0.9213481996143214	0.4497742225185817	20	550.0	550.0063804022702	0.6012322175209801	0.6088418068933944	0.7857142857142857	0.7943098272174592
14	2048-10-01	FGA	north	0.014708317797268259	0.35185049145342573	0.04180274904977699	0.9778465002216339	0.3312681684741793	17	354.0	353.9584325275155	0.45638404704053126	0.4419091025730505	0.8333333333333334	0.6628574244422255
13	2049-04-01	FGA	north	0.0030988780802139464	0.08966210548902728	0.034561736681425384	0.9581343306152538	0.15733138478792608	6	119.0	118.581288722103	0.4905340102887588	0.46503260870849794	0.660377358490566	0.5378282113364008
14	2049-04-01	FGA	north	0.009482629632795371	0.24213008224295732	0.03916336848752376	0.871077233161351	0.6671304134122743	23	1280.0	1279.9022500972355	0.7305745698267622	0.7197082217471431	0.9230769230769231	0.9315803561507128
15	2049-04-01	FGA	north	0.029092413161442426	0.5689752069876575	0.05113124931307159		-3.1087796596441786	10	308.0	308.0732421218486	0.22392000053144895	0.21971070508669333	0.36470588235294116	0.296330982292562
14	2049-10-01	FGA	north	0.0033256085733151483	0.06860274256130819	0.04847632105003896	0.9987442878599389	0.9847290420696011	26	1662.0	1661.8466668921835	0.7237193272396237	0.7168063786885288	0.9230769230769231	0.9134626263552669
15	2049-10-01	FGA	north	0.0018135883262339432	0.035276591958565987	0.05141053105028082	0.9979526266868917	0.9901078327260905	19	604.0	604.0575767032349	0.31683536152886466	0.3115296195679748	0.52	0.5004989624825817
14	2050-04-01	FGA	north	0.006513747824293572	0.13085250722868416	0.049779312313136134	0.8539117758938846	-0.6562036013167489	8	283.0	282.8471585066152	0.5621477020713868	0.5446477128019356	0.6956521739130435	0.6178936828167056
15	2050-04-01	FGA	north	0.007110579995259229	0.2016050174757497	0.03526985629767143	0.9192427007276853	0.7213712875084313	15	327.0	326.0261103791982	0.3694464472467087	0.36262726934838097	0.6	0.5266968911725484
16	2050-04-01	FGA	north	0.009449522764264705	0.1782357294901236	0.05301699491620911	0.9926052865417487	0.07785942994872919	8	365.0	365.17481253330675	0.7282165682361862	0.7105192120762431	0.8554216867469879	0.8053443643109326
15	2050-10-01	FGA	north	0.002738141058082594	0.08909697592842974	0.030732143594661414	0.9967890691028679	0.9663258572433491	11	167.0	166.78565517864743	0.2520752598638874	0.29807179915500465	0.6	0.47949876757224724
16	2050-10-01	FGA	north	0.0012160806154892462	0.02725482080336539	0.04461891803519347	0.9982117403647734	0.9962115682763258	24	1147.0	1147.0737689642372	0.8675464358095338	0.8373955097652951	1.0	1.0
15	2051-04-01	FGA	north	0.002949983539390021	0.12948248376518934	0.022782877294350357	1.0	0.14184141148283624	2	30.0	30.062634078875377	0.1376904639616504	0.10315580689534272	0.1440677966101695	0.1088709339968038
16	2051-04-01	FGA	north	0.0019991395038701206	0.05857961919028874	0.034126877769146295	0.9943725679096476	0.9875466296724601	33	1558.0	1557.9240306409747	0.9209274327252834	0.9212397965204662	1.0	0.9828226823403307
17	2051-04-01	FGA	north	0.004950004908234555	0.19531557095413554	0.02534362664509184	0.9962249023756238	0.6684792611642627	5	79.0	78.82442798110336	0.15683029860106876	0.14143843000160974	0.21153846153846154	0.16613544200640074
16	2051-10-01	FGA	north	0.0023499237697543946	0.06823294643896646	0.03443972292558658	0.9930221970050147	0.9845282741850057	27	1257.0	1256.9873071262869	0.8488884623629741	0.8459290871805373	1.0	0.9268569700065276
17	2051-10-01	FGA	north	0.00422781390520166	0.14051728644740463	0.03008750035024426	0.9806419554993361	0.932559340084478	11	171.0	170.93517081313334	0.21025255227817102	0.20738491585085042	0.3157894736842105	0.28542427703564444
16	2052-04-01	FGA	north	0.005157292058450004	0.15728260037544467	0.03278997197489859	0.5676362024096716	-6.736209651927979	7	202.0	202.03958281279063	0.7210628522538166	0.729121111219161	0.7777777777777778	0.7746633064678258
17	2052-04-01	FGA	north	0.006891661149210937	0.2797332758159185	0.024636543968927276	0.8527712031092981	0.2536695930231314	7	97.0	96.86905810358971	0.18048228333894878	0.1696848951548576	0.3157894736842105	0.30012825913717295
18	2052-04-01	FGA	north	0.0018430134781661288	0.03367262492062757	0.054733288019880914	0.9990971692403836	0.9941555753082255	18	3272.0	3271.996699290208	0.9281296431091417	0.9313616127539296	0.9755351681957186	0.9585095560252318
