date	country	variant	sequences
2035-10-07	north	12	1
2035-10-07	south	10	4
2035-10-07	south	11	2
2035-10-07	tropics	8	1
2035-10-07	tropics	10	14
2035-10-07	tropics	11	5
2035-10-07	tropics	12	2
2035-10-14	south	10	2
2035-10-14	tropics	9	1
2035-10-14	tropics	10	16
2035-10-14	tropics	11	6
2035-10-14	tropics	12	1
2035-10-21	south	10	1
2035-10-21	south	11	1
2035-10-21	tropics	9	2
2035-10-21	tropics	10	9
2035-10-21	tropics	11	8
2035-10-21	tropics	12	2
2035-10-28	south	10	1
2035-10-28	south	11	1
2035-10-28	tropics	9	2
2035-10-28	tropics	10	9
2035-10-28	tropics	11	3
2035-10-28	tropics	12	5
2035-10-28	tropics	13	1
2035-11-04	south	10	1
2035-11-04	tropics	9	1
2035-11-04	tropics	10	12
2035-11-04	tropics	11	3
2035-11-04	tropics	12	6
2035-11-11	south	10	2
2035-11-11	tropics	9	1
2035-11-11	tropics	10	8
2035-11-11	tropics	11	4
2035-11-11	tropics	12	2
2035-11-18	south	10	1
2035-11-18	tropics	9	1
2035-11-18	tropics	10	9
2035-11-18	tropics	11	4
2035-11-18	tropics	12	4
2035-11-25	south	10	1
2035-11-25	tropics	8	1
2035-11-25	tropics	9	2
2035-11-25	tropics	10	6
2035-11-25	tropics	11	8
2035-11-25	tropics	12	2
2035-12-02	south	9	1
2035-12-02	south	12	1
2035-12-02	tropics	9	1
2035-12-02	tropics	10	5
2035-12-02	tropics	11	4
2035-12-02	tropics	12	2
2035-12-09	north	10	1
2035-12-09	tropics	9	1
2035-12-09	tropics	10	9
2035-12-09	tropics	11	3
2035-12-09	tropics	12	6
2035-12-16	north	10	1
2035-12-16	south	10	1
2035-12-16	tropics	9	3
2035-12-16	tropics	10	8
2035-12-16	tropics	11	6
2035-12-16	tropics	12	5
2035-12-23	south	10	1
2035-12-23	tropics	9	3
2035-12-23	tropics	10	4
2035-12-23	tropics	11	6
2035-12-23	tropics	12	3
2035-12-30	tropics	9	1
2035-12-30	tropics	10	3
2035-12-30	tropics	11	2
2035-12-30	tropics	12	2
2035-12-30	tropics	13	2
2036-01-06	south	10	1
2036-01-06	tropics	9	1
2036-01-06	tropics	10	10
2036-01-06	tropics	11	1
2036-01-06	tropics	12	3
2036-01-13	north	10	1
2036-01-13	tropics	9	2
2036-01-13	tropics	10	7
2036-01-13	tropics	11	4
2036-01-13	tropics	12	5
2036-01-20	north	12	1
2036-01-20	tropics	9	1
2036-01-20	tropics	10	5
2036-01-20	tropics	11	1
2036-01-20	tropics	12	5
2036-01-27	tropics	9	1
2036-01-27	tropics	10	3
2036-01-27	tropics	11	2
2036-01-27	tropics	12	6
2036-02-03	tropics	9	2
2036-02-03	tropics	10	6
2036-02-03	tropics	11	3
2036-02-03	tropics	12	7
2036-02-10	tropics	10	9
2036-02-10	tropics	11	2
2036-02-10	tropics	12	9
2036-02-10	tropics	13	1
2036-02-17	tropics	9	1
2036-02-17	tropics	10	2
2036-02-17	tropics	11	3
2036-02-17	tropics	12	8
2036-02-17	tropics	13	2
2036-02-24	tropics	9	1
2036-02-24	tropics	10	3
2036-02-24	tropics	11	3
2036-02-24	tropics	12	11
2036-03-02	tropics	10	3
2036-03-02	tropics	11	3
2036-03-02	tropics	12	5
2036-03-09	north	11	2
2036-03-09	north	12	1
2036-03-09	south	12	1
2036-03-09	tropics	9	1
2036-03-09	tropics	10	5
2036-03-09	tropics	11	2
2036-03-09	tropics	12	9
2036-03-16	tropics	10	6
2036-03-16	tropics	11	7
2036-03-16	tropics	12	7
2036-03-23	tropics	10	2
2036-03-23	tropics	11	1
2036-03-23	tropics	12	5
2036-03-23	tropics	13	1
2036-03-30	tropics	10	2
2036-03-30	tropics	11	1
2036-03-30	tropics	12	8
2036-03-30	tropics	13	1
2036-04-06	north	12	1
2036-04-06	tropics	11	3
2036-04-06	tropics	12	13
2036-04-06	tropics	13	3
2036-04-13	north	12	1
2036-04-13	tropics	10	2
2036-04-13	tropics	11	1
2036-04-13	tropics	12	10
2036-04-13	tropics	13	3
2036-04-20	tropics	9	1
2036-04-20	tropics	10	3
2036-04-20	tropics	11	2
2036-04-20	tropics	12	10
2036-04-20	tropics	13	1
2036-04-27	north	12	1
2036-04-27	tropics	10	1
2036-04-27	tropics	11	1
2036-04-27	tropics	12	6
2036-04-27	tropics	13	2
2036-05-04	north	10	1
2036-05-04	north	11	1
2036-05-04	tropics	11	2
2036-05-04	tropics	12	10
2036-05-11	tropics	10	1
2036-05-11	tropics	11	1
2036-05-11	tropics	12	8
2036-05-11	tropics	13	2
2036-05-18	tropics	9	1
2036-05-18	tropics	10	2
2036-05-18	tropics	11	1
2036-05-18	tropics	12	14
2036-05-18	tropics	13	6
2036-05-25	south	10	1
2036-05-25	south	12	2
2036-05-25	tropics	10	1
2036-05-25	tropics	12	9
2036-06-01	south	10	1
2036-06-01	tropics	10	1
2036-06-01	tropics	11	1
2036-06-01	tropics	12	12
2036-06-08	tropics	9	1
2036-06-08	tropics	10	5
2036-06-08	tropics	11	1
2036-06-08	tropics	12	19
2036-06-08	tropics	13	2
2036-06-15	south	12	2
2036-06-15	south	13	1
2036-06-15	tropics	10	3
2036-06-15	tropics	12	15
2036-06-15	tropics	13	1
2036-06-22	tropics	11	3
2036-06-22	tropics	12	13
2036-06-22	tropics	13	1
2036-06-29	south	12	1
2036-06-29	south	13	1
2036-06-29	tropics	10	2
2036-06-29	tropics	12	19
2036-06-29	tropics	13	5
2036-07-06	south	10	1
2036-07-06	south	11	2
2036-07-06	south	12	2
2036-07-06	south	13	1
2036-07-06	tropics	10	1
2036-07-06	tropics	11	2
2036-07-06	tropics	12	12
2036-07-06	tropics	13	2
2036-07-06	tropics	14	1
2036-07-13	south	10	1
2036-07-13	south	12	1
2036-07-13	south	13	2
2036-07-13	tropics	11	1
2036-07-13	tropics	12	20
2036-07-13	tropics	13	4
2036-07-13	tropics	14	1
2036-07-20	south	10	1
2036-07-20	south	12	1
2036-07-20	south	13	5
2036-07-20	tropics	9	2
2036-07-20	tropics	10	1
2036-07-20	tropics	11	1
2036-07-20	tropics	12	15
2036-07-20	tropics	13	1
2036-07-27	south	11	1
2036-07-27	south	12	4
2036-07-27	south	13	3
2036-07-27	tropics	11	1
2036-07-27	tropics	12	22
2036-07-27	tropics	13	3
2036-08-03	south	10	1
2036-08-03	south	11	2
2036-08-03	south	12	10
2036-08-03	south	13	6
2036-08-03	tropics	10	1
2036-08-03	tropics	11	1
2036-08-03	tropics	12	18
2036-08-03	tropics	13	5
2036-08-10	south	12	11
2036-08-10	south	13	3
2036-08-10	tropics	10	1
2036-08-10	tropics	11	1
2036-08-10	tropics	12	13
2036-08-10	tropics	13	5
2036-08-17	south	11	1
2036-08-17	south	12	14
2036-08-17	south	13	6
2036-08-17	tropics	10	1
