variant	pivot_date	model	location	mae	normalized_mae	max_r_data	correlation	sign_disagreement_rate	overestimation_rate	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency
2	2026-04-01	FGA	north	0.030270540251078844	0.38219759324253866	0.07920128432590487	0.9334350152484274	0.25	0.5	4	691.0	690.1724665507867	1.0	0.8102939769483313	1.0	0.8650054442030135
18	2026-04-01	FGA	north	0.03828818120254813	0.9097462781927055	0.042086658797451874		0.0	1.0	1	278.0	277.88140535436554	0.996415770609319	0.17132034274727312	0.996415770609319	0.17132034274727312
19	2026-04-01	FGA	north	0.06068313518588723	0.9185050932646035	0.06606728218588723		0.0	0.0	1	14.0	13.723807268745833	1.0	0.6311543772259748	1.0	0.6311543772259748
2	2026-10-01	FGA	north	0.009007995278494127	0.2035067165413798	0.0442638721295594	0.9710716135918552	0.0	0.4	5	681.0	680.1194111139523	0.99	0.8814780128975463	1.0	0.9765279300175987
18	2026-10-01	FGA	north	0.018496055799174856	0.3628723197155449	0.05097125020082515		0.0	1.0	1	278.0	277.5832885396747	0.996415770609319	0.24529968779518188	0.996415770609319	0.24529968779518188
19	2026-10-01	FGA	north	0.05016438519125065	0.6413049301077524	0.07822236012254266	1.0	0.5	0.0	2	263.0	262.9178144761967	1.0	0.6968209826036991	1.0	0.8237588490576863
2	2027-04-01	FGA	north	0.031622645848884766	0.27893934847801183	0.11336746149809519	0.8474296152850824	0.0	0.5	4	162.0	161.1988281466875	0.9027777777777778	0.6859979571403461	1.0	0.9564175978415026
13	2027-04-01	FGA	north	0.09205864917840392	1.7717579581168152	0.051958930821596076		0.0	1.0	1	30.0	29.751954761673684	1.0	0.2397859463295041	1.0	0.2397859463295041
19	2027-04-01	FGA	north	0.030372587058397873	0.3716509819781182	0.08172341398572204	1.0	0.5	0.0	2	260.0	259.8036624999666	0.7619047619047619	0.5437457467494609	1.0	0.7894047433487502
25	2027-04-01	FGA	north	0.06098474465840732	1.4447328115397269	0.04221178073294585	-1.0	0.0	1.0	2	1396.0	1395.9831155678003	0.7857142857142857	0.36610015355996417	1.0	0.4678728488451958
13	2029-04-01	FGA	north	0.14552336005132924	0.4151667524554948	0.3505178562364025	0.056144969827993996	0.0	0.0	3	271.0	270.67880438970786	0.5225183823529412	0.4669699187471341	1.0	0.8061971795162595
18	2029-04-01	FGA	north	0.034276096144734446	0.544036079137185	0.06300335117313301	0.474002756033129	0.14285714285714285	0.7142857142857143	7	256.0	255.7220343343154	0.6351445739717797	0.5737297277177592	1.0	0.9190217734059846
19	2029-04-01	FGA	north	0.06784252404064653	0.8401952557118927	0.08074614035182089	-1.0	0.0	0.5	2	43.0	42.93608932510843	0.6496881496881497	0.33665665416935703	0.8378378378378378	0.5048479588512575
27	2029-04-01	FGA	north	0.0504575085847696	0.7183200914118198	0.07024376623741382	1.0	0.0	0.5	2	373.0	372.56286239718895	0.689981981981982	0.08793384238002849	0.963963963963964	0.14866571746453375
