pivot_date	model	location	inference_method	iterations	learning_rate	num_samples	num_iterations	initial_loss	final_loss	min_loss	total_improvement	converged	relative_change	threshold	window	final_iteration
2043-10-01	FGA	north	InferFullRank	50000		500	50000	1048013.3125	296.192138671875		1047717.125	True	0.004519789479672909	0.01	100	50000
2045-10-01	FGA	north	InferFullRank	50000		500	50000	15172.9873046875	603.553466796875	591.595458984375	14569.43359375	True	0.0011248787632212043	0.01	100	50000
2046-04-01	FGA	north	InferFullRank	50000		500	50000	19936.134765625	755.565673828125	747.0429077148438	19180.568359375	True	0.0019963537342846394	0.01	100	50000
2046-10-01	FGA	north	InferFullRank	50000		500	50000	18985.013671875	298.927001953125		18686.0859375	True	0.1358443945646286	0.01	100	50000
2049-10-01	FGA	north	InferFullRank	50000		500	50000	58910.03515625	929.5776977539062	913.3670654296875	57980.45703125	True	0.048900306224823	0.01	100	50000
2050-04-01	FGA	north	InferFullRank	50000		500	50000	120911.5703125	1142.0185546875		119769.5546875	True	0.0030878924299031496	0.01	100	50000
2050-10-01	FGA	north	InferFullRank	50000		500	50000	450665.4375	503.88934326171875		450161.5625	True	0.026403039693832397	0.01	100	50000
2051-10-01	FGA	north	InferFullRank	50000		500	50000		311.1092529296875			True	0.02705078199505806	0.01	100	50000
2052-04-01	FGA	north	InferFullRank	50000		500	50000		489.7308044433594			True	0.06100976839661598	0.01	100	50000
2052-10-01	FGA	north	InferFullRank	50000		500	50000	469378.8125				False		0.01	100	50000
2053-04-01	FGA	north	InferFullRank	50000		500	50000		723.310791015625			True	0.031235745176672935	0.01	100	50000
2053-10-01	FGA	north	InferFullRank	50000		500	50000	16264.212890625	2117.581787109375	2100.82958984375	14146.630859375	True	0.0005270476103760302	0.01	100	50000
2054-04-01	FGA	north	InferFullRank	50000		500	50000	352798.3125	940.5687866210938		351857.75	True	0.013972984626889229	0.01	100	50000
2054-10-01	FGA	north	InferFullRank	50000		500	50000	335145.21875	460.0150451660156		334685.21875	True	0.00040975341107696295	0.01	100	50000
2026-04-01	FGA	south	InferFullRank	50000		500	50000	3890.067626953125				False		0.01	100	50000
2026-10-01	FGA	south	InferFullRank	50000		500	50000	35294.0859375	272.7581481933594	251.18710327148438	35021.328125	True	0.013836240395903587	0.01	100	50000
2027-04-01	FGA	south	InferFullRank	50000		500	50000	11782.0234375	364.8896789550781		11417.1337890625	True	0.03414323553442955	0.01	100	50000
2027-10-01	FGA	south	InferFullRank	50000		500	50000	982224.0	601.1484375		981622.875	True	0.0970822423696518	0.01	100	50000
2028-04-01	FGA	south	InferFullRank	50000		500	50000	615454.4375	469.926025390625		614984.5	True	0.027057671919465065	0.01	100	50000
2029-04-01	FGA	south	InferFullRank	50000		500	50000	53820.5390625	769.6694946289062		53050.87109375	True	0.0017219564178958535	0.01	100	50000
2029-10-01	FGA	south	InferFullRank	50000		500	50000	528940.0625				False		0.01	100	50000
2030-04-01	FGA	south	InferFullRank	50000		500	50000		1174.8450927734375			True	0.010732998140156269	0.01	100	50000
2031-10-01	FGA	south	InferFullRank	50000		500	50000	1233222.0				False		0.01	100	50000
2032-04-01	FGA	south	InferFullRank	50000		500	50000	915097.0	411.9188537597656		914685.0625	True	0.09918861836194992	0.01	100	50000
2033-04-01	FGA	south	InferFullRank	50000		500	50000	12785.67578125	1164.12548828125		11621.55078125	True	0.00264541944488883	0.01	100	50000
2033-10-01	FGA	south	InferFullRank	50000		500	50000		766.1710815429688			True	0.006634691264480352	0.01	100	50000
2034-04-01	FGA	south	InferFullRank	50000		500	50000	378270.875	756.2776489257812	745.1298828125	377514.59375	True	0.002703877165913582	0.01	100	50000
2034-10-01	FGA	south	InferFullRank	50000		500	50000	148224.59375	440.392822265625	373.62359619140625	147784.203125	True	0.07837728410959244	0.01	100	50000
2035-04-01	FGA	south	InferFullRank	50000		500	50000		373.4639892578125			True	0.2657148838043213	0.01	100	50000
2035-10-01	FGA	south	InferFullRank	50000		500	50000	43729.6875	402.5671081542969	376.2726745605469	43327.12109375	True	0.030455950647592545	0.01	100	50000
2036-04-01	FGA	south	InferFullRank	50000		500	50000	152897.875				False		0.01	100	50000
2036-10-01	FGA	south	InferFullRank	50000		500	50000	90163.0234375	1025.52392578125		89137.5	True	0.003990822937339544	0.01	100	50000
2041-10-01	FGA	south	InferFullRank	50000		500	50000	281977.625				False		0.01	100	50000
2042-04-01	FGA	south	InferFullRank	50000		500	50000	416227.25	709.7196044921875		415517.53125	True	0.01708446815609932	0.01	100	50000
2043-10-01	FGA	south	InferFullRank	50000		500	50000	223990.34375	376.6205139160156		223613.71875	True	0.10436470061540604	0.01	100	50000
2044-04-01	FGA	south	InferFullRank	50000		500	50000	102483.3125	259.25860595703125		102224.0546875	True	0.017938029021024704	0.01	100	50000
2045-10-01	FGA	south	InferFullRank	50000		500	50000	111797.109375	222.60726928710938		111574.5	True	0.04962632432579994	0.01	100	50000
2046-10-01	FGA	south	InferFullRank	50000		500	50000	24818.07421875	428.5350341796875	400.8199462890625	24389.5390625	True	0.021207479760050774	0.01	100	50000
2047-04-01	FGA	south	InferFullRank	50000		500	50000	356123.125	444.28118896484375		355678.84375	True	0.32809561491012573	0.01	100	50000
2047-10-01	FGA	south	InferFullRank	50000		500	50000	312149.75	453.0170593261719		311696.71875	True	0.02863670140504837	0.01	100	50000
2048-04-01	FGA	south	InferFullRank	50000		500	50000		384.8070068359375			True	0.029308967292308807	0.01	100	50000
2049-10-01	FGA	south	InferFullRank	50000		500	50000	221971.765625	964.228271484375		221007.53125	True	0.005495439283549786	0.01	100	50000
2050-04-01	FGA	south	InferFullRank	50000		500	50000	134164.515625				False		0.01	100	50000
2050-10-01	FGA	south	InferFullRank	50000		500	50000	73192.015625				False		0.01	100	50000
2051-04-01	FGA	south	InferFullRank	50000		500	50000		1501.03515625			True	0.0362081453204155	0.01	100	50000
2051-10-01	FGA	south	InferFullRank	50000		500	50000		4562.6259765625			True	0.0006256950437091291	0.01	100	50000
2052-04-01	FGA	south	InferFullRank	50000		500	50000	653584.375	512.2838134765625		653072.0625	True	0.08637131005525589	0.01	100	50000
2052-10-01	FGA	south	InferFullRank	50000		500	50000	27865.1640625	876.9072265625		26988.2578125	True	9.550409595249221e-05	0.01	100	50000
2053-04-01	FGA	south	InferFullRank	50000		500	50000	445944.1875	947.8800048828125		444996.3125	True	0.002846082206815481	0.01	100	50000
2053-10-01	FGA	south	InferFullRank	50000		500	50000	326913.125	807.0938720703125		326106.03125	True	0.003721890039741993	0.01	100	50000
2054-04-01	FGA	south	InferFullRank	50000		500	50000		1108.179931640625			True	0.004010416567325592	0.01	100	50000
2026-04-01	FGA	tropics	InferFullRank	50000		500	50000	137957.90625	698.0731201171875	691.430908203125	137259.828125	True	0.02952527441084385	0.01	100	50000
2027-04-01	FGA	tropics	InferFullRank	50000		500	50000	24394.677734375	365.13006591796875		24029.546875	True	6.586539529962465e-05	0.01	100	50000
2027-10-01	FGA	tropics	InferFullRank	50000		500	50000	298953.15625	1061.10009765625	1053.4666748046875	297892.0625	True	0.0009383157594129443	0.01	100	50000
2028-10-01	FGA	tropics	InferFullRank	50000		500	50000	518760.3125	970.1314086914062		517790.1875	True	0.004138384014368057	0.01	100	50000
2030-04-01	FGA	tropics	InferFullRank	50000		500	50000	524004.8125	837.9306030273438		523166.875	True	0.0060454378835856915	0.01	100	50000
2031-10-01	FGA	tropics	InferFullRank	50000		500	50000	247801.625				False		0.01	100	50000
2032-10-01	FGA	tropics	InferFullRank	50000		500	50000	295352.125	754.506103515625		294597.625	True	0.011458192020654678	0.01	100	50000
2033-04-01	FGA	tropics	InferFullRank	50000		500	50000	110109.8125	1010.7491455078125	997.0494384765625	109099.0625	True	0.002175315050408244	0.01	100	50000
2033-10-01	FGA	tropics	InferFullRank	50000		500	50000	83339.5390625	999.3544921875	987.998291015625	82340.1875	True	0.0018191501731052995	0.01	100	50000
2034-04-01	FGA	tropics	InferFullRank	50000		500	50000		820.8782958984375			True	0.005060173571109772	0.01	100	50000
