pivot_date	model	location	correlation	mae	rmse	sign_disagreement_rate	overestimation_rate	n_seqs	n_cases	seq_entropy	case_entropy	seq_entropy_norm	case_entropy_norm
2026-04-01	FGA	north	0.9334350152484274	0.030270540251078844	0.03334006972535301	0.25	0.5	1010	1497	2.141201197098001	4.276019769778712	0.5353002992745003	0.7501210399911251
2026-10-01	FGA	north	0.9710716135918553	0.009007995278494127	0.012365872862381942	0.0	0.4	1305	2829	2.626133159448014	4.924020694746281	0.5978923895228443	0.8637966434547262
2027-04-01	FGA	north	0.8474296152850828	0.031622645848884766	0.04642907636045477	0.0	0.5	1983	21606	1.8218423723426702	4.132250788354801	0.3789698081128781	0.7249003572837227
2029-04-01	FGA	north	-0.08509777504084626	0.06765027531671289	0.114200756059574	0.1	0.5	1153	35932	3.4799161685835713	4.223633922692317	0.6898581051050284	0.7373764974909037
2029-10-01	FGA	north	-0.135594049862341	0.021274130040020003	0.02600990249857516	0.16666666666666666	0.5	876	36200	3.271317003035149	4.228425547421387	0.6430154096675744	0.7382130357716079
2031-04-01	FGA	north	0.9439282094014856	0.01772280371783463	0.018298107548877503	0.0	0.25	3089	12341	0.3998043438807486	3.656130822653067	0.09781234947164681	0.6382998597231527
2033-04-01	FGA	north	0.16419447905572848	0.0477008656930452	0.07279006931115811	0.0	0.0	1613	11794	1.4590669957649955	4.7823113366337635	0.28924524159713355	0.83893727029768
2033-10-01	FGA	north	0.15230111283777548	0.0876303023566409	0.11447478990010683	0.3333333333333333	0.1111111111111111	3836	6518	1.8059400538690762	5.207562257819567	0.35497852470313723	0.9135369401849842
2034-04-01	FGA	north	0.20839143640712537	0.10003338933431667	0.11480564758472456	0.2857142857142857	0.2857142857142857	2641	33798	1.6264023287596714	4.5842271853777525	0.30771590532040444	0.8041883454690167
2034-10-01	FGA	north	0.9814880782568478	0.03941694310149291	0.04714833150828396	0.0	0.3333333333333333	362	32457	3.9345938467332755	4.357401086667321	0.8018507382770238	0.7643973626806925
2036-04-01	FGA	north	0.732228445327071	0.03533470927897676	0.05031143012603768	0.0	0.16666666666666666	3145	5283	2.1949960553678585	3.8025255040637345	0.4922143095981815	0.6638579453446178
2036-10-01	FGA	north	0.4596512871046562	0.09560931255349912	0.10712809056066959	0.3333333333333333	0.0	1532	13014	2.6089917860142156	4.947747508969198	0.5046478982357299	0.8637947311275126
2037-04-01	FGA	north	0.17828284428999874	0.10808215405147352	0.13928218985086255	0.375	0.0	577	25391	4.447718933045845	5.163211645159107	0.8248251325593985	0.901411199075886
2041-04-01	FGA	north	-0.8988671818423987	0.10669515460966993	0.11053679920556701	0.1111111111111111	1.0	653	12051	3.0625439146101483	3.6436567002516487	0.6440833591155826	0.6391887083124601
2041-10-01	FGA	north	0.9998674895322057	0.0031735906378314005	0.003398627162783192	0.0	0.0	2241	19368	1.3017089453540616	4.46982399132543	0.2737623013713333	0.7841191578784092
2042-10-01	FGA	north	0.4299046909090168	0.004540882249660236	0.005524253094136694	0.2	0.2	2052	1448	1.483820508168344	5.422881357268179	0.400984915628821	0.9513093068961662
2043-04-01	FGA	north	0.8986227673266838	0.005512760322993017	0.013144189558567354	0.0	0.35294117647058826	2552	34031	2.4981868725699328	4.1474146586489535	0.5042567383396336	0.7275604801942229
2043-10-01	FGA	north	0.9990144417821485	0.0014946272064586567	0.0016475108313697478	0.0	0.3333333333333333	785	35545	3.5832794722412546	4.2463682104199085	0.7232816884402861	0.7413455274220859
2045-10-01	FGA	north	-0.2202739924061111	0.06798619903679574	0.06895566481089269	0.3333333333333333	0.3333333333333333	5611	1955	0.25531484413809685	5.148196398635328	0.05907429242983526	0.9031226805629917
2046-04-01	FGA	north	0.15265741379240647	0.03196267122773267	0.04918059820224976	0.13333333333333333	0.3333333333333333	441	50079	4.639106825186305	4.119612746130015	0.883988357937935	0.7226833279228881
2046-10-01	FGA	north	0.9959184815171966	0.015103352870924113	0.01862650669324448	0.1111111111111111	0.4444444444444444	351	48828	4.172895687749161	3.941407983650591	0.8877670894584813	0.6914217461343282
2049-10-01	FGA	north	0.12744371482073172	0.08958498423383782	0.1293564886095914	0.6363636363636364	0.45454545454545453	3005	9484	2.356070708137082	4.978624815944174	0.46706713480126083	0.8733755748877035
2050-04-01	FGA	north	0.03662417796354695	0.04611639433641967	0.07338320228895737	0.24	0.32	3277	39473	2.9833188126680734	4.837475411073067	0.5341698914330855	0.8486144315636344
2050-10-01	FGA	north	0.48320818822449835	0.02757697090648088	0.03816455492074911	0.1875	0.375	1366	35101	3.538127636878379	4.421124333311451	0.6843673043402579	0.7718550507783891
2051-10-01	FGA	north	-0.047537612907219536	0.10381317663091688	0.11892915926657466	0.0	0.0	4193	907	0.32409480657732587	5.404187080507851	0.07498847724021943	0.9434815171363907
2052-04-01	FGA	north	0.2279621348784539	0.05364722274690652	0.07456482067925416	0.375	0.5	4636	40667	0.9851970845124634	3.7391059471018817	0.19886113161218857	0.6559328985100119
