variant,time,location,fitness,seasonal_fitness,frac_susceptible,seasonality,t,date
12,0.8473648186173861,north,0.5835474521914362,0.6371171083026101,1.0,1.0918,310,2025-10-14
12,0.8856947296372351,north,0.5886520936516613,0.6577598494463662,1.0,1.1174,324,2025-10-28
12,0.924024640657084,north,0.5893001050140223,0.6695547471565009,0.9999,1.1363,337,2025-11-10
12,0.962354551676933,north,0.5870944928831433,0.6735061543336618,0.9999,1.1473,351,2025-11-24
12,1.0006844626967837,north,0.5882802894885958,0.6762693959186167,0.9998,1.1498,366,2025-12-09
12,1.0390143737166326,north,0.5985337124394374,0.6842778085996769,0.9997,1.1436,380,2025-12-23
12,1.0773442847364816,north,0.5894160876450077,0.6651769497076984,0.9995,1.1291,393,2026-01-05
12,1.1156741957563303,north,0.585262269344985,0.6475487829495343,0.9993,1.1072,407,2026-01-19
12,1.1540041067761813,north,0.5887112817286899,0.6347065936037272,0.9991,1.0791,422,2026-02-03
12,1.1923340177960302,north,0.5901978899012871,0.6169037306135148,0.9989,1.0464,436,2026-02-17
12,1.2306639288158792,north,0.5797133882843911,0.5853869272728527,0.9988,1.011,449,2026-03-02
12,1.268993839835728,north,0.5800389155247727,0.5648013628186068,0.9988,0.9749,463,2026-03-16
12,1.3073237508555788,north,0.5827842873784576,0.5474474884724657,0.9989,0.9404,478,2026-03-31
12,1.3456536618754278,north,0.5791347424370581,0.5261280683775141,0.9992,0.9092,492,2026-04-14
12,1.3839835728952767,north,0.581239537930385,0.5131589276030174,0.9994,0.8834,505,2026-04-27
12,1.4223134839151277,north,0.5768201569164548,0.4982885844153574,0.9996,0.8642,520,2026-05-12
12,1.4606433949349764,north,0.579035561857697,0.4937112728792172,0.9997,0.8529,534,2026-05-26
12,1.4989733059548254,north,0.5781250976803428,0.4913658527089518,0.9998,0.8501,548,2026-06-09
12,1.5373032169746743,north,0.5778178286446498,0.4945626001136882,0.9999,0.856,561,2026-06-22
12,1.575633127994525,north,0.5808448382266279,0.5054006331069891,0.9999,0.8702,576,2026-07-07
12,1.613963039014374,north,0.5821964433859802,0.5192090817551701,0.9999,0.8919,590,2026-07-21
12,1.652292950034223,north,0.5743662093263198,0.528249209134415,0.9999,0.9198,603,2026-08-03
12,1.690622861054072,north,0.5752372655843793,0.5478011861453886,0.9999,0.9524,617,2026-08-17
12,1.7289527720739226,north,0.571991387355494,0.5648993977016924,0.9999,0.9877,632,2026-09-01
12,1.7672826830937716,north,0.5736964501083553,0.5872916905783722,0.9999,1.0238,646,2026-09-15
12,1.8056125941136203,north,0.5785574554006573,0.612283976274976,0.9999,1.0584,659,2026-09-28
12,1.8439425051334692,north,0.5783048183491755,0.6300527248029855,0.9998,1.0897,673,2026-10-12
12,1.88227241615332,north,0.5793932885443526,0.6462930852483812,0.9997,1.1158,688,2026-10-27
12,1.9206023271731687,north,0.5875755142670522,0.66661551436168,0.9994,1.1352,701,2026-11-09
12,1.958932238193018,north,0.5741906733690714,0.6577575341690094,0.9989,1.1468,715,2026-11-23
12,1.997262149212867,north,0.5714731464033425,0.6556912697128952,0.9978,1.1499,729,2026-12-07
12,2.0355920602327178,north,0.5672644665636472,0.6463295099536998,0.9957,1.1443,744,2026-12-22
12,2.0739219712525667,north,0.5521710525993428,0.6193680168427883,0.9923,1.1304,758,2027-01-05
12,2.112251882272416,north,0.5362628626958134,0.5875194570014282,0.9879,1.109,772,2027-01-19
12,2.1505817932922664,north,0.5179887896572193,0.5513127074990983,0.9844,1.0812,786,2027-02-02
12,2.188911704312116,north,0.4848776297347364,0.5004538775025456,0.9841,1.0488,800,2027-02-16
12,2.2272416153319643,north,0.4667269859930624,0.4668311361199868,0.9869,1.0135,814,2027-03-02
12,2.265571526351813,north,0.4524772365696575,0.4383600599079934,0.9911,0.9775,827,2027-03-15
12,2.303901437371664,north,0.4313540173825074,0.40452291753912,0.9948,0.9427,842,2027-03-30
12,2.342231348391513,north,0.4317748008508905,0.3924139898001749,0.9973,0.9113,856,2027-04-13
12,2.380561259411362,north,0.4245322614498782,0.3752226270163441,0.9987,0.885,869,2027-04-26
12,2.418891170431211,north,0.4267015590280184,0.3690033241115281,0.9994,0.8653,883,2027-05-10
12,2.4572210814510616,north,0.4275639903723574,0.3648163880230722,0.9997,0.8535,898,2027-05-25
12,2.4955509924709105,north,0.4281012304965215,0.3638560702738839,0.9998,0.8501,912,2027-06-08
12,2.5338809034907595,north,0.4249868268932883,0.3634548839185252,0.9999,0.8553,925,2027-06-21
12,2.5722108145106084,north,0.4251658940955758,0.3693897027151078,0.9999,0.8689,939,2027-07-05
12,2.610540725530459,north,0.4232882212102991,0.3767311688147173,0.9999,0.8901,954,2027-07-20
12,2.648870636550308,north,0.4316693168979185,0.3961033178240081,0.9999,0.9177,968,2027-08-03
12,2.687200547570157,north,0.4266824046937378,0.405307749630605,0.9999,0.95,981,2027-08-16
