strain	year	country	clade_membership	fitness
5dffcc8f	0.1121	north	2	0.5022
32736263	0.1137	north	2	0.6419
7c1149e1	0.1168	north	2	0.5301
2937b6d3	0.1175	tropics	2	0.5326
7a2fa2d3	0.1176	tropics	2	0.4783
6a3920bb	0.1194	north	2	0.5495
32cbcc21	0.1206	tropics	2	0.5126
33f95a06	0.1238	tropics	2	0.3949
41a8736a	0.1239	south	2	0.5471
609bca1	0.1262	north	2	0.4617
769ccadb	0.1274	tropics	2	0.4666
593819af	0.1297	north	2	0.5379
40020eca	0.1313	north	2	0.5568
5da9364e	0.132	north	2	0.5481
5e9f269e	0.145	north	2	0.5843
6026660d	0.1467	north	2	0.5492
56249734	0.1472	north	2	0.5383
68eef14	0.1488	south	2	0.5564
8f66a61	0.1528	north	2	0.5809
761d1739	0.1536	north	2	0.5238
56db1d84	0.1539	north	2	0.5206
4d0c07f0	0.1558	south	2	0.5749
73e79c8	0.1578	north	2	0.5783
61e9cc9b	0.1581	north	22	0.5587
4f9f3d56	0.1581	tropics	22	0.5302
24873775	0.1606	north	2	0.5143
7c63013	0.1655	north	2	0.5485
745c0d18	0.1662	north	14	0.5724
469aedad	0.17	north	2	0.5339
1d4c6f12	0.1765	tropics	2	0.527
b6b61a3	0.1766	north	22	0.5137
e828beb	0.1828	north	2	0.5099
670b2183	0.1835	south	2	0.5526
12463a37	0.1848	north	2	0.5588
14cebc28	0.1851	north	2	0.5764
3232584b	0.1898	north	2	0.5048
24a554bd	0.1963	tropics	22	0.5413
2f580e12	0.2001	north	2	0.5916
3f6d77dc	0.2065	south	2	0.5168
7c4c23d0	0.2075	north	2	0.5507
74287112	0.2086	north	2	0.4934
781d8874	0.2135	north	2	0.5277
6fad727b	0.2159	north	2	0.4874
3ecee7e7	0.2287	north	2	0.566
4ed5397b	0.2303	north	22	0.5537
2bb0e063	0.2414	north	2	0.4918
25f47a33	0.2421	tropics	14	0.6019
7b81e75	0.2474	tropics	2	0.4475
4cdf831e	0.2553	north	2	0.4717
784e7327	0.2615	north	2	0.5293
5f0cbef0	0.2822	south	2	0.6191
50f909d0	0.2918	north	14	0.4967
5610f108	0.2933	north	2	0.5354
713b725b	0.3017	north	2	0.5086
11e02d79	0.3397	north	2	0.4983
2af39f93	0.3413	north	2	0.4718
6213245e	0.345	tropics	22	0.5131
254868a4	0.3699	north	2	0.5158
f58dcd4	0.3732	south	2	0.589
2091a139	0.38	south	20	0.6802
f58e248	0.3875	north	2	0.5406
3a9e1c81	0.3882	south	2	0.5425
657c5484	0.4158	north	2	0.4846
5602737c	0.4399	south	2	0.5142
6aa117ee	0.4658	south	20	0.6174
1949c29c	0.4827	south	20	0.6724
64cc74ed	0.5178	south	2	0.5811
127f21a8	0.5251	south	20	0.7439
53b6fc66	0.537	south	2	0.6347
7dfe2c62	0.5377	south	2	0.4703
acd52ad	0.5393	south	2	0.5594
1024d872	0.5419	south	2	0.5266
571db10a	0.545	south	2	0.5222
38c8bfeb	0.5462	south	14	0.6437
30cda32e	0.5494	south	2	0.4689
6ded0b15	0.5552	south	2	0.5237
17f95be3	0.5572	south	14	0.5141
6ad66190	0.5574	south	2	0.526
3d7a1e3d	0.5585	south	20	0.6368
42db7854	0.5614	south	8	0.7447
37646301	0.5639	south	2	0.4971
1941d17	0.5639	south	14	0.6516
59fa5430	0.5641	south	2	0.5664
37ee212a	0.5655	south	2	0.5336
c31e236	0.5682	south	20	0.6592
25b38d20	0.5699	south	2	0.6378
1e7b699d	0.5735	south	20	0.6613
5a239697	0.5738	south	14	0.6474
207a1a35	0.5766	south	20	0.6746
5592455f	0.5775	south	2	0.6029
16b4de27	0.5834	south	20	0.6507
4bb4df1d	0.5863	south	2	0.557
3631fd44	0.5883	south	20	0.6811
338894fb	0.5884	south	20	0.6272
1fbd97df	0.5892	south	20	0.6193
142f67b4	0.5892	south	2	0.5751
46f01f85	0.5893	south	20	0.633
204a7013	0.5913	south	2	0.5732
38a76396	0.5937	tropics	14	0.5683
2b560d1c	0.597	south	20	0.7156
1684f209	0.5978	south	2	0.5559
47cbe4bb	0.5993	south	20	0.6057
661096c1	0.6005	tropics	20	0.5907
3dbabf7e	0.6031	south	20	0.5521
119a4bdd	0.6054	south	2	0.5483
1d1ea9ce	0.6064	south	20	0.5937
4fc52226	0.6065	south	20	0.5868
51f8313b	0.6124	south	2	0.4783
4dcad8ed	0.6138	south	2	0.41
6ee2fbb6	0.6193	south	20	0.6497
625ee3e2	0.621	south	20	0.6362
2f016e71	0.6212	south	20	0.6445
2a6573ce	0.6237	south	20	0.5335
5983895d	0.6258	south	2	0.5286
700777a3	0.6296	south	20	0.6001
5509819a	0.632	south	14	0.5655
1d7f5aa5	0.6322	south	2	0.4642
4d7e89fc	0.6328	south	22	0.5922
3a543874	0.6329	south	14	0.5083
71558831	0.6377	south	2	0.4859
58511aa9	0.6391	south	20	0.5332
37ffdee6	0.6428	south	2	0.4492
23711c2b	0.6437	south	2	0.5165
7f312f58	0.6442	south	20	0.5929
540406c1	0.6453	south	22	0.5079
80668a8	0.6455	south	20	0.5822
5bcccfe2	0.6461	south	20	0.5756
28928602	0.6501	south	2	0.4688
787f7bb0	0.6556	south	20	0.4872
571300be	0.6572	tropics	20	0.6629
1dce4c3d	0.6572	south	20	0.5523
c46ca2c	0.6579	south	20	0.5909
c7a0dc8	0.6582	south	20	0.5713
5c69d38	0.6618	south	20	0.5771
5e255155	0.6628	south	2	0.4875
5014ad6d	0.6674	south	20	0.5309
4148e8d1	0.6679	south	20	0.5694
5425cd1e	0.6688	south	20	0.5327
35df9308	0.6694	south	20	0.5398
171a31f8	0.6708	south	22	0.5428
444545d	0.6715	south	20	0.5617
5b41d939	0.6728	tropics	14	0.6137
5a01cd12	0.6728	south	8	0.6048
180f59e6	0.6764	tropics	14	0.6621
272654cb	0.6765	south	20	0.4536
1b4c169c	0.6779	south	20	0.5019
64556a02	0.6781	south	14	0.4193
4b88fb0e	0.6843	south	20	0.5183
48d89950	0.6848	south	20	0.5989
15200452	0.6852	south	20	0.4935
2ab2d7ef	0.6864	south	20	0.5112
f3426bc	0.6877	south	2	0.417
115fd3f5	0.6879	south	20	0.5978
58039a66	0.6882	south	20	0.4721
245e599d	0.6886	south	2	0.4895
6db96f52	0.691	south	20	0.4394
1f8c0efd	0.6924	south	14	0.5192
3ae534b1	0.6932	south	20	0.5179
4eae8492	0.6938	south	2	0.4378
681891a7	0.6943	south	20	0.5028
154d9c58	0.6956	tropics	14	0.5881
1792b7ee	0.6967	south	2	0.3985
23ce1107	0.6972	south	20	0.528
13ca8bd5	0.6975	tropics	14	0.5423
b1e8e63	0.698	south	2	0.4293
37d5586f	0.6983	south	20	0.4667
4ee3530b	0.6989	south	20	0.4984
7a3ce29e	0.7052	south	2	0.4461
5ea67cae	0.7064	tropics	14	0.6011
7a25aa17	0.7085	south	20	0.5282
6c34ca14	0.7104	south	14	0.4882
5792ee0f	0.7109	south	20	0.4788
4b93a6a9	0.7119	south	20	0.4973
608fa089	0.7135	south	2	0.4085
603e7e0a	0.7138	south	22	0.514
1a629ade	0.716	tropics	20	0.5822
1614223f	0.7179	south	20	0.4706
3e7357ce	0.7198	south	20	0.4593
47e61a5d	0.7215	south	20	0.5477
2d13ad71	0.7226	south	14	0.4903
506cf299	0.7235	south	2	0.481
725800d9	0.7254	south	2	0.5441
2b705d3	0.728	south	20	0.4933
28f651e6	0.7305	north	14	0.6587
70437242	0.7342	south	20	0.4436
437e87de	0.7351	south	2	0.3831
3242cc68	0.7356	south	20	0.4566
73080d63	0.7365	south	14	0.4648
77a2da14	0.7413	south	20	0.4429
12a3608c	0.7419	south	14	0.4335
3e8eaba5	0.7454	south	14	0.472
7a4fa3b6	0.7464	south	20	0.4309
6b726323	0.7476	south	14	0.5076
5a36a1db	0.7513	south	20	0.3925
26f5a230	0.7529	south	20	0.4344
2deadb2f	0.7599	south	20	0.4478
8ce450a	0.7608	south	20	0.4024
6ad452bf	0.7623	south	20	0.4715
16c41e16	0.7631	south	20	0.4939
42ae12d	0.7671	south	20	0.4012
49da468	0.7685	south	20	0.5353
d7c5e03	0.7723	south	20	0.4226
42e6624	0.7739	south	8	0.4377
72d0c7ae	0.7797	south	20	0.501
4d1efd48	0.7815	south	20	0.4375
3c2d0f04	0.7816	south	14	0.4607
4bc474b4	0.7836	south	20	0.3938
4011599f	0.7838	south	20	0.3748
187b3a1d	0.7942	south	20	0.4857
3e07cfe3	0.8069	south	20	0.4442
842cf68	0.8117	south	20	0.4223
139f2749	0.8232	south	20	0.4019
5237923b	0.8286	tropics	20	0.5301
65ee891e	0.8328	tropics	20	0.643
23bd4e40	0.8331	south	2	0.4401
514633bc	0.8357	south	20	0.4129
6ea9d3dc	0.8373	south	20	0.4331
315e4510	0.8421	north	20	0.628
3ea6ad50	0.849	tropics	20	0.6407
35089c76	0.8508	south	20	0.42
3681d1b9	0.8534	tropics	20	0.6081
27a04ec8	0.861	tropics	14	0.6416
6697d83a	0.863	north	20	0.6147
2d7d074c	0.8646	tropics	8	0.6172
79604c3e	0.8663	south	20	0.382
2440b7ae	0.8676	north	20	0.689
581d1fab	0.8681	south	20	0.4249
1768f806	0.8822	south	20	0.3901
2b5bb7ff	0.8828	tropics	14	0.6215
1273adb	0.8842	north	20	0.6179
50c47fed	0.8865	north	20	0.5689
7b692d53	0.8878	tropics	14	0.5123
4cd0fd2b	0.8886	tropics	20	0.6183
7fa36ff6	0.895	tropics	14	0.625
1c60b531	0.9088	north	20	0.5859
603885b3	0.909	tropics	20	0.5916
2eb688fb	0.9108	north	20	0.6177
503406a8	0.9152	tropics	20	0.6139
e7f7a18	0.9222	south	20	0.4866
7ee08a7	0.9267	tropics	22	0.5854
6b820fb9	0.9268	north	8	0.6216
3e69950d	0.9277	tropics	14	0.6212
347f56c0	0.9284	north	20	0.6018
24cb7938	0.9285	north	8	0.711
70f12b0c	0.9288	tropics	14	0.6531
3fb71064	0.9329	tropics	20	0.61
26d3caa0	0.9382	north	20	0.5898
637845be	0.9424	north	20	0.5647
42de5a5a	0.9425	north	20	0.6061
723c063b	0.9462	tropics	20	0.6043
36f53acb	0.9492	tropics	20	0.6381
7bede7ef	0.9496	north	20	0.5711
1b63d2f6	0.9502	north	20	0.5903
568a9b9e	0.9504	north	20	0.6341
811deac	0.953	tropics	20	0.5789
797d2a63	0.9546	north	20	0.6192
3c36a82d	0.9697	north	20	0.5429
58a35dfb	0.9715	north	14	0.6175
60286795	0.973	tropics	20	0.5929
4b1dc724	0.9738	north	20	0.6128
1bf65f40	0.9766	north	20	0.5546
5938f2cf	0.9776	north	20	0.5718
cd68bd8	0.9802	north	20	0.5837
7d6f0433	0.9802	tropics	14	0.6184
788fdb22	0.9805	north	8	0.5991
15767d98	0.9805	north	20	0.5904
1dbfe6d8	0.9815	tropics	20	0.6174
617c5ff3	0.9844	north	20	0.5797
4383b21a	0.9866	tropics	14	0.5537
47d076a7	0.9884	north	20	0.5669
d88c02f	0.9885	north	20	0.5447
5cfcbbec	0.9908	north	2	0.5328
26cf3972	0.9942	tropics	20	0.5675
37e79f79	0.9943	north	20	0.4256
41a95629	0.9945	tropics	14	0.5237
10bb71e	0.9952	north	20	0.5316
3263ad55	0.9984	tropics	14	0.6114
5a987c3	0.9996	tropics	20	0.589
d09dd6	1.0012	north	20	0.458
1b38c2a	1.0024	tropics	14	0.5849
4d0c7e19	1.0046	north	20	0.5818
2203e187	1.0059	north	20	0.5431
33223280	1.0069	north	20	0.5243
425522d0	1.0075	north	20	0.5474
555271b1	1.0088	north	20	0.5695
7e0e0532	1.0098	tropics	20	0.6133
2c35259b	1.0127	north	20	0.5128
238e096b	1.0131	north	8	0.6218
52d4238e	1.0138	north	20	0.544
1378092c	1.0139	north	20	0.5577
314cc51c	1.0144	north	20	0.4713
360863c1	1.0151	tropics	8	0.6576
8048631	1.0171	north	20	0.5157
7fdc0c7e	1.0178	north	14	0.5427
217e9493	1.0205	tropics	20	0.5733
3ae796ce	1.0212	north	20	0.5169
18c8afdd	1.0215	tropics	14	0.6441
2941d010	1.0298	north	20	0.4314
25a5d57e	1.0306	north	14	0.6018
635da383	1.0308	north	20	0.5151
28520275	1.0308	north	20	0.4625
4a4b7628	1.0319	tropics	20	0.6019
2efdbe1b	1.0333	north	20	0.4717
746e382	1.0341	north	20	0.5092
1c9c4004	1.0352	north	20	0.4528
6370477b	1.0355	tropics	20	0.5479
5eba4eb8	1.036	north	2	0.4227
5aaea9d4	1.0361	north	8	0.5067
f811aaa	1.0371	tropics	14	0.5425
5b8c1a0f	1.0378	north	8	0.5399
3a43fd44	1.0385	north	8	0.5362
5585fe25	1.0386	north	20	0.524
6ee6f6da	1.0396	tropics	20	0.6221
70785835	1.0397	north	20	0.4697
3ab30681	1.0408	north	20	0.4997
7e6eafa8	1.0432	north	20	0.4239
170af3b0	1.0447	north	14	0.515
1a817fc5	1.0447	north	20	0.4887
51816246	1.0448	north	20	0.5197
321f98e1	1.0478	north	20	0.5023
92759d5	1.051	north	20	0.523
388106c6	1.0571	north	20	0.4552
5282107c	1.0577	north	20	0.4191
10678e76	1.0591	north	20	0.4601
a1f1e2	1.0607	north	14	0.4438
1129be7a	1.0619	north	14	0.511
456d3e6e	1.0619	north	14	0.4103
5c1269d6	1.0632	north	20	0.4204
61313395	1.0641	north	20	0.4089
37db234f	1.0649	north	8	0.5518
1a57d81d	1.0653	north	20	0.3989
caae708	1.0667	north	20	0.504
7620c49b	1.0685	north	20	0.4958
5d97f5ab	1.0713	north	20	0.4229
645637c4	1.072	north	20	0.511
768e9056	1.0755	north	14	0.5016
619b6e39	1.079	north	14	0.4922
bcabbe8	1.0792	tropics	8	0.638
501b1b9b	1.0793	north	20	0.4904
5205a32a	1.0802	tropics	14	0.5828
12af8bd9	1.0817	north	20	0.4776
4ae6b7cf	1.0817	tropics	14	0.6153
f431056	1.0818	north	20	0.424
693266	1.0829	north	20	0.3885
5621f0d	1.0841	north	20	0.3831
6a230748	1.0842	north	14	0.4351
646850b2	1.0847	north	20	0.392
1554e9c9	1.0856	north	20	0.4015
5b791699	1.086	north	20	0.4541
57898752	1.0867	north	8	0.4478
37d888ca	1.0885	north	8	0.426
4c263880	1.0909	tropics	8	0.5514
56b5e7a1	1.0914	north	20	0.4919
786172b5	1.092	tropics	20	0.5742
18b85220	1.0924	north	20	0.3848
4d5309d4	1.0968	north	20	0.4114
16b94ecd	1.097	tropics	14	0.5556
2a133153	1.097	north	20	0.4299
ebe61b2	1.0983	north	20	0.4308
67f15126	1.0994	tropics	8	0.613
38478c02	1.1015	north	14	0.4978
6cc6489	1.1066	north	20	0.4019
74e2e7a5	1.1071	north	20	0.3895
68cf26c1	1.1071	north	20	0.3872
153c4138	1.1073	north	2	0.4894
1ea5a92d	1.1125	tropics	14	0.6048
3c141bc	1.1134	north	2	0.4432
4b6582e1	1.1145	north	20	0.452
4779aef7	1.1161	north	20	0.3781
7be06215	1.1205	north	8	0.4521
8b4e4	1.1258	north	14	0.408
1bb2a2e6	1.1264	tropics	20	0.5121
2c7c9f98	1.1265	north	8	0.4355
6ced509c	1.1366	north	20	0.4189
16e7bafd	1.137	tropics	14	0.5642
159f26e9	1.1395	north	8	0.4396
52dfa544	1.1402	north	14	0.3685
66c02afa	1.1402	north	8	0.4711
6fa97c1a	1.1427	north	20	0.4098
654037e6	1.1433	north	14	0.4319
71e1eb4f	1.1437	tropics	14	0.5653
220aefa1	1.1448	tropics	20	0.5241
17ea4d4b	1.1468	tropics	14	0.5138
72e5cecf	1.1495	north	8	0.4099
2e638807	1.1504	tropics	8	0.5703
3076731f	1.1542	tropics	20	0.4953
25597518	1.1543	north	20	0.3203
1bac9293	1.1552	tropics	14	0.5662
2e766b92	1.1587	tropics	14	0.5477
1bcfd65a	1.1593	north	8	0.4582
7d019363	1.1634	tropics	20	0.5534
3e7011c1	1.1653	north	14	0.4297
e4e821d	1.1697	north	14	0.3933
6ef326d9	1.1705	north	14	0.3976
8a73d04	1.1735	south	14	0.4541
2088f434	1.1737	tropics	8	0.5062
62536bc2	1.1738	tropics	14	0.5166
212f6ec7	1.1749	north	20	0.3674
1bcaf8fe	1.1782	tropics	14	0.449
2a1a6cc1	1.1793	tropics	14	0.4866
49b03c4	1.1807	north	14	0.4242
2879b3af	1.1832	tropics	20	0.5468
5c9b982a	1.1863	tropics	14	0.5688
22e3aa50	1.1867	tropics	20	0.5615
7340514	1.1875	tropics	14	0.51
7d600e80	1.1904	north	14	0.4012
13a62653	1.1935	tropics	20	0.5533
522c91ab	1.2053	tropics	14	0.6197
28c573b4	1.2078	tropics	14	0.5255
4cb3d3d8	1.2086	tropics	14	0.5618
624ca555	1.2096	tropics	14	0.6113
41a8e7bb	1.2118	tropics	14	0.5696
677f0e41	1.2178	north	14	0.394
f269e26	1.2207	tropics	8	0.5963
511380fb	1.2267	tropics	14	0.4503
7cab30d8	1.227	tropics	8	0.5653
43dc1f38	1.227	tropics	8	0.6004
361c888f	1.2294	north	14	0.4762
2efbbc45	1.2301	tropics	14	0.5156
63b9b5d	1.239	tropics	14	0.533
222aad4d	1.2452	tropics	20	0.4062
3d397b15	1.2545	north	8	0.4241
1fd194bf	1.2549	tropics	14	0.5152
54684b08	1.2571	tropics	14	0.5026
3f6de63e	1.2642	tropics	8	0.5912
26bd44b3	1.2687	tropics	14	0.5781
2db9a68b	1.2738	tropics	14	0.5245
7589454b	1.2742	tropics	14	0.4809
274172c5	1.2885	tropics	8	0.5338
5cf7549f	1.2892	tropics	8	0.5776
78473421	1.2898	north	8	0.4184
700551a7	1.2976	tropics	8	0.5546
6043ae08	1.3	tropics	8	0.579
913359d	1.3023	tropics	8	0.5479
3360e5f2	1.3056	tropics	8	0.5971
26590932	1.306	tropics	14	0.5958
56d44d47	1.3124	tropics	14	0.5781
5c57a2b2	1.3137	tropics	8	0.585
4a3983c8	1.3199	tropics	14	0.5255
180fc901	1.321	tropics	8	0.542
237e032	1.328	south	8	0.5171
8de6988	1.3321	tropics	14	0.5182
7c897a82	1.3404	tropics	8	0.586
464ff831	1.3425	north	8	0.3893
7451811c	1.3427	tropics	14	0.5294
7c17eae7	1.3432	tropics	14	0.5059
7934f6ae	1.3475	tropics	14	0.5684
2b878a75	1.3548	tropics	14	0.5208
4ae247cc	1.3576	tropics	14	0.4301
bf90dcc	1.3595	tropics	14	0.5607
3752dc91	1.361	tropics	14	0.5212
7e37bb28	1.3627	tropics	20	0.4512
3afc54c8	1.371	tropics	22	0.5371
103d9ac2	1.3711	tropics	14	0.5163
1b57100a	1.3884	tropics	8	0.4851
255e71e3	1.3946	tropics	14	0.4351
2564ba66	1.4003	tropics	14	0.5201
665987a5	1.4125	tropics	14	0.4774
226ec35c	1.4188	tropics	14	0.4723
23f9d40d	1.4303	tropics	8	0.5037
73134056	1.4314	tropics	20	0.5076
48758ead	1.4509	tropics	14	0.4932
7cbb43ab	1.4565	tropics	15	0.6197
6771b8a	1.4776	tropics	8	0.5642
e96469a	1.4795	tropics	8	0.5786
56f556d0	1.4997	tropics	20	0.4859
4a6effe5	1.5192	tropics	8	0.5528
944eec3	1.5195	tropics	8	0.511
5bfa2018	1.5227	tropics	8	0.5145
5b076cd2	1.5262	tropics	14	0.4832
72a0ff9a	1.5431	tropics	14	0.4998
14b622c3	1.5555	tropics	14	0.4988
76bb2306	1.5568	tropics	14	0.4796
b1f3709	1.5788	tropics	8	0.5533
3646cff	1.5862	south	14	0.4761
2adda063	1.5988	tropics	8	0.5548
57af74ec	1.6309	tropics	14	0.4797
130f6f42	1.6365	tropics	14	0.5146
cc25801	1.6369	tropics	8	0.4815
6b059e1e	1.6447	tropics	8	0.4952
43aee100	1.6845	tropics	8	0.4991
7ca70d60	1.6846	tropics	15	0.5237
50113599	1.6848	south	14	0.5033
7977f996	1.6935	tropics	8	0.5471
27f559d9	1.6985	tropics	8	0.5249
32eedf4a	1.7288	tropics	14	0.4951
3d21ceee	1.7668	tropics	8	0.581
3df388a7	1.7688	tropics	14	0.4927
29616a1c	1.8353	tropics	8	0.5054
52affac3	1.9027	tropics	8	0.4983
22c93c4b	1.9364	tropics	8	0.5282
4e276bbd	2.0151	tropics	8	0.5735
200ae63b	2.0664	south	14	0.4835
2831ecd	2.1027	tropics	8	0.5156
608a32d9	2.1027	tropics	8	0.4876
1d86cdd4	2.1215	tropics	8	0.5646
552566f4	2.2495	tropics	15	0.4999
