date,diversity,tmrca,netau,serialInterval,antigenicDiversity,totalN,totalS,totalI,totalR,totalCases,northDiversity,northTmrca,northNetau,northSerialInterval,northAntigenicDiversity,northN,northS,northI,northR,northCases,tropicsDiversity,tropicsTmrca,tropicsNetau,tropicsSerialInterval,tropicsAntigenicDiversity,tropicsN,tropicsS,tropicsI,tropicsR,tropicsCases,southDiversity,southTmrca,southNetau,southSerialInterval,southAntigenicDiversity,southN,southS,southI,southR,southCases
0.011,1.7957,1.4524,18.2648,0.0143,0.3065,90000000,89996463,3537,0,5021,1.4789,1.4055,2.4033,0.01174,0.0919,29999990,29999211,779,0,1166,1.7685,1.4522,7.0249,0.01334,0.3341,30000020,29997998,2022,0,2890,1.6546,1.4491,21.0748,0.01704,0.283,29999990,29999254,736,0,965
0.0301,1.78,1.4715,12.4533,0.01308,0.2079,90000000,89996408,3592,0,4952,1.5383,1.4217,2.5605,0.01129,0.026,29999990,29999112,878,0,1244,1.7803,1.4716,9.7847,0.01308,0.2513,30000020,29997887,2133,0,2957,1.696,1.4721,15.2207,0.01591,0.2624,29999990,29999409,581,0,751
0.0493,1.7967,1.4884,12.4533,0.01288,0.1583,90000000,89996101,3899,0,5355,1.5925,1.3204,2.978,0.0129,0.0811,29999990,29998916,1074,0,1573,1.792,1.4905,13.0463,0.01355,0.2015,30000020,29997658,2362,0,3221,1.754,1.4892,13.6986,0.01749,0.2899,29999990,29999527,463,0,561
0.0685,1.8132,1.5066,13.0463,0.0131,0.1449,90000000,89995904,4096,0,5747,1.6052,1.339,2.7956,0.01184,0.1028,29999990,29998823,1167,0,1750,1.7982,1.5099,14.4196,0.01358,0.1732,30000020,29997453,2567,0,3524,1.7555,1.5095,13.0463,0.01827,0.1537,29999990,29999628,362,0,473
0.0877,1.8239,1.5277,10.1471,0.01391,0.0964,90000000,89995620,4380,0,6206,1.6583,1.356,2.7397,0.01256,0.0243,29999990,29998632,1358,0,1934,1.8241,1.5287,10.9589,0.01388,0.0919,30000020,29997287,2733,0,3878,1.7466,1.5232,6.6823,0.01685,0.2499,29999990,29999701,289,0,394
0.1068,1.8589,1.5461,16.116,0.0126,0.0527,90000000,89995118,4882,0,6905,1.6727,1.3779,2.9146,0.01227,0.0216,29999990,29998347,1643,0,2318,1.8548,1.5477,9.7847,0.01318,0.0666,30000020,29996998,3022,0,4282,1.7716,1.5044,6.6823,0.01868,0.1733,29999990,29999773,217,0,305
0.126,1.894,1.5623,13.6986,0.01224,0.0399,90000000,89994702,5298,0,7557,1.7027,1.3893,3.1491,0.01122,0.0091,29999990,29997930,2060,0,3026,1.8749,1.554,9.4473,0.01335,0.0563,30000020,29996941,3079,0,4325,1.8348,1.5233,4.8924,0.02137,0.2877,29999990,29999831,159,0,206
0.1452,1.9449,1.5855,15.2207,0.01213,0.0409,90000000,89994014,5986,0,8363,1.7657,1.4143,5.0736,0.01213,0.0081,29999990,29997581,2409,0,3383,1.9157,1.5838,19.5695,0.01311,0.0336,30000020,29996603,3417,0,4763,1.8154,1.5422,2.978,0.01803,0.2809,29999990,29999830,160,0,217
0.1644,1.9707,1.5578,16.116,0.01252,0.0416,90000000,89993199,6801,0,9539,1.8,1.4318,4.3488,0.01197,0.0181,29999990,29997083,2907,0,4072,1.9459,1.5905,11.9119,0.01291,0.0325,30000020,29996284,3736,0,5271,1.8925,1.5593,3.5125,0.01569,0.3734,29999990,29999832,158,0,196
0.1836,2.0172,1.5766,16.116,0.01238,0.0276,90000000,89992759,7241,0,10273,1.8341,1.45,6.5232,0.01218,0.0088,29999990,29996882,3108,0,4440,1.9594,1.5779,13.6986,0.01309,0.0254,30000020,29996046,3974,0,5592,1.7283,1.5711,2.8839,0.01389,0.0189,29999990,29999831,159,0,241
