variant	pivot_date	model	location	mae	mse	normalized_mae	max_r_data	correlation	r2	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency	converged
0	2027-04-01	FGA	north	0.002208136105616715	7.370557911630802e-06	0.05501112282581731	0.04013981159061914	0.9922982762314568	0.9472859879364531	11	451.0	450.78222467694945	0.805181108766828	0.8133225349947165	0.9130434782608695	0.9254311980875041	True
1	2027-04-01	FGA	north	0.0023880613226946673	7.048879990204623e-06	0.05646909289660659	0.042289705752262464	0.9897291872896526	0.8024672239996907	4	94.0	93.68098788290347	0.26852972040953604	0.2788284375929406	0.3391304347826087	0.32889822877524305	True
0	2027-10-01	FGA	north	0.0025178112742942817	7.866487335413022e-06	0.0631226173645022	0.03988762474399873	0.9993948778381516	0.9889980726663812	22	909.0	908.9281038875162	0.6289094851007991	0.6325753125597038	0.9130434782608695	0.9242349515495839	True
1	2027-10-01	FGA	north	0.0015142458544578604	3.1594223409586904e-06	0.03237742547077162	0.04676856891616753	0.9986840776995024	0.9938557117816172	22	675.0	674.7918268826005	0.5440973000936745	0.5252912804081243	0.9411764705882353	0.8162338757476029	True
0	2028-04-01	FGA	north	0.0021344010258730274	7.955503466485478e-06	0.05288851854789467	0.04035660450462724	0.9685935901242282	0.8992760002387814	9	294.0	294.0094698784423	0.3933066441668229	0.41728323112627846	0.5128205128205128	0.575952361943168	True
1	2028-04-01	FGA	north	0.008147005314732246	0.00021220802392866731	0.06899283126310979	0.11808480918347845	0.9572522752885771	0.8289014565256416	33	1173.0	1172.8269748164455	0.45453596230371507	0.45943068907439283	0.9411764705882353	0.8251855620679748	True
2	2028-04-01	FGA	north	0.001820306902884966	4.74497420659898e-06	0.0335341971288431	0.05428210778063632	0.9995660491028622	0.9966240963452722	15	747.0	746.9983047988385	0.16483325414377467	0.16423945396194872	0.22448979591836735	0.17283561624527408	True
3	2028-04-01	FGA	north	0.002114550127044701	6.1635352362918705e-06	0.03741598373387513	0.05651462065208942	0.9995761882226115	0.9958442212501561	18	3355.0	3354.984933011226	0.6574083555741784	0.6353444406617202	0.8166189111747851	0.8305467906129314	True
1	2028-10-01	FGA	north	0.00226089505043356	7.025744857490111e-06	0.038459968771567814	0.05878567046848371	0.9982753576371455	0.9922791891699199	18	671.0	670.9301073000127	0.2727949998146167	0.2629805378792916	0.6190476190476191	0.5440504407549257	True
2	2028-10-01	FGA	north	0.002685968571828241	9.085175368936309e-06	0.050185355190098244	0.05352096366866389	0.9982854048559537	0.9934808444139647	16	761.0	760.8902388574165	0.16546867575978877	0.15733230680598886	0.22448979591836735	0.1653941985630987	True
3	2028-10-01	FGA	north	0.0028866588417175093	1.2332879163210509e-05	0.043905303637140146	0.06574738363215969	0.9989411085373	0.9941412990871298	23	3498.0	3497.979425874151	0.6838182651002134	0.6795747201593513	0.8636363636363636	0.8180703794938698	True
5	2030-04-01	FGA	north	0.006277143789187762	4.9214293631573266e-05	0.12323796387936972	0.05093514686214779	0.9826914035559091	0.531979225408673	9	730.0	729.9242743565957	0.9693304266983733	0.9707745565893302	1.0	1.0	True
5	2030-10-01	FGA	north	0.0049646956670046875	3.100891221078054e-05	0.09492453165859528	0.05230150289137762	0.995428379053334	0.9693428522887652	24	1887.0	1886.975023084712	0.9837444483951961	0.9879809781206808	1.0	0.9992185622636182	True
