error_type,model,timepoint,model_distance_to_future,naive_distance_to_future,optimal_distance_to_future
validation,mutational load,2037-10-01,5.759,7.146,1.302
validation,mutational load,2038-04-01,19.068,16.453,1.173
validation,mutational load,2038-10-01,12.322,8.515,1.046
validation,mutational load,2039-04-01,19.33,19.456,1.432
validation,mutational load,2039-10-01,19.373,19.068,0.397
validation,epitope antigenic novelty + mutational load,2023-10-01,4.204,2.746,1.498
validation,epitope antigenic novelty + mutational load,2024-04-01,2.933,1.944,0.797
validation,epitope antigenic novelty + mutational load,2024-10-01,1.955,2.006,1.343
validation,epitope antigenic novelty + mutational load,2025-04-01,2.182,2.395,1.094
validation,epitope antigenic novelty + mutational load,2025-10-01,4.362,4.53,3.273
validation,epitope antigenic novelty + mutational load,2026-04-01,4.768,4.636,2.22
validation,epitope antigenic novelty + mutational load,2026-10-01,3.041,1.33,0.487
validation,epitope antigenic novelty + mutational load,2027-04-01,1.343,1.515,1.305
validation,epitope antigenic novelty + mutational load,2027-10-01,1.584,1.642,1.198
validation,epitope antigenic novelty + mutational load,2028-04-01,2.008,1.797,0.894
validation,epitope antigenic novelty + mutational load,2028-10-01,2.158,2.277,0.988
validation,epitope antigenic novelty + mutational load,2029-04-01,2.339,2.572,0.449
validation,epitope antigenic novelty + mutational load,2029-10-01,1.387,1.636,1.154
validation,epitope antigenic novelty + mutational load,2030-04-01,1.682,1.764,1.24
validation,epitope antigenic novelty + mutational load,2030-10-01,2.623,2.656,1.519
validation,epitope antigenic novelty + mutational load,2031-04-01,3.374,3.562,1.953
validation,epitope antigenic novelty + mutational load,2031-10-01,3.237,3.367,1.449
validation,epitope antigenic novelty + mutational load,2032-04-01,3.765,3.631,0.782
validation,epitope antigenic novelty + mutational load,2032-10-01,3.934,4.03,0.928
validation,epitope antigenic novelty + mutational load,2033-04-01,5.962,6.795,1.28
validation,epitope antigenic novelty + mutational load,2033-10-01,0.713,0.717,0.584
validation,epitope antigenic novelty + mutational load,2034-04-01,6.577,6.567,2.987
validation,epitope antigenic novelty + mutational load,2034-10-01,8.012,8.222,1.584
validation,epitope antigenic novelty + mutational load,2035-04-01,3.535,3.895,1.036
validation,epitope antigenic novelty + mutational load,2035-10-01,4.718,5.741,1.061
validation,epitope antigenic novelty + mutational load,2036-04-01,3.429,6.77,1.376
validation,epitope antigenic novelty + mutational load,2036-10-01,3.815,5.488,0.701
validation,epitope antigenic novelty + mutational load,2037-04-01,4.435,3.988,1.158
validation,epitope antigenic novelty + mutational load,2037-10-01,9.265,7.146,1.302
validation,epitope antigenic novelty + mutational load,2038-04-01,19.922,16.453,1.173
validation,epitope antigenic novelty + mutational load,2038-10-01,13.463,8.515,1.046
validation,epitope antigenic novelty + mutational load,2039-04-01,19.067,19.456,1.432
validation,epitope antigenic novelty + mutational load,2039-10-01,19.036,19.068,0.397
validation,LBI,2023-10-01,1.747,2.746,1.498
validation,LBI,2024-04-01,1.816,1.944,0.797
validation,LBI,2024-10-01,1.646,2.006,1.343
validation,LBI,2025-04-01,2.165,2.395,1.094
validation,LBI,2025-10-01,4.311,4.53,3.273
validation,LBI,2026-04-01,4.337,4.636,2.22
validation,LBI,2026-10-01,3.736,1.33,0.487
validation,LBI,2027-04-01,1.398,1.515,1.305
validation,LBI,2027-10-01,1.495,1.642,1.198
validation,LBI,2028-04-01,1.378,1.797,0.894
validation,LBI,2028-10-01,2.052,2.277,0.988
validation,LBI,2029-04-01,1.922,2.572,0.449
validation,LBI,2029-10-01,1.232,1.636,1.154
validation,LBI,2030-04-01,1.552,1.764,1.24
validation,LBI,2030-10-01,2.629,2.656,1.519
validation,LBI,2031-04-01,4.496,3.562,1.953
validation,LBI,2031-10-01,3.334,3.367,1.449
validation,LBI,2032-04-01,3.603,3.631,0.782
validation,LBI,2032-10-01,4.227,4.03,0.928
validation,LBI,2033-04-01,6.224,6.795,1.28
validation,LBI,2033-10-01,0.597,0.717,0.584
validation,LBI,2034-04-01,6.906,6.567,2.987
validation,LBI,2034-10-01,8.437,8.222,1.584
validation,LBI,2035-04-01,4.616,3.895,1.036
validation,LBI,2035-10-01,8.859,5.741,1.061
validation,LBI,2036-04-01,11.883,6.77,1.376
validation,LBI,2036-10-01,6.079,5.488,0.701
validation,LBI,2037-04-01,3.854,3.988,1.158
validation,LBI,2037-10-01,7.153,7.146,1.302
validation,LBI,2038-04-01,16.482,16.453,1.173
validation,LBI,2038-10-01,8.453,8.515,1.046
validation,LBI,2039-04-01,19.42,19.456,1.432
validation,LBI,2039-10-01,18.896,19.068,0.397
validation,delta frequency,2023-10-01,1.934,2.746,1.498
validation,delta frequency,2024-04-01,1.975,1.944,0.797
validation,delta frequency,2024-10-01,1.878,2.006,1.343
validation,delta frequency,2025-04-01,1.767,2.395,1.094
validation,delta frequency,2025-10-01,4.428,4.53,3.273
validation,delta frequency,2026-04-01,4.343,4.636,2.22
validation,delta frequency,2026-10-01,0.747,1.33,0.487
validation,delta frequency,2027-04-01,1.443,1.515,1.305
validation,delta frequency,2027-10-01,1.767,1.642,1.198
validation,delta frequency,2028-04-01,1.278,1.797,0.894
validation,delta frequency,2028-10-01,1.896,2.277,0.988
validation,delta frequency,2029-04-01,1.839,2.572,0.449
validation,delta frequency,2029-10-01,1.246,1.636,1.154
validation,delta frequency,2030-04-01,2.076,1.764,1.24
validation,delta frequency,2030-10-01,2.281,2.656,1.519
validation,delta frequency,2031-04-01,3.93,3.562,1.953
validation,delta frequency,2031-10-01,2.115,3.367,1.449
validation,delta frequency,2032-04-01,3.591,3.631,0.782
validation,delta frequency,2032-10-01,5.149,4.03,0.928
validation,delta frequency,2033-04-01,9.13,6.795,1.28
validation,delta frequency,2033-10-01,1.022,0.717,0.584
validation,delta frequency,2034-04-01,6.627,6.567,2.987
validation,delta frequency,2034-10-01,8.257,8.222,1.584
validation,delta frequency,2035-04-01,4.188,3.895,1.036
validation,delta frequency,2035-10-01,5.571,5.741,1.061
validation,delta frequency,2036-04-01,7.007,6.77,1.376
validation,delta frequency,2036-10-01,5.258,5.488,0.701
validation,delta frequency,2037-04-01,4.286,3.988,1.158
validation,delta frequency,2037-10-01,7.362,7.146,1.302
validation,delta frequency,2038-04-01,16.122,16.453,1.173
validation,delta frequency,2038-10-01,8.853,8.515,1.046
validation,delta frequency,2039-04-01,19.422,19.456,1.432
validation,delta frequency,2039-10-01,19.026,19.068,0.397
validation,LBI + mutational load,2023-10-01,1.934,2.746,1.498
validation,LBI + mutational load,2024-04-01,1.802,1.944,0.797
validation,LBI + mutational load,2024-10-01,1.355,2.006,1.343
validation,LBI + mutational load,2025-04-01,2.162,2.395,1.094
validation,LBI + mutational load,2025-10-01,4.3,4.53,3.273
validation,LBI + mutational load,2026-04-01,4.386,4.636,2.22
validation,LBI + mutational load,2026-10-01,3.888,1.33,0.487
validation,LBI + mutational load,2027-04-01,1.336,1.515,1.305
validation,LBI + mutational load,2027-10-01,1.49,1.642,1.198
validation,LBI + mutational load,2028-04-01,1.5,1.797,0.894
validation,LBI + mutational load,2028-10-01,2.025,2.277,0.988
validation,LBI + mutational load,2029-04-01,1.922,2.572,0.449
validation,LBI + mutational load,2029-10-01,1.232,1.636,1.154
validation,LBI + mutational load,2030-04-01,1.551,1.764,1.24
validation,LBI + mutational load,2030-10-01,2.621,2.656,1.519
validation,LBI + mutational load,2031-04-01,4.34,3.562,1.953
validation,LBI + mutational load,2031-10-01,3.337,3.367,1.449
validation,LBI + mutational load,2032-04-01,3.616,3.631,0.782
validation,LBI + mutational load,2032-10-01,4.119,4.03,0.928
validation,LBI + mutational load,2033-04-01,5.953,6.795,1.28
validation,LBI + mutational load,2033-10-01,0.63,0.717,0.584
validation,LBI + mutational load,2034-04-01,6.716,6.567,2.987
validation,LBI + mutational load,2034-10-01,8.372,8.222,1.584
validation,LBI + mutational load,2035-04-01,4.566,3.895,1.036
validation,LBI + mutational load,2035-10-01,8.596,5.741,1.061
validation,LBI + mutational load,2036-04-01,4.657,6.77,1.376
validation,LBI + mutational load,2036-10-01,6.487,5.488,0.701
validation,LBI + mutational load,2037-04-01,5.147,3.988,1.158
validation,LBI + mutational load,2037-10-01,5.708,7.146,1.302
validation,LBI + mutational load,2038-04-01,19.717,16.453,1.173
validation,LBI + mutational load,2038-10-01,13.554,8.515,1.046
validation,LBI + mutational load,2039-04-01,19.33,19.456,1.432
validation,LBI + mutational load,2039-10-01,19.17,19.068,0.397
