model,predictor,timepoint,coefficient
epitope antigenic novelty + mutational load,ep_x,2026-04-01,-0.041
epitope antigenic novelty + mutational load,ne_star,2026-04-01,-0.762
epitope antigenic novelty + mutational load,ep_x,2026-10-01,-0.007
epitope antigenic novelty + mutational load,ne_star,2026-10-01,-0.804
epitope antigenic novelty + mutational load,ep_x,2027-04-01,0.011
epitope antigenic novelty + mutational load,ne_star,2027-04-01,-0.769
epitope antigenic novelty + mutational load,ep_x,2027-10-01,0.19
epitope antigenic novelty + mutational load,ne_star,2027-10-01,-0.373
epitope antigenic novelty + mutational load,ep_x,2028-04-01,0.168
epitope antigenic novelty + mutational load,ne_star,2028-04-01,-0.369
epitope antigenic novelty + mutational load,ep_x,2028-10-01,0.151
epitope antigenic novelty + mutational load,ne_star,2028-10-01,-0.397
epitope antigenic novelty + mutational load,ep_x,2029-04-01,0.119
epitope antigenic novelty + mutational load,ne_star,2029-04-01,-0.353
epitope antigenic novelty + mutational load,ep_x,2029-10-01,0.147
epitope antigenic novelty + mutational load,ne_star,2029-10-01,-0.363
epitope antigenic novelty + mutational load,ep_x,2030-04-01,0.125
epitope antigenic novelty + mutational load,ne_star,2030-04-01,-0.355
epitope antigenic novelty + mutational load,ep_x,2030-10-01,0.122
epitope antigenic novelty + mutational load,ne_star,2030-10-01,-0.36
epitope antigenic novelty + mutational load,ep_x,2031-04-01,0.094
epitope antigenic novelty + mutational load,ne_star,2031-04-01,-0.315
epitope antigenic novelty + mutational load,ep_x,2031-10-01,0.093
epitope antigenic novelty + mutational load,ne_star,2031-10-01,-0.316
epitope antigenic novelty + mutational load,ep_x,2032-04-01,0.061
epitope antigenic novelty + mutational load,ne_star,2032-04-01,-0.338
epitope antigenic novelty + mutational load,ep_x,2032-10-01,0.143
epitope antigenic novelty + mutational load,ne_star,2032-10-01,-0.33
epitope antigenic novelty + mutational load,ep_x,2033-04-01,0.135
epitope antigenic novelty + mutational load,ne_star,2033-04-01,-0.257
epitope antigenic novelty + mutational load,ep_x,2033-10-01,0.163
epitope antigenic novelty + mutational load,ne_star,2033-10-01,-0.297
epitope antigenic novelty + mutational load,ep_x,2034-04-01,0.076
epitope antigenic novelty + mutational load,ne_star,2034-04-01,-1.059
epitope antigenic novelty + mutational load,ep_x,2034-10-01,0.064
epitope antigenic novelty + mutational load,ne_star,2034-10-01,-1.133
epitope antigenic novelty + mutational load,ep_x,2035-04-01,0.07
epitope antigenic novelty + mutational load,ne_star,2035-04-01,-0.973
epitope antigenic novelty + mutational load,ep_x,2035-10-01,0.044
epitope antigenic novelty + mutational load,ne_star,2035-10-01,-1.696
epitope antigenic novelty + mutational load,ep_x,2036-04-01,0.07
epitope antigenic novelty + mutational load,ne_star,2036-04-01,-1.765
epitope antigenic novelty + mutational load,ep_x,2036-10-01,0.071
epitope antigenic novelty + mutational load,ne_star,2036-10-01,-2.02
epitope antigenic novelty + mutational load,ep_x,2037-04-01,0.071
epitope antigenic novelty + mutational load,ne_star,2037-04-01,-0.865
epitope antigenic novelty + mutational load,ep_x,2037-10-01,0.388
epitope antigenic novelty + mutational load,ne_star,2037-10-01,-0.581
epitope antigenic novelty + mutational load,ep_x,2038-04-01,0.255
epitope antigenic novelty + mutational load,ne_star,2038-04-01,-1.028
epitope antigenic novelty + mutational load,ep_x,2038-10-01,0.194
epitope antigenic novelty + mutational load,ne_star,2038-10-01,-0.757
epitope antigenic novelty + mutational load,ep_x,2039-04-01,0.194
epitope antigenic novelty + mutational load,ne_star,2039-04-01,-0.757
epitope antigenic novelty + mutational load,ep_x,2039-10-01,0.07
epitope antigenic novelty + mutational load,ne_star,2039-10-01,-0.773
LBI,lbi,2023-10-01,1.044
LBI,lbi,2024-04-01,1.021
LBI,lbi,2024-10-01,1.067
LBI,lbi,2025-04-01,1.117
LBI,lbi,2025-10-01,1.014
LBI,lbi,2026-04-01,0.926
LBI,lbi,2026-10-01,0.937
LBI,lbi,2027-04-01,0.949
LBI,lbi,2027-10-01,0.442
LBI,lbi,2028-04-01,0.481
LBI,lbi,2028-10-01,0.596
LBI,lbi,2029-04-01,0.955
LBI,lbi,2029-10-01,0.948
LBI,lbi,2030-04-01,0.775
LBI,lbi,2030-10-01,0.734
LBI,lbi,2031-04-01,0.646
LBI,lbi,2031-10-01,0.638
LBI,lbi,2032-04-01,0.373
LBI,lbi,2032-10-01,0.338
LBI,lbi,2033-04-01,0.323
LBI,lbi,2033-10-01,0.198
LBI,lbi,2034-04-01,0.99
LBI,lbi,2034-10-01,0.973
LBI,lbi,2035-04-01,0.946
LBI,lbi,2035-10-01,0.948
LBI,lbi,2036-04-01,0.884
LBI,lbi,2036-10-01,0.884
LBI,lbi,2037-04-01,-0.089
LBI,lbi,2037-10-01,-0.011
LBI,lbi,2038-04-01,0.008
LBI,lbi,2038-10-01,-0.049
LBI,lbi,2039-04-01,-0.085
LBI,lbi,2039-10-01,-0.094
delta frequency,delta_frequency,2023-10-01,0.857
delta frequency,delta_frequency,2024-04-01,0.71
delta frequency,delta_frequency,2024-10-01,1.115
delta frequency,delta_frequency,2025-04-01,1.175
delta frequency,delta_frequency,2025-10-01,1.259
delta frequency,delta_frequency,2026-04-01,1.311
delta frequency,delta_frequency,2026-10-01,1.235
delta frequency,delta_frequency,2027-04-01,1.258
delta frequency,delta_frequency,2027-10-01,1.444
delta frequency,delta_frequency,2028-04-01,1.749
delta frequency,delta_frequency,2028-10-01,1.637
delta frequency,delta_frequency,2029-04-01,1.734
delta frequency,delta_frequency,2029-10-01,1.452
delta frequency,delta_frequency,2030-04-01,1.568
delta frequency,delta_frequency,2030-10-01,1.528
delta frequency,delta_frequency,2031-04-01,1.212
delta frequency,delta_frequency,2031-10-01,1.585
delta frequency,delta_frequency,2032-04-01,1.438
delta frequency,delta_frequency,2032-10-01,1.825
delta frequency,delta_frequency,2033-04-01,1.844
delta frequency,delta_frequency,2033-10-01,1.069
delta frequency,delta_frequency,2034-04-01,0.497
delta frequency,delta_frequency,2034-10-01,0.073
delta frequency,delta_frequency,2035-04-01,0.073
delta frequency,delta_frequency,2035-10-01,0.072
delta frequency,delta_frequency,2036-04-01,-0.051
delta frequency,delta_frequency,2036-10-01,-0.048
delta frequency,delta_frequency,2037-04-01,0.073
delta frequency,delta_frequency,2037-10-01,-0.049
delta frequency,delta_frequency,2038-04-01,-0.052
delta frequency,delta_frequency,2038-10-01,-0.051
delta frequency,delta_frequency,2039-04-01,-0.071
delta frequency,delta_frequency,2039-10-01,-0.049
LBI + mutational load,lbi,2023-10-01,1.128
LBI + mutational load,ne_star,2023-10-01,0.419
LBI + mutational load,lbi,2024-04-01,2.651
LBI + mutational load,ne_star,2024-04-01,1.375
LBI + mutational load,lbi,2024-10-01,3.434
LBI + mutational load,ne_star,2024-10-01,1.122
LBI + mutational load,lbi,2025-04-01,1.119
LBI + mutational load,ne_star,2025-04-01,-0.07
LBI + mutational load,lbi,2025-10-01,0.983
LBI + mutational load,ne_star,2025-10-01,-0.132
LBI + mutational load,lbi,2026-04-01,0.711
LBI + mutational load,ne_star,2026-04-01,-0.418
LBI + mutational load,lbi,2026-10-01,0.672
LBI + mutational load,ne_star,2026-10-01,-0.54
LBI + mutational load,lbi,2027-04-01,0.727
LBI + mutational load,ne_star,2027-04-01,-0.469
LBI + mutational load,lbi,2027-10-01,0.289
LBI + mutational load,ne_star,2027-10-01,-0.209
LBI + mutational load,lbi,2028-04-01,0.368
LBI + mutational load,ne_star,2028-04-01,-0.183
LBI + mutational load,lbi,2028-10-01,0.459
LBI + mutational load,ne_star,2028-10-01,-0.185
LBI + mutational load,lbi,2029-04-01,0.955
LBI + mutational load,ne_star,2029-04-01,-0.0
LBI + mutational load,lbi,2029-10-01,0.948
LBI + mutational load,ne_star,2029-10-01,-0.0
LBI + mutational load,lbi,2030-04-01,0.757
LBI + mutational load,ne_star,2030-04-01,-0.046
LBI + mutational load,lbi,2030-10-01,0.712
LBI + mutational load,ne_star,2030-10-01,-0.058
LBI + mutational load,lbi,2031-04-01,0.616
LBI + mutational load,ne_star,2031-04-01,-0.05
LBI + mutational load,lbi,2031-10-01,0.603
LBI + mutational load,ne_star,2031-10-01,-0.059
LBI + mutational load,lbi,2032-04-01,0.294
LBI + mutational load,ne_star,2032-04-01,-0.25
LBI + mutational load,lbi,2032-10-01,0.258
LBI + mutational load,ne_star,2032-10-01,-0.24
LBI + mutational load,lbi,2033-04-01,0.252
LBI + mutational load,ne_star,2033-04-01,-0.21
LBI + mutational load,lbi,2033-10-01,0.139
LBI + mutational load,ne_star,2033-10-01,-0.236
LBI + mutational load,lbi,2034-04-01,0.854
LBI + mutational load,ne_star,2034-04-01,-1.043
LBI + mutational load,lbi,2034-10-01,0.829
LBI + mutational load,ne_star,2034-10-01,-1.023
LBI + mutational load,lbi,2035-04-01,0.807
LBI + mutational load,ne_star,2035-04-01,-1.02
LBI + mutational load,lbi,2035-10-01,0.875
LBI + mutational load,ne_star,2035-10-01,-1.301
LBI + mutational load,lbi,2036-04-01,0.873
LBI + mutational load,ne_star,2036-04-01,-1.305
LBI + mutational load,lbi,2036-10-01,0.873
LBI + mutational load,ne_star,2036-10-01,-1.314
LBI + mutational load,lbi,2037-04-01,-0.058
LBI + mutational load,ne_star,2037-04-01,-0.868
LBI + mutational load,lbi,2037-10-01,0.223
LBI + mutational load,ne_star,2037-10-01,-1.151
LBI + mutational load,lbi,2038-04-01,0.223
LBI + mutational load,ne_star,2038-04-01,-1.151
LBI + mutational load,lbi,2038-10-01,0.207
LBI + mutational load,ne_star,2038-10-01,-1.135
LBI + mutational load,lbi,2039-04-01,0.024
LBI + mutational load,ne_star,2039-04-01,-0.948
LBI + mutational load,lbi,2039-10-01,-0.097
LBI + mutational load,ne_star,2039-10-01,-0.732
