date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2025-02-04	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-05	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-06	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-07	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-08	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-09	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-10	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-11	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-12	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-13	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-14	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-15	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-16	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-17	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-18	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-19	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-20	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-21	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-22	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-23	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-24	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-25	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-26	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-27	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-02-28	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-03-01	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-03-02	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-03-03	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-03-04	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-03-05	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
2025-03-06	tropics	20	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA
