date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2039-04-03	north	0	0.21564686	0.2552003	0.17767335	0.24273564	0.18994343	0.2293899	0.20109506								FGA
2039-04-04	north	0	0.21558562	0.2551295	0.17763151	0.24265736	0.18990716	0.22932193	0.20104094								FGA
2039-04-05	north	0	0.21459252	0.2538776	0.17695333	0.24141246	0.18916558	0.22825491	0.20009558								FGA
2039-04-06	north	0	0.2131668	0.25204733	0.17596483	0.23976284	0.18802005	0.2266702	0.19870807								FGA
2039-04-07	north	0	0.21240702	0.2509506	0.17540564	0.2390187	0.18736424	0.2257452	0.19782051								FGA
2039-04-08	north	0	0.21175584	0.2500478	0.17493714	0.23827225	0.18681096	0.22497456	0.19712123								FGA
2039-04-09	north	0	0.21082443	0.24883194	0.17429976	0.23724303	0.18602678	0.22392935	0.19633877								FGA
2039-04-10	north	0	0.20980275	0.24750338	0.17361145	0.23613048	0.18515183	0.22286448	0.19550703								FGA
2039-04-11	north	0	0.20889506	0.24625443	0.17298737	0.23510154	0.18438168	0.22206019	0.19478647								FGA
2039-04-12	north	0	0.20800073	0.24508978	0.17230369	0.23407884	0.18367226	0.22127727	0.19407286								FGA
2039-04-13	north	0	0.20712455	0.24388894	0.17157677	0.23294835	0.1829618	0.22030982	0.19334206								FGA
2039-04-14	north	0	0.20611581	0.24266614	0.17083651	0.23173848	0.1822767	0.21927434	0.19259548								FGA
2039-04-15	north	0	0.20520344	0.24155456	0.1701075	0.23074876	0.18160857	0.21824771	0.19182934								FGA
2039-04-16	north	0	0.20432918	0.24046795	0.16929127	0.22965278	0.18094595	0.21734238	0.19102822								FGA
2039-04-17	north	0	0.20344111	0.2393714	0.16846922	0.22853217	0.18016498	0.21642658	0.19009139								FGA
2039-04-18	north	0	0.20249581	0.23826857	0.16764404	0.22740737	0.17937593	0.21539521	0.18929145								FGA
2039-04-19	north	0	0.20155336	0.23717318	0.16682087	0.22628535	0.17862703	0.21427318	0.188469								FGA
2039-04-20	north	0	0.2006442	0.2360809	0.16599888	0.22516488	0.1778728	0.21322773	0.18763529								FGA
2039-04-21	north	0	0.19972163	0.23498523	0.1651759	0.22404309	0.17708673	0.21233582	0.1868149								FGA
2039-04-22	north	0	0.1988025	0.23382214	0.16437216	0.22291602	0.1763683	0.21144092	0.1860168								FGA
2039-04-23	north	0	0.19787207	0.2326369	0.16360122	0.22177514	0.17560424	0.21053635	0.18513878								FGA
2039-04-24	north	0	0.19689178	0.23145165	0.16282995	0.22058132	0.17485276	0.20951676	0.18427663								FGA
2039-04-25	north	0	0.19603248	0.23026584	0.16205804	0.21949653	0.17410277	0.20843649	0.18351384								FGA
2039-04-26	north	0	0.19513741	0.22907971	0.16128561	0.21826622	0.17335175	0.20757324	0.18269014								FGA
2039-04-27	north	0	0.19423476	0.22789696	0.16051282	0.21695338	0.1725999	0.20648715	0.18193725								FGA
2039-04-28	north	0	0.19335005	0.22680388	0.15973973	0.21581307	0.17172042	0.20537299	0.18112606								FGA
2039-04-29	north	0	0.19238965	0.22571014	0.15896635	0.21483746	0.17091785	0.20427649	0.18035099								FGA
