date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model
2037-11-21	south	0	1.0374384	1.0446664	1.0293492	1.0424656	1.0321882	1.0398388	1.0346256	FGA
2037-11-22	south	0	1.0369985	1.0441513	1.0290357	1.0419009	1.0318953	1.0394505	1.0342678	FGA
2037-11-23	south	0	1.0365857	1.0437697	1.028749	1.0414109	1.0316367	1.0390841	1.0339653	FGA
2037-11-24	south	0	1.0362245	1.0433322	1.0285285	1.0409311	1.0314273	1.0387032	1.0336702	FGA
2037-11-25	south	0	1.0359449	1.042887	1.0283439	1.0405158	1.0312371	1.0383888	1.0334033	FGA
2037-11-26	south	0	1.0356696	1.0425295	1.0281863	1.040175	1.0309876	1.0380577	1.0331632	FGA
2037-11-27	south	0	1.0354438	1.0421599	1.0279597	1.0398724	1.0308424	1.0377089	1.0329219	FGA
2037-11-28	south	0	1.0352616	1.0418576	1.0277374	1.0395458	1.0307053	1.0374541	1.0327368	FGA
2037-11-29	south	0	1.0350399	1.0416172	1.0275419	1.0393153	1.0305079	1.037195	1.0325648	FGA
2037-11-30	south	0	1.0348264	1.041403	1.0273724	1.039	1.0303478	1.0369637	1.0324571	FGA
2037-12-01	south	0	1.0346494	1.0412072	1.0272442	1.0387841	1.0302262	1.036841	1.032346	FGA
2037-12-02	south	0	1.0344722	1.041001	1.0271878	1.0386074	1.0301656	1.0367045	1.0322458	FGA
2037-12-03	south	0	1.034291	1.040809	1.0272074	1.0384133	1.0301201	1.0365583	1.0321244	FGA
2037-12-04	south	0	1.0341988	1.0406404	1.0272596	1.0383039	1.0300317	1.0364305	1.0320632	FGA
2037-12-05	south	0	1.0341144	1.040525	1.0272707	1.0381856	1.0299139	1.0363567	1.0320113	FGA
2037-12-06	south	0	1.0340157	1.0403856	1.027302	1.038085	1.029834	1.0363119	1.0319282	FGA
2037-12-07	south	0	1.0339485	1.0402997	1.027393	1.0380228	1.0298635	1.036232	1.0318904	FGA
2037-12-08	south	0	1.0339158	1.040266	1.0275186	1.0380024	1.0298117	1.0362015	1.0318611	FGA
2037-12-09	south	0	1.0338817	1.0402421	1.0275921	1.0379517	1.0298102	1.0361567	1.0318632	FGA
2037-12-10	south	0	1.0338398	1.0401686	1.0277047	1.03792	1.0298605	1.0361133	1.0318788	FGA
2037-12-11	south	0	1.033838	1.0401379	1.0276684	1.037923	1.0299737	1.0361094	1.0319294	FGA
2037-12-12	south	0	1.0338279	1.0400704	1.0277034	1.0378572	1.0299875	1.036078	1.0319577	FGA
2037-12-13	south	0	1.0338411	1.0400287	1.0277407	1.0378429	1.0298967	1.0361643	1.0319943	FGA
2037-12-14	south	0	1.0339086	1.0400361	1.0278186	1.0378828	1.0299523	1.0362016	1.0320724	FGA
2037-12-15	south	0	1.0339503	1.0400894	1.027948	1.0379217	1.0300292	1.0361927	1.0321382	FGA
2037-12-16	south	0	1.033978	1.0401335	1.0280933	1.0380136	1.0301187	1.0361851	1.032207	FGA
2037-12-17	south	0	1.0340153	1.0401103	1.0282546	1.038024	1.03022	1.0362505	1.0323226	FGA
2037-12-18	south	0	1.0340772	1.0401137	1.0284662	1.0380852	1.0303323	1.036296	1.0324769	FGA
2037-12-19	south	0	1.0341806	1.0401765	1.0287182	1.0381284	1.0304527	1.0364063	1.0325557	FGA
2037-12-20	south	0	1.0343244	1.0402782	1.0288723	1.038238	1.0305091	1.0365007	1.032692	FGA
2037-12-21	south	0	1.0344553	1.0403539	1.0289984	1.0382994	1.0306807	1.0365582	1.0327328	FGA
2037-12-22	south	0	1.0345678	1.0404068	1.0291618	1.038385	1.0307326	1.0366161	1.0328066	FGA
2037-12-23	south	0	1.0346913	1.0404581	1.0292556	1.0383928	1.0308069	1.0366819	1.0329174	FGA
2037-12-24	south	0	1.0348132	1.0405189	1.0293541	1.0384765	1.0309597	1.0367321	1.0330391	FGA
2037-12-25	south	0	1.0349193	1.0405872	1.0294745	1.0385174	1.0311083	1.0367911	1.0331302	FGA
2037-12-26	south	0	1.0350157	1.0406517	1.0295932	1.0385722	1.0312555	1.0368518	1.0332149	FGA
2037-12-27	south	0	1.035127	1.0407125	1.0297123	1.0386574	1.0314307	1.0369219	1.0332663	FGA
2037-12-28	south	0	1.0352265	1.0407697	1.0298206	1.0386735	1.0315068	1.036988	1.0333622	FGA
2037-12-29	south	0	1.0353166	1.0407916	1.02988	1.038717	1.0316651	1.0370018	1.0334618	FGA
2037-12-30	south	0	1.0354002	1.0407753	1.0299222	1.0388076	1.0317669	1.0370678	1.0335271	FGA
2037-12-31	south	0	1.0354457	1.0407839	1.0300256	1.0389072	1.0318893	1.0371548	1.0336562	FGA
2038-01-01	south	0	1.0355389	1.0408127	1.0301155	1.0390049	1.0320637	1.0372308	1.0337646	FGA
2038-01-02	south	0	1.0356365	1.0408887	1.0302497	1.0390041	1.0321549	1.0373204	1.0338545	FGA
2038-01-03	south	0	1.0356811	1.0410104	1.0303223	1.0390801	1.0322522	1.037441	1.0339298	FGA
2038-01-04	south	0	1.0357695	1.0410416	1.0303715	1.0391184	1.0322951	1.0374948	1.0340343	FGA
2038-01-05	south	0	1.035885	1.0411439	1.0304787	1.0392481	1.0324174	1.0375562	1.0341498	FGA
2038-01-06	south	0	1.0359671	1.0412192	1.0306022	1.039342	1.0325452	1.0376691	1.0342855	FGA
2038-01-07	south	0	1.0361093	1.0413281	1.0307306	1.039386	1.0327346	1.0377694	1.0344058	FGA
2038-01-08	south	0	1.0362384	1.0414398	1.0308843	1.0394624	1.0329251	1.0378615	1.0345527	FGA
2038-01-09	south	0	1.0363214	1.0415518	1.0310364	1.0395823	1.0330491	1.0379859	1.0346351	FGA
2038-01-10	south	0	1.036444	1.0416636	1.0311533	1.0397248	1.0331875	1.0381283	1.0347867	FGA
2038-01-11	south	0	1.0365644	1.0417044	1.0312761	1.0398241	1.0333459	1.0382315	1.0349241	FGA
2038-01-12	south	0	1.0367072	1.0417333	1.0313997	1.0399404	1.0335108	1.0383474	1.035085	FGA
2038-01-13	south	0	1.0368559	1.0417622	1.0315044	1.039987	1.0336877	1.0384552	1.0352085	FGA
2038-01-14	south	0	1.0370297	1.0418992	1.031591	1.04004	1.033859	1.0385625	1.0353549	FGA
2038-01-15	south	0	1.0371772	1.042052	1.0316556	1.0401056	1.0340451	1.0386798	1.0355046	FGA
2038-01-16	south	0	1.0372907	1.0422081	1.0317261	1.0401331	1.0341249	1.0388072	1.035654	FGA
2038-01-17	south	0	1.037406	1.0423715	1.0318708	1.040332	1.0342749	1.038927	1.0358086	FGA
2038-01-18	south	0	1.0375714	1.0424776	1.032065	1.0404356	1.0343794	1.0390799	1.0359946	FGA
2038-01-19	south	0	1.0377553	1.0425997	1.0322639	1.0405233	1.034613	1.0391719	1.03612	FGA
2038-01-20	south	0	1.0378696	1.0426784	1.0324717	1.0407181	1.0347886	1.0393038	1.0362986	FGA
2038-01-21	south	0	1.0380611	1.0427858	1.0327134	1.0409036	1.034969	1.0394411	1.036488	FGA
2038-01-22	south	0	1.0382118	1.042903	1.0329499	1.0410365	1.035161	1.0395906	1.0366693	FGA
2038-01-23	south	0	1.03837	1.0430063	1.0331835	1.0411988	1.0353822	1.0398134	1.0368469	FGA
2038-01-24	south	0	1.0385628	1.0431128	1.0333985	1.0413872	1.0355432	1.039995	1.0370331	FGA
2038-01-25	south	0	1.038744	1.0432261	1.0336394	1.0416	1.0356711	1.040179	1.0372683	FGA
2038-01-26	south	0	1.0389366	1.0433899	1.0339197	1.0417819	1.0358799	1.0403659	1.037472	FGA
