country	model	pivot_date	lead	variant	date	MAE	MSE	loglik	coverage_posterior	coverage_predictive	total_seq	raw_freq	smoothed_freq	pred_freq
tropics	FGA	2025-04-01	-100	0	2024-12-22	0.09945818148148144	0.009891929863603299	-0.1542901728892964	0	1	1.0	1.0	0.9564814814814815	0.8570233
tropics	FGA	2025-04-01	-93	0	2024-12-29	0.0009446251851852328	8.923167404862353e-07	-1.1737439507291672	1	1	10.0	0.9	0.9526851851851852	0.95174056
tropics	FGA	2025-04-01	-86	0	2025-01-05	0.049519562345679	0.0024521870549075895	-3.6167185246276645	0	1	27.0	0.9259259259259259	0.940570987654321	0.99009055
tropics	FGA	2025-04-01	-79	0	2025-01-12	0.0701934746031746	0.004927123876866517	-0.038230516038091585	0	0	20.0	1.0	0.9278968253968254	0.9980903
tropics	FGA	2025-04-01	-72	0	2025-01-19	0.10028820317460319	0.010057723695990489	-5.091845853461847	0	0	16.0	0.9375	0.8993253968253968	0.9996136
tropics	FGA	2025-04-01	-65	0	2025-01-26	0.11806122063492075	0.013938451817807437	-20.8074803341431	0	0	25.0	0.88	0.8818650793650793	0.9999263
tropics	FGA	2025-04-01	-58	0	2025-02-02	0.12539525291005293	0.015723969452376137	-34.71106468240681	0	0	27.0	0.8518518518518519	0.8745899470899471	0.9999852
tropics	FGA	2025-04-01	-51	0	2025-02-09	0.14326419576719585	0.020524629788821417	-32.030433389016295	0	0	15.0	0.8	0.8567328042328042	0.999997
tropics	FGA	2025-04-01	-44	0	2025-02-16	0.1615489086923657	0.026098049899694314	-49.27918293186213	0	0	18.0	0.7777777777777778	0.8384504913076343	0.9999994
tropics	FGA	2025-04-01	-37	0	2025-02-23	0.19202559916855633	0.03687383073604306	-40.74145802404677	0	0	24.0	0.875	0.8079743008314437	0.9999999
tropics	FGA	2025-04-01	-30	0	2025-03-02	0.20657596371882092	0.042673628786359614	-inf	0	0	24.0	0.875	0.7934240362811791	1.0
tropics	FGA	2025-04-01	-23	0	2025-03-09	0.2090604357685103	0.04370626580371942	-inf	0	0	21.0	0.8095238095238095	0.7909395642314897	1.0
tropics	FGA	2025-04-01	-16	0	2025-03-16	0.21132800946465546	0.04465952758429351	-inf	0	0	21.0	0.6666666666666666	0.7886719905353445	1.0
tropics	FGA	2025-04-01	-9	0	2025-03-23	0.24108991422656012	0.05812434674177012	-inf	0	0	20.0	0.75	0.7589100857734399	1.0
tropics	FGA	2025-04-01	-2	0	2025-03-30	0.28143382957047547	0.07920500042670343	-inf	0	0	23.0	0.782608695652174	0.7185661704295245	1.0
tropics	FGA	2025-04-01	5	0	2025-04-06	0.32565151664530545	0.10604891029338766	-inf	0	0	21.0	0.7619047619047619	0.6743484833546946	1.0
tropics	FGA	2025-04-01	12	0	2025-04-13	0.3316038975976864	0.10996114490197688	-inf	0	0	21.0	0.6666666666666666	0.6683961024023136	1.0
tropics	FGA	2025-04-01	19	0	2025-04-20	0.3571141016793191	0.12753048161822708	-inf	0	0	27.0	0.5925925925925926	0.6428858983206809	1.0
tropics	FGA	2025-04-01	26	0	2025-04-27	0.39748677248677244	0.1579957343019512	-inf	0	0	24.0	0.5	0.6025132275132276	1.0
tropics	FGA	2025-04-01	33	0	2025-05-04	0.4154212189926475	0.1725747891893372	-inf	0	0	16.0	0.625	0.5845787810073525	1.0
tropics	FGA	2025-04-01	40	0	2025-05-11	0.45510375867518726	0.20711943116028309	-inf	0	0	21.0	0.5714285714285714	0.5448962413248127	1.0
tropics	FGA	2025-04-01	47	0	2025-05-18	0.48833127190270054	0.23846743111810925	-inf	0	0	24.0	0.5	0.5116687280972995	1.0
tropics	FGA	2025-04-01	54	0	2025-05-25	0.49063541936813826	0.2407231147385489	-inf	0	0	22.0	0.6363636363636364	0.5093645806318617	1.0
tropics	FGA	2025-04-01	61	0	2025-06-01	0.526349705082424	0.27704401204035467	-inf	0	0	18.0	0.3888888888888889	0.473650294917576	1.0
tropics	FGA	2025-04-01	68	0	2025-06-08	0.5314517458987504	0.28244095821883003	-inf	0	0	25.0	0.36	0.4685482541012495	1.0
tropics	FGA	2025-04-01	75	0	2025-06-15	0.5534297678767724	0.30628450797213824	-inf	0	0	31.0	0.4838709677419355	0.44657023212322755	1.0
tropics	FGA	2025-04-01	82	0	2025-06-22	0.572910287357292	0.3282261973598149	-inf	0	0	16.0	0.375	0.427089712642708	1.0
tropics	FGA	2025-04-01	89	0	2025-06-29	0.5713229857699904	0.32640995406913664	-inf	0	0	28.0	0.5357142857142857	0.4286770142300096	1.0
