batch,config,run,site_class,statistic,min_origin_progeny,k,n_total,n_within_k,n_null_total,n_null_within_k
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,1,6,775,192,5000,1318
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,1,7,775,235,5000,1699
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,mean,1,8,775,292,5000,2128
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,1,185,65,5000,2188
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,2,185,109,5000,2749
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,3,185,123,5000,3085
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,4,185,136,5000,3330
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,5,185,144,5000,3565
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,6,185,146,5000,3778
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,7,185,153,5000,3953
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,min,1,8,185,159,5000,4099
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,1,775,57,5000,917
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,2,775,160,5000,1465
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,3,775,223,5000,1869
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,4,775,316,5000,2249
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,5,775,369,5000,2575
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,6,775,426,5000,2904
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,7,775,468,5000,3163
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,min,1,8,775,512,5000,3366
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,1,57,4,5000,394
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,2,57,11,5000,732
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,3,57,16,5000,1000
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,4,57,19,5000,1287
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,5,57,23,5000,1582
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,6,57,25,5000,1924
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,7,57,27,5000,2208
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,epitope,two_origins,1,8,57,33,5000,2473
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,non_epitope,two_origins,1,1,438,11,5000,401
