batch,config,run,genetic_bin_low,genetic_bin_high,n_pairs,median_antigenic_distance,q25_antigenic_distance,q75_antigenic_distance
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,3,5,44445,3.8704946880211577,2.486391767200012,5.077660348034319
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,6,10,65705,9.214637247336434,7.138132322253488,11.170386175061275
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,11,20,67985,18.525487749584357,15.54393887854684,22.10033931526844
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,21,40,2508,28.925110269249867,27.7023765747634,29.009155571301967
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,0,2,14988,0.9356931120832281,0.0,2.232734189284517
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,3,5,31991,4.311058636808365,2.8869707740120956,5.408464777550094
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,6,10,47723,8.73944148787553,6.924612495295312,11.033378204339774
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,11,20,73259,17.485026026002938,14.330066060210608,21.15798522756834
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,21,40,32039,29.71827796844898,26.032304396648296,33.419909082162384
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,0,2,15769,1.188640403991048,0.0,2.3915294374102953
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,3,5,36079,4.474444918646336,3.221206781627034,6.52506471079023
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,6,10,63011,11.727211510414573,8.495436992880355,15.620171479532484
