config,run,method,bg_bin,bg_bin_low,same_rate,null_rate,n_same,n_null
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_ag,16-31,16,0.0,0.0,530,4747
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_ag,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,0,0,0.9929078014184397,0.9305689488910318,141,1037
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,1,1,0.6816479400749064,0.2925720060636685,267,1979
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,2-3,2,0.03544776119402985,0.04245606026021456,536,4381
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,4-7,4,0.004570383912248629,0.004101161995898838,1094,8778
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,8-15,8,0.0,0.0,1923,16581
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,16-31,16,0.0,0.0,530,4747
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_phylo,32+,32,,,0,0
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,0,0,1.0,0.970106075216972,141,1037
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,1,1,0.36329588014981273,0.20363820111167255,267,1979
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,2-3,2,0.024253731343283583,0.025336681123031272,536,4381
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,4-7,4,0.002742230347349177,0.000455684666210982,1094,8778
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,8-15,8,0.0,0.0,1923,16581
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,variant_tsne,16-31,16,0.0,0.0,530,4747
