batch,config,run,method_x,method_y,nid
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_ag,variant_phylo,0.20363697545594772
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,variant_tsne,variant_phylo,0.16663234132370175
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,variant_tsne,0.19151512794590042
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_ag,variant_phylo,0.31468771176500665
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,variant_tsne,variant_phylo,0.2981936171063402
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,variant_tsne,0.17192857227651348
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_ag,variant_phylo,0.4125940290833119
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,variant_tsne,variant_phylo,0.37226083039613456
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,variant_ag,variant_tsne,0.2405695532885077
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,variant_ag,variant_phylo,0.3441938713440773
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,1,variant_tsne,variant_phylo,0.3127613902905636
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,variant_ag,variant_tsne,0.24639929875667077
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,variant_ag,variant_phylo,0.33275897326142245
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,12,variant_tsne,variant_phylo,0.27729013846375283
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,variant_ag,variant_tsne,0.18991539349041042
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0,10,variant_ag,variant_phylo,0.30740061315646583
