config,run,min_progeny,is_epitope,min_background_distance_aa,min_birthtime_gap_years,closest_pair_birthtime_gap_years
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,2.1629,2.1629
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,6.592099999999999,6.592099999999999
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,3,3.9097999999999997,3.9097999999999997
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,3.138099999999998,3.138099999999998
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,6,1.6788999999999987,1.6788999999999987
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,4.5678,4.5678
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,4,4.1311,6.1089
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,1.342100000000002,5.0495
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,1.9504000000000001,2.3338
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,9,10.244900000000001,10.244900000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,3.6879,3.6879
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,0.4679000000000002,0.4679000000000002
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,5,4.886299999999999,4.886299999999999
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,17,21.4159,21.4159
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,2,1.6868999999999996,1.6868999999999996
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,13,14.6071,14.6071
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,0.851700000000001,0.851700000000001
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,1,0.8885000000000005,0.8885000000000005
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,1,False,9,10.2941,10.2941
