date	country	variant	sequences
2027-05-23	north	19	2
2027-05-23	south	18	4
2027-05-23	tropics	18	1
2027-05-30	north	2	1
2027-05-30	south	2	2
2027-06-06	north	19	1
2027-06-06	south	2	4
2027-06-13	north	2	1
2027-06-13	north	19	166
2027-06-13	south	19	21
2027-06-13	south	25	16
2027-06-13	tropics	2	2
2027-06-13	tropics	19	31
2027-06-13	tropics	25	1
2027-06-20	north	19	1
2027-06-20	south	2	9
2027-06-20	south	19	48
2027-06-20	south	25	50
2027-06-20	tropics	2	1
2027-06-20	tropics	19	1
2027-06-20	tropics	25	2
2027-06-27	north	2	15
2027-06-27	south	2	1
2027-06-27	south	25	3
2027-06-27	tropics	2	62
2027-06-27	tropics	19	4
2027-07-04	south	2	20
2027-07-04	south	25	9
2027-07-04	tropics	2	1
2027-07-04	tropics	19	5
2027-07-11	south	13	1
2027-07-11	south	19	2
2027-07-11	south	25	1
2027-07-11	tropics	2	2
2027-07-18	north	2	1
2027-07-18	north	25	2
2027-07-18	south	2	4
2027-07-18	south	19	1
2027-07-18	south	25	18
2027-07-18	tropics	19	2
2027-07-18	tropics	25	2
2027-07-25	south	2	1
2027-07-25	south	19	2
2027-07-25	south	25	10
2027-07-25	tropics	13	2
2027-07-25	tropics	25	2
2027-08-01	south	2	6
2027-08-01	south	13	2
2027-08-01	south	25	8
2027-08-01	tropics	19	1
2027-08-08	north	2	1
2027-08-08	south	2	2
2027-08-08	south	13	4
2027-08-08	south	19	8
2027-08-08	south	25	6
2027-08-08	tropics	19	2
2027-08-15	south	2	2
2027-08-15	south	19	2
2027-08-15	south	25	11
2027-08-22	south	2	3
2027-08-22	south	19	9
2027-08-22	south	25	3
2027-08-22	tropics	2	2
2027-08-22	tropics	18	1
2027-08-22	tropics	19	2
2027-08-29	south	2	1
2027-08-29	south	19	3
2027-08-29	south	25	4
2027-08-29	tropics	2	2
2027-08-29	tropics	19	4
2027-09-05	south	2	1
2027-09-05	south	13	2
2027-09-05	south	19	1
2027-09-05	south	25	5
2027-09-05	tropics	13	10
2027-09-05	tropics	19	4
2027-09-05	tropics	25	1
2027-09-12	south	25	2
2027-09-12	tropics	2	1
2027-09-12	tropics	19	1
2027-09-19	south	2	2
2027-09-19	south	19	1
2027-09-19	south	25	2
2027-09-19	tropics	2	1
2027-09-19	tropics	13	5
2027-09-19	tropics	19	5
2027-09-19	tropics	25	1
2027-09-26	south	19	2
2027-09-26	south	25	2
2027-09-26	tropics	19	1
2027-09-26	tropics	25	2
2027-10-03	south	19	1
2027-10-03	tropics	13	1
2027-10-03	tropics	19	1
2027-10-10	south	2	2
2027-10-10	south	19	1
2027-10-10	south	25	1
2027-10-10	tropics	19	4
2027-10-17	south	2	1
2027-10-17	south	19	1
2027-10-17	south	25	1
2027-10-17	tropics	2	1
2027-10-17	tropics	19	1
2027-10-17	tropics	25	2
2027-10-24	south	19	1
2027-10-24	tropics	19	2
2027-10-31	south	25	1
2027-10-31	tropics	2	1
2027-10-31	tropics	18	1
2027-10-31	tropics	19	3
2027-11-07	tropics	2	1
2027-11-07	tropics	19	2
2027-11-14	tropics	19	1
2027-11-21	north	18	956
2027-11-21	south	18	245
2027-11-21	tropics	13	1
2027-11-21	tropics	18	1732
2027-11-21	tropics	25	3
2027-11-28	north	19	4
2027-11-28	south	19	2
2027-11-28	south	25	1
2027-11-28	tropics	19	8
2027-11-28	tropics	25	2
2027-12-05	north	13	13
2027-12-05	south	13	6
2027-12-05	tropics	13	204
2027-12-05	tropics	19	2
2027-12-12	north	13	2
2027-12-12	south	13	5
2027-12-12	tropics	2	2
2027-12-12	tropics	13	20
2027-12-12	tropics	19	1
2027-12-19	north	19	419
2027-12-19	south	19	39
2027-12-19	tropics	19	12
2028-01-02	tropics	19	1
2028-01-09	tropics	19	1
2028-01-16	tropics	2	2
2028-01-30	north	25	1
2028-01-30	tropics	25	1
2028-02-13	tropics	2	2
2028-02-13	tropics	19	1
2028-02-20	north	19	1
2028-02-20	south	19	1
2028-02-20	tropics	19	5
2028-02-27	north	18	1844
2028-02-27	south	18	1838
2028-02-27	tropics	18	670
2028-03-05	tropics	2	1
2028-03-05	tropics	18	1
2028-03-05	tropics	25	1
2028-03-12	tropics	2	1
2028-03-12	tropics	13	2
2028-03-19	tropics	2	1
2028-04-02	tropics	13	2
2028-04-30	north	25	1
2028-04-30	tropics	2	1
2028-05-07	south	18	1
2028-05-07	tropics	18	13
2028-05-07	tropics	19	1
2028-05-14	tropics	2	2
2028-05-14	tropics	19	4
2028-05-21	north	13	6
2028-05-21	south	13	2
2028-05-21	tropics	13	31
2028-06-04	tropics	2	1
2028-06-11	tropics	13	1
2028-06-11	tropics	19	1
2028-06-25	tropics	18	1
2028-07-02	tropics	13	1
2028-07-02	tropics	18	2
2028-07-09	tropics	13	1
2028-07-09	tropics	18	1
2028-07-16	south	13	4
2028-07-16	tropics	13	4
2028-07-16	tropics	18	4
2028-07-16	tropics	19	2
2028-07-23	north	18	22
2028-07-23	south	18	16
2028-07-23	tropics	13	3
2028-07-23	tropics	18	6
2028-07-30	tropics	18	1
2028-08-06	tropics	2	2
2028-08-06	tropics	18	5
2028-08-13	tropics	2	4
2028-08-13	tropics	18	5
2028-08-13	tropics	19	1
2028-08-20	tropics	13	2
2028-08-20	tropics	18	10
2028-08-20	tropics	19	1
2028-08-27	north	19	31
2028-08-27	north	25	6
2028-08-27	south	18	1
2028-08-27	tropics	13	2
2028-08-27	tropics	18	6
2028-09-03	north	13	4
2028-09-03	north	19	1
2028-09-03	south	13	6
2028-09-03	south	18	1
2028-09-03	south	19	1
2028-09-03	tropics	13	4
2028-09-03	tropics	18	1
2028-09-03	tropics	19	2
2028-09-10	north	13	3
2028-09-10	north	18	1
2028-09-10	tropics	13	1
2028-09-10	tropics	18	5
2028-09-10	tropics	19	1
2028-09-17	north	13	221
2028-09-17	south	13	134
2028-09-17	south	18	7
2028-09-17	tropics	13	11
2028-09-17	tropics	18	1
2028-09-24	tropics	2	1
2028-09-24	tropics	18	1
2028-10-01	north	13	1
2028-10-01	north	19	6
2028-10-01	tropics	13	2
2028-10-01	tropics	18	5
2028-10-08	north	13	4
2028-10-08	south	18	3
2028-10-08	tropics	13	7
2028-10-08	tropics	18	3
2028-10-15	north	18	2
2028-10-15	south	18	1
2028-10-15	tropics	18	7
2028-10-22	north	18	3
2028-10-22	south	13	1
2028-10-22	south	18	1
2028-10-22	tropics	18	1
2028-10-29	south	18	1
2028-10-29	tropics	18	4
2028-11-05	north	18	73
2028-11-05	north	27	52
