location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
north	2	0.99166536	1.0005327	0.9824946	0.9984094	0.98572445	0.9952129	0.9883062	2026-10-01	MLR
north	19	1.1435896	1.161766	1.1264726	1.154779	1.1317972	1.1495504	1.1386367	2026-10-01	MLR
