location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
tropics	24	0.9766511	1.0025377	0.9511541	0.99460286	0.9615557	0.98622525	0.96770334	2053-04-01	MLR
tropics	10	0.9798471	1.0076306	0.9569844	0.9985887	0.96466315	0.99017656	0.97157073	2053-04-01	MLR
tropics	4	0.98290384	1.0052687	0.96396744	0.9973887	0.9693966	0.99124897	0.97539055	2053-04-01	MLR
tropics	12	1.1001132	1.1270875	1.0791175	1.1170914	1.0858012	1.1089015	1.0922638	2053-04-01	MLR
