location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
tropics	10	0.8983782	0.92353475	0.8696825	0.9149743	0.8785527	0.9073704	0.88818127	2044-04-01	MLR
tropics	19	0.9348376	0.9468587	0.92384595	0.9431574	0.92817163	0.9393432	0.9312327	2044-04-01	MLR
