location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
north	14	0.90918636	0.9153307	0.9028338	0.9133168	0.9051546	0.91130483	0.907079	2052-04-01	MLR
north	26	0.88608223	0.89644146	0.8763588	0.89334524	0.87990844	0.8895021	0.8828559	2052-04-01	MLR
north	3	0.34891528	0.45268586	0.27189165	0.40654346	0.29492867	0.37797874	0.3184596	2052-04-01	MLR
north	18	1.0377364	1.0428156	1.033011	1.0412476	1.0346078	1.0394711	1.0361121	2052-04-01	MLR
