location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	date	model
tropics	0	0.9567342	0.96565545	0.94819987	0.96199703	0.9515986	0.9594806	0.95411825	2039-04-01	MLR
tropics	12	0.9572523	0.9654514	0.94753253	0.9631588	0.9513395	0.95998836	0.9545011	2039-04-01	MLR
tropics	25	0.91574806	0.9470717	0.88546133	0.9368376	0.8963621	0.92757833	0.9053296	2039-04-01	MLR
tropics	21	1.0138264	1.0249153	1.0017902	1.0206791	1.0058082	1.0176513	1.0096744	2039-04-01	MLR
tropics	9	0.92159045	0.9741406	0.8671646	0.95074207	0.88613164	0.9366006	0.90319884	2039-04-01	MLR
