date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model
2038-12-01	tropics	0	0.9523368	0.99649656	0.39196584	0.9927513	0.7253036	0.97986996	0.8820797								MLR
2038-12-02	tropics	0	0.9516631	0.996433	0.39045143	0.9925787	0.7243769	0.97959954	0.88072354								MLR
2038-12-03	tropics	0	0.95111847	0.9963684	0.38893905	0.9924021	0.7234483	0.97920597	0.8798152								MLR
2038-12-04	tropics	0	0.9505676	0.99630255	0.3874288	0.99222136	0.72081715	0.9788307	0.87904984								MLR
2038-12-05	tropics	0	0.95001066	0.99623555	0.38592055	0.99203175	0.71738577	0.97842336	0.8783227								MLR
2038-12-06	tropics	0	0.9494474	0.99616724	0.38441446	0.99183667	0.71554	0.9780715	0.87759185								MLR
2038-12-07	tropics	0	0.94877505	0.9960976	0.3829105	0.99159974	0.7147124	0.97782946	0.87685704								MLR
2038-12-08	tropics	0	0.9479523	0.9960267	0.38140872	0.9913246	0.71388143	0.97737324	0.8761186								MLR
2038-12-09	tropics	0	0.9470472	0.9959545	0.37990922	0.99104047	0.7121052	0.9768956	0.8753763								MLR
2038-12-10	tropics	0	0.94628173	0.99588096	0.37841195	0.9907471	0.7090776	0.9764082	0.8746301								MLR
2038-12-11	tropics	0	0.9456121	0.9958061	0.37691694	0.99044424	0.70612633	0.9759106	0.87388015								MLR
2038-12-12	tropics	0	0.9445895	0.99572986	0.37542433	0.9901288	0.7031548	0.9755505	0.87312627								MLR
2038-12-13	tropics	0	0.9436487	0.9956521	0.373934	0.9899311	0.7033833	0.9752156	0.87175196								MLR
2038-12-14	tropics	0	0.94269234	0.995573	0.3724461	0.98974377	0.7021706	0.9747855	0.8700205								MLR
2038-12-15	tropics	0	0.9417201	0.9954735	0.37096053	0.98954177	0.6998678	0.9745286	0.86865836								MLR
2038-12-16	tropics	0	0.940732	0.99536234	0.3694775	0.98917156	0.69755447	0.9742731	0.8666868								MLR
2038-12-17	tropics	0	0.9400698	0.99524844	0.3679969	0.9888405	0.695231	0.97390956	0.86413395								MLR
2038-12-18	tropics	0	0.93945056	0.9951318	0.36651883	0.9886031	0.69289726	0.9732554	0.86318135								MLR
2038-12-19	tropics	0	0.93866897	0.9950233	0.36504328	0.9883547	0.6906339	0.9729085	0.8631328								MLR
2038-12-20	tropics	0	0.93802714	0.9949184	0.3635703	0.988101	0.68731225	0.9725556	0.86320317								MLR
2038-12-21	tropics	0	0.9374238	0.99481094	0.36209992	0.98784167	0.68345773	0.9721714	0.8627192								MLR
2038-12-22	tropics	0	0.9367559	0.994701	0.36115146	0.9875767	0.67957723	0.97165185	0.86173725								MLR
2038-12-23	tropics	0	0.93580604	0.99458843	0.36020905	0.9873269	0.6757623	0.9712244	0.86085373								MLR
2038-12-24	tropics	0	0.93494195	0.9944738	0.35926852	0.987095	0.6720342	0.9708641	0.86048436								MLR
2038-12-25	tropics	0	0.93420315	0.99435985	0.35832995	0.9867747	0.6713779	0.9703713	0.8591652								MLR
2038-12-26	tropics	0	0.9333569	0.99421775	0.35739326	0.9865064	0.67100203	0.9698703	0.8577056								MLR
2038-12-27	tropics	0	0.93231964	0.9940463	0.35645857	0.9862352	0.67074937	0.96936125	0.8562333								MLR
2038-12-28	tropics	0	0.931141	0.9938697	0.35552588	0.9860499	0.6707863	0.9688439	0.8547484								MLR
2038-12-29	tropics	0	0.930105	0.993688	0.3545952	0.98586076	0.66904855	0.9682717	0.8532507								MLR
2038-12-30	tropics	0	0.9291506	0.9935082	0.3536665	0.9856691	0.6687002	0.9677835	0.8518296								MLR
2038-12-31	tropics	0	0.92831254	0.9933384	0.35273993	0.985349	0.6690498	0.96724033	0.8503014								MLR
2039-01-01	tropics	0	0.9272707	0.99316597	0.3518154	0.9851045	0.666092	0.9666883	0.848682								MLR
2039-01-02	tropics	0	0.9265059	0.99299556	0.35089296	0.9847036	0.66312087	0.9661272	0.8471315								MLR
2039-01-03	tropics	0	0.9257671	0.99282503	0.34997267	0.9843015	0.66013676	0.96559525	0.845685								MLR
2039-01-04	tropics	0	0.9248635	0.99265367	0.3490545	0.98403966	0.65716696	0.96510875	0.84449637								MLR
2039-01-05	tropics	0	0.9239729	0.9924966	0.3479073	0.9837512	0.6547435	0.9647344	0.8433001								MLR
2039-01-06	tropics	0	0.9230827	0.99233615	0.3461543	0.9834808	0.65370286	0.96435004	0.8418108								MLR
2039-01-07	tropics	0	0.9221128	0.99217236	0.34542605	0.9832058	0.64893353	0.9639292	0.8397847								MLR
2039-01-08	tropics	0	0.92078465	0.99200505	0.34466884	0.9829187	0.6457433	0.96350354	0.837861								MLR
2039-01-09	tropics	0	0.91934884	0.9918342	0.34391427	0.9826071	0.64328593	0.9630513	0.83584917								MLR
2039-01-10	tropics	0	0.9180967	0.9916598	0.3440753	0.98214996	0.64088917	0.9625304	0.8337365								MLR
2039-01-11	tropics	0	0.91708446	0.9914817	0.34452447	0.98166823	0.6386387	0.96191907	0.8315148								MLR
2039-01-12	tropics	0	0.9160738	0.99129975	0.3449708	0.9813117	0.63734585	0.961298	0.8292694								MLR
2039-01-13	tropics	0	0.9152091	0.991114	0.3454177	0.98096776	0.6362596	0.96066713	0.8273718								MLR
2039-01-14	tropics	0	0.91425157	0.99092436	0.34586522	0.98070097	0.63532764	0.96006954	0.8252782								MLR
2039-01-15	tropics	0	0.91340876	0.99073064	0.34631333	0.9804306	0.6344154	0.959582	0.82289165								MLR
2039-01-16	tropics	0	0.9125687	0.99051636	0.34676206	0.9801284	0.63350207	0.958923	0.8206357								MLR
2039-01-17	tropics	0	0.9117224	0.9902849	0.3472095	0.9798786	0.63084805	0.958326	0.8188545								MLR
2039-01-18	tropics	0	0.9107377	0.9900477	0.34761053	0.9795897	0.6286822	0.9580084	0.81734973								MLR
2039-01-19	tropics	0	0.9096844	0.9898048	0.34801203	0.97903705	0.62716717	0.9576538	0.81625634								MLR
2039-01-20	tropics	0	0.90913343	0.9895629	0.34841406	0.97854006	0.62386364	0.9570863	0.8150027								MLR
2039-01-21	tropics	0	0.90791196	0.9893448	0.34881666	0.97823375	0.6206253	0.9562956	0.8131234								MLR
2039-01-22	tropics	0	0.90703756	0.98918146	0.34921977	0.9778598	0.6175157	0.9556897	0.8107531								MLR
2039-01-23	tropics	0	0.90627146	0.9890527	0.34962344	0.9775302	0.6143964	0.9551346	0.80844396								MLR
2039-01-24	tropics	0	0.9056447	0.9889225	0.3500276	0.9771957	0.61134917	0.95438486	0.8061134								MLR
2039-01-25	tropics	0	0.9050143	0.9887678	0.34985092	0.9769337	0.60847867	0.9534757	0.8041167								MLR
2039-01-26	tropics	0	0.9037962	0.9885519	0.3485306	0.9767485	0.60511875	0.9528801	0.8016199								MLR
