location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	date	model
south	2	1.116433	1.3003321	0.9430663	1.2456263	0.9917774	1.1842445	1.0478714	2025-04-01	MLR
south	22	0.9662301	1.1940032	0.7904573	1.1078146	0.85387695	1.0452554	0.90382326	2025-04-01	MLR
