location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	analysis_date	model
south	18	0.8564737	0.86635894	0.84633046	0.863591	0.84955436	0.8603434	0.85280186	2053-04-01	MLR
south	1	0.9124057	0.92284435	0.9017376	0.91976863	0.9053138	0.9161475	0.90841615	2053-04-01	MLR
