location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	date	model
tropics	2	1.0349853	1.1281465	0.94499946	1.0989227	0.9720653	1.0700741	1.0001756	2025-04-01	MLR
tropics	22	1.0850449	1.1867917	0.9870499	1.1557889	1.0185724	1.1242247	1.0465736	2025-04-01	MLR
