location	variant	median_ga	ga_upper_95	ga_lower_95	ga_upper_80	ga_lower_80	ga_upper_50	ga_lower_50	date	model
north	2	0.944963	0.9835097	0.90745693	0.96975094	0.9222845	0.95868874	0.9314797	2025-10-01	MLR
north	22	0.95023334	0.9968121	0.911927	0.9836931	0.92519563	0.9677161	0.93634427	2025-10-01	MLR
north	14	1.0193992	1.0651286	0.9818473	1.0496316	0.9918283	1.0361786	1.0048846	2025-10-01	MLR
north	20	1.1379418	1.2040285	1.0915024	1.1793848	1.10556	1.1592298	1.1201882	2025-10-01	MLR
