date,diversity,tmrca,netau,serialInterval,antigenicDiversity,totalN,totalS,totalI,totalR,totalCases,northDiversity,northTmrca,northNetau,northSerialInterval,northAntigenicDiversity,northN,northS,northI,northR,northCases,tropicsDiversity,tropicsTmrca,tropicsNetau,tropicsSerialInterval,tropicsAntigenicDiversity,tropicsN,tropicsS,tropicsI,tropicsR,tropicsCases,southDiversity,southTmrca,southNetau,southSerialInterval,southAntigenicDiversity,southN,southS,southI,southR,southCases
0.0110,2.9277,2.2756,91.3242,0.01138,0.6890,90000000,89084094,915906,0,1325711,2.9393,2.2756,273.9726,0.01196,0.6904,29999990,29097612,902378,0,1306973,3.3375,2.2758,136.9863,0.01399,0.7337,30000020,29987930,12090,0,16760,2.9828,2.2751,91.3242,0.01225,0.7545,29999990,29998552,1438,0,1978
0.0301,2.9581,2.2950,Infinity,0.01150,0.7034,90000000,89019707,980293,0,1399695,2.8769,2.2949,136.9863,0.01266,0.6772,29999990,29033664,966326,0,1380202,3.4053,2.2948,91.3242,0.01409,0.7724,30000020,29987617,12403,0,17209,2.9457,2.2948,273.9726,0.01216,0.7214,29999990,29998426,1564,0,2284
0.0493,2.9746,2.3141,273.9726,0.01325,0.7572,90000000,89037298,962702,0,1352695,2.9113,2.3139,273.9726,0.01288,0.7391,29999990,29052021,947969,0,1331830,3.3919,2.3142,54.7945,0.01276,0.8088,30000020,29986993,13027,0,18457,2.7498,2.3137,68.4932,0.01297,0.6855,29999990,29998284,1706,0,2408
0.0685,2.9064,2.3332,Infinity,0.01352,0.7247,90000000,89124242,875758,0,1206047,2.7092,2.3331,Infinity,0.01440,0.6673,29999990,29139235,860755,0,1184638,3.3656,2.3329,91.3242,0.01350,0.8168,30000020,29986683,13337,0,19014,2.9355,2.3332,45.6621,0.01358,0.7652,29999990,29998324,1666,0,2395
0.0877,2.8384,2.3522,Infinity,0.01408,0.7251,90000000,89254253,745747,0,1008397,2.8583,2.3525,273.9726,0.01406,0.7535,29999990,29269792,730198,0,986567,3.2890,2.3524,68.4932,0.01342,0.8415,30000020,29986130,13890,0,19547,2.7081,2.3520,Infinity,0.01361,0.6996,29999990,29998331,1659,0,2283
0.1068,2.8448,2.3715,Infinity,0.01560,0.7922,90000000,89399840,600160,0,798588,2.8074,2.3711,Infinity,0.01539,0.7877,29999990,29415804,584186,0,776101,3.2077,2.3712,136.9863,0.01431,0.8653,30000020,29985695,14325,0,20241,2.8508,2.3711,Infinity,0.01420,0.7768,29999990,29998341,1649,0,2246
0.1260,2.7844,2.3908,Infinity,0.01601,0.7818,90000000,89535144,464856,0,608055,2.7928,2.3905,Infinity,0.01524,0.7975,29999990,29551157,448833,0,585513,3.2507,2.3907,91.3242,0.01354,0.8642,30000020,29985495,14525,0,20497,2.8594,2.3906,68.4932,0.01453,0.8257,29999990,29998492,1498,0,2045
0.1452,2.7493,2.4095,Infinity,0.01543,0.8014,90000000,89650916,349084,0,452541,2.7515,2.4086,Infinity,0.01715,0.8515,29999990,29667136,332854,0,429954,3.1705,2.4100,273.9726,0.01299,0.8464,30000020,29985123,14897,0,20758,2.7817,2.4093,54.7945,0.01453,0.7905,29999990,29998657,1333,0,1829
0.1644,2.6284,2.4287,Infinity,0.01735,0.8053,90000000,89743139,256861,0,329634,2.7291,2.4282,Infinity,0.01689,0.8881,29999990,29759458,240532,0,306818,3.0077,2.4291,273.9726,0.01371,0.8332,30000020,29984889,15131,0,21257,2.7917,2.4291,68.4932,0.01511,0.8947,29999990,29998792,1198,0,1559
0.1836,2.6527,2.4480,Infinity,0.01700,0.8761,90000000,89813634,186366,0,238858,2.5756,2.4472,273.9726,0.01909,0.8797,29999990,29830096,169894,0,215765,2.9075,2.4484,273.9726,0.01347,0.8451,30000020,29984610,15410,0,21708,2.6670,2.4481,34.2466,0.01473,0.9091,29999990,29998928,1062,0,1385
0.2027,2.6256,2.4672,273.9726,0.01678,0.9061,90000000,89864245,135755,0,172046,2.6277,2.4670,Infinity,0.01769,0.9081,29999990,29881369,118621,0,148381,2.9094,2.4674,273.9726,0.01363,0.8469,30000020,29983820,16200,0,22423,2.8543,2.4668,68.4932,0.01388,1.0090,29999990,29999056,934,0,1242
0.2219,2.6169,2.4860,Infinity,0.01800,0.9294,90000000,89900902,99098,0,126299,2.5880,2.4866,Infinity,0.01721,0.9393,29999990,29918506,81484,0,101728,2.9358,2.4865,136.9863,0.01281,0.9005,30000020,29983260,16760,0,23439,2.7165,2.4867,39.1389,0.01567,1.0176,29999990,29999136,854,0,1132
0.2411,2.6558,2.5047,273.9726,0.01775,0.9548,90000000,89926892,73108,0,92925,2.5597,2.5056,Infinity,0.01747,0.9517,29999990,29944438,55552,0,68361,2.8604,2.5052,91.3242,0.01361,0.8918,30000020,29983138,16882,0,23636,2.7340,2.5055,21.0748,0.01718,0.9504,29999990,29999316,674,0,928
0.2603,2.5404,2.5240,273.9726,0.01657,0.9211,90000000,89944969,55031,0,71424,2.4928,2.5247,Infinity,0.01884,0.9853,29999990,29963058,36932,0,45701,2.7952,2.5246,39.1389,0.01279,0.8733,30000020,29982504,17516,0,24944,2.5048,2.5249,24.9066,0.01614,1.0052,29999990,29999407,583,0,779
0.2795,2.5878,2.5438,Infinity,0.01619,0.9681,90000000,89957128,42872,0,56066,2.3672,2.5441,273.9726,0.01806,0.9564,29999990,29975766,24224,0,29702,2.6860,2.5441,68.4932,0.01332,0.8763,30000020,29981913,18107,0,25635,2.5315,2.5437,34.2466,0.01381,0.9617,29999990,29999449,541,0,729
0.2986,2.4858,2.5628,91.3242,0.01578,0.8863,90000000,89965125,34875,0,46146,2.3422,2.5629,273.9726,0.01883,0.9233,29999990,29984321,15669,0,18977,2.6716,2.5633,273.9726,0.01255,0.8689,30000020,29981261,18759,0,26554,2.4161,2.5632,19.5695,0.01511,0.9145,29999990,29999543,447,0,615
0.3178,2.5283,2.5819,91.3242,0.01577,0.8949,90000000,89969445,30555,0,41296,2.2870,2.5818,Infinity,0.01932,0.9130,29999990,29989935,10055,0,12066,2.5316,2.5821,68.4932,0.01227,0.8201,30000020,29979966,20054,0,28646,2.3203,2.5810,9.1324,0.01436,0.9348,29999990,29999544,446,0,584
0.3370,2.4105,2.6011,68.4932,0.01388,0.8426,90000000,89971675,28325,0,38618,2.2550,2.6007,Infinity,0.01906,0.8907,29999990,29993746,6244,0,7495,2.5030,2.6013,91.3242,0.01250,0.8155,30000020,29978413,21607,0,30448,2.2894,2.6005,9.7847,0.01368,0.8464,29999990,29999516,474,0,675
0.3562,2.3955,2.6203,68.4932,0.01389,0.7762,90000000,89972168,27832,0,38613,2.2945,2.6195,273.9726,0.02028,0.8581,29999990,29995837,4153,0,4910,2.4765,2.6205,136.9863,0.01313,0.8090,30000020,29976793,23227,0,33090,2.3953,2.6193,10.9589,0.01385,0.8694,29999990,29999538,452,0,613
0.3753,2.4367,2.6395,54.7945,0.01417,0.7361,90000000,89971733,28267,0,39459,2.3374,2.6400,91.3242,0.01958,0.8603,29999990,29997411,2579,0,3076,2.3358,2.6391,91.3242,0.01306,0.7937,30000020,29974750,25270,0,35788,2.2796,2.6400,12.4533,0.01301,0.7057,29999990,29999572,418,0,595
0.3945,2.2894,2.6593,45.6621,0.01274,0.6991,90000000,89971174,28826,0,40852,2.2124,2.6582,39.1389,0.02071,0.7917,29999990,29998376,1614,0,1860,2.3700,2.6588,273.9726,0.01298,0.6995,30000020,29973262,26758,0,38307,2.1408,2.6590,9.7847,0.01370,0.5531,29999990,29999536,454,0,685
0.4137,2.2467,2.6783,91.3242,0.01235,0.6274,90000000,89969062,30938,0,43926,2.0472,2.6770,45.6621,0.02098,0.7611,29999990,29999028,962,0,1122,2.2741,2.6780,91.3242,0.01315,0.6572,30000020,29970589,29431,0,42012,2.0890,2.6782,10.9589,0.01273,0.6089,29999990,29999445,545,0,792
0.4329,2.1995,2.6975,54.7945,0.01248,0.5983,90000000,89966305,33695,0,48049,2.0867,2.6962,39.1389,0.01966,0.6694,29999990,29999377,613,0,723,2.1732,2.6975,45.6621,0.01275,0.5691,30000020,29967576,32444,0,46436,2.0704,2.6973,10.5374,0.01264,0.5531,29999990,29999352,638,0,890
0.4521,2.0641,2.7155,273.9726,0.01258,0.5256,90000000,89962555,37445,0,53199,2.0400,2.7151,24.9066,0.02016,0.5771,29999990,29999608,382,0,476,2.1960,2.7152,136.9863,0.01286,0.5465,30000020,29963709,36311,0,51696,1.9961,2.7158,9.1324,0.01236,0.5106,29999990,29999238,752,0,1027
0.4712,2.0996,2.7342,54.7945,0.01283,0.4801,90000000,89959275,40725,0,58122,2.1381,2.7328,21.0748,0.01747,0.6063,29999990,29999757,233,0,304,2.1100,2.7350,136.9863,0.01238,0.4560,30000020,29960414,39606,0,56584,2.0654,2.7351,8.3022,0.01269,0.5083,29999990,29999104,886,0,1234
0.4904,2.0382,2.7550,136.9863,0.01250,0.4129,90000000,89954258,45742,0,65380,1.9313,2.7527,11.4155,0.01843,0.5392,29999990,29999775,215,0,254,2.0927,2.7542,273.9726,0.01279,0.4290,30000020,29955510,44510,0,63644,2.0543,2.7551,9.7847,0.01246,0.3725,29999990,29998973,1017,0,1482
0.5096,2.0593,2.7737,91.3242,0.01207,0.3962,90000000,89949839,50161,0,71541,2.2098,2.7736,10.5374,0.01667,0.5843,29999990,29999816,174,0,204,2.0832,2.7732,273.9726,0.01207,0.4163,30000020,29951225,48795,0,69645,1.9689,2.7739,8.3022,0.01210,0.3467,29999990,29998798,1192,0,1692
