path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations,branches_parse_failed,complete
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_28,28,159280.2602,90000000.0,0.0,89840719.7398,0.5792,1.5753263711803558,223073.6605,3.2567,30.0,0.75,inf,0.25,0.01365,3.0234,1023.0,0.3306399482870071,3094.0,57.0,2.85,20.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_4,4,163304.7474,90000000.0,0.0,89836695.2526,0.6435,1.9796750848853062,228751.5416,3.2576,30.0,0.75,inf,0.25,0.01363,3.0675,938.0,0.2982511923688394,3145.0,56.0,1.3658536585365855,41.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_7,7,152727.1861,90000000.0,0.0,89847272.8139,0.6227,1.8745770077685187,213809.6925,3.1428,30.0,0.75,inf,0.25,0.01364,2.9301,971.0,0.30630914826498423,3170.0,59.0,1.3409090909090908,44.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75/run_9,9,168905.5448,90000000.0,0.0,89831094.4552,0.4971,1.7648187388366354,236547.0761,3.2656,30.0,0.75,inf,0.25,0.01367,3.0602,1032.0,0.3198016733808491,3227.0,47.0,6.714285714285714,7.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_12,12,170906.6669,90000000.0,0.0,89829093.3331,0.7621,1.8343715582791789,239374.9341,3.5968,30.0,1.0,inf,0.25,0.01365,3.3458,1391.0,0.43921692453425953,3167.0,64.0,1.6,40.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_13,13,169623.0128,90000000.0,0.0,89830376.9872,0.6646,1.8222530609392502,237568.5128,3.4051,30.0,1.0,inf,0.25,0.01364,3.5817,1405.0,0.45646523716699156,3078.0,51.0,8.5,6.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_15,15,171790.7641,90000000.0,0.0,89828209.2359,0.5951,1.9766176544662277,240515.3951,3.2697,30.0,1.0,inf,0.25,0.01364,2.8182,1355.0,0.4296131896005073,3154.0,62.0,2.9523809523809526,21.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_23,23,166691.5313,90000000.0,0.0,89833308.4687,0.5856,1.7828705436891403,233476.3497,3.2439,30.0,1.0,inf,0.25,0.01364,2.875,1374.0,0.4378585086042065,3138.0,62.0,1.878787878787879,33.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_22,22,163977.7168,90000000.0,0.0,89836022.2832,0.6577,1.812300397380098,229552.5256,3.5903,30.0,1.0,inf,0.25,0.01367,3.3143,1377.0,0.4365884590995561,3154.0,44.0,6.285714285714286,7.0,False,True
../antigen-experiments/experiments/2026-07-04-reviewer-runs/simulations/nonEpitopeAcceptance_0.25_epitopeAcceptance_1.0/run_26,26,169386.9565,90000000.0,0.0,89830613.0435,0.7626,1.9382710990817484,237268.8971,3.5902,30.0,1.0,inf,0.25,0.01361,3.5589,1366.0,0.42888540031397177,3185.0,70.0,2.3333333333333335,30.0,False,True
