strain	date	country
45b125db	0.0303	0
9841c5b	0.0162	0
456cd283	0.0555	0
6d9de0ed	0.137	0
3f48e1b5	1.341	0
fe89045	1.7708	0
20e790db	1.8385	0
4633194a	1.8502	0
3405595	2.0268	0
57aac5c0	2.048	0
685f67	2.0675	0
2475877d	2.0645	0
79aefffb	2.0678	0
4964d466	2.1258	0
46b44a39	2.1134	0
705cd966	2.1319	0
5e883cd5	2.1241	0
9d59015	2.1644	0
7bb34033	2.1965	0
4bc0396	2.1985	0
164cbaa6	2.1877	0
3de115bc	2.2126	0
6f267c78	2.2169	0
507efd9a	2.2157	0
db6c75e	2.2259	0
30de7024	2.2482	0
649e2cb9	2.2438	0
1b3ac05a	2.2506	0
cbc3f20	2.2188	0
26606f2c	2.2557	0
4ff2e6c8	2.2814	0
67fb722e	2.2822	0
3375d281	2.2376	0
2b70ff3	2.2842	0
64de2302	2.2795	0
1782c5e1	2.3011	0
69d1820e	2.293	0
4c53940b	2.3034	0
380bccfa	2.2802	0
fb55e9a	2.3073	0
78792420	2.3118	0
6ddcf759	2.3128	0
506a89ca	2.2779	0
2c7f35a5	2.3196	0
1a627892	2.3464	0
844af88	2.3453	0
3d1dc060	2.3453	0
2c8444b5	2.3584	0
627d57b1	2.3682	0
24f9000b	2.3838	0
1c2e65e7	2.3584	0
49ac2832	2.402	0
4bf75bf	2.4084	0
2c01c9f8	2.4148	0
5d8a3e84	2.4235	0
1b7ebcda	2.4178	0
16ed1d2c	2.4549	0
6cabf3b8	2.5142	0
56c912e1	2.51	0
663f7fb0	2.5291	0
cda0420	2.5479	0
2dd96428	2.5804	0
59774be1	2.583	0
7c2cd879	2.6138	0
4a5afb76	2.6412	0
5ec0caf6	2.7433	0
612f0e9c	2.768	0
1c87d731	2.7627	0
d5ad9	2.8114	0
19cc59e	2.8467	0
ad1c780	2.8267	0
22238e98	2.8597	0
37fcd017	2.8827	0
1cc29fe5	2.8991	0
47b857b4	2.9345	0
47fd553a	2.9398	0
83a06db	2.9238	0
6ba1a463	2.9482	0
64f0d27d	2.928	0
72b05352	2.9371	0
489dfac5	2.9545	0
2149883e	2.957	0
1f361c04	2.9603	0
2f4faedd	2.9515	0
3ef219d6	2.9472	0
65021eaa	2.9678	0
375a5411	2.9808	0
6aee1373	2.9869	0
1cf3e26f	2.9766	0
5abec47d	2.9958	0
660a090f	3.0009	0
72ae50e6	2.9922	0
bc56328	2.996	0
574d1be2	3.0129	0
6a7b854c	3.0104	0
27c953c4	3.0182	0
38bccf7f	3.0206	0
2f458b68	2.9949	0
968759e	3.0025	0
69be4d05	3.025	0
7800c2aa	3.0142	0
4c5fb451	3.038	0
92e98a3	3.0409	0
66e63a61	3.0377	0
59133166	3.0314	0
1bb4ce0d	3.0478	0
15297637	3.018	0
dec1377	3.0507	0
3ce03a5c	3.0455	0
47a99548	3.0395	0
df7e564	3.0479	0
957e1e4	3.0583	0
1130a95e	3.0544	0
4c57eee6	3.0292	0
63e21065	3.0174	0
7ad66018	3.0705	0
1f0dac66	3.0728	0
2d88a823	3.071	0
9588d00	3.0734	0
1e13440d	3.0672	0
5994fb28	3.0825	0
7c9259f7	3.0828	0
5fbc914e	3.0815	0
5bd15903	3.0684	0
963322c	3.0652	0
533640a4	3.0882	0
7ab0df52	3.0801	0
28e3f7d4	3.0702	0
30f53b33	3.0947	0
57e13c65	3.0895	0
2f2f767c	3.071	0
bd9b834	3.0869	0
55525623	3.0724	0
157e981	3.0997	0
2b687303	3.0899	0
4f9c0305	3.0951	0
21e27cbf	3.1019	0
343f782b	3.1053	0
69851f6f	3.1032	0
43db16ab	3.106	0
1fdec964	3.1112	0
30fc02e5	3.053	0
3d6219e4	3.111	0
a5ed388	3.0997	0
70edcb4e	3.1163	0
9c496aa	3.1185	0
1184f1ee	3.1209	0
5c0f3bfc	3.1202	0
3b0b08b6	3.1233	0
64e11ad3	3.1215	0
266e1ec5	3.1296	0
7fa4158a	3.117	0
8aedbe8	3.1289	0
5c36f0e9	3.1353	0
6d321a5e	3.1343	0
49772220	3.1035	0
fb1fd8b	3.0937	0
25ee3516	3.138	0
57723780	3.1384	0
27ad253e	3.1404	0
7b8a348f	3.1121	0
2bb82b29	3.0989	0
6d01161c	3.1393	0
46337465	3.1446	0
5a41ff9	3.1503	0
6996e55	3.1475	0
1db37af5	3.1322	0
6db78fb1	3.1501	0
706ead57	3.1185	0
5d2eaee4	3.1267	0
7a154d8a	3.1635	0
664004e0	3.1537	0
5b01b110	3.1739	0
2c71bf3d	3.1431	0
4c31e2d2	3.1706	0
20f54509	3.1842	0
554d6e71	3.1727	0
5ae53028	3.1638	0
5553cf13	3.1829	0
3e6b9de1	3.1959	0
293748bd	3.2009	0
35ede19f	3.2005	0
a7c7447	3.1904	0
6888a093	3.1453	0
7c5538bb	3.1911	0
54143373	3.2112	0
72c06840	3.2024	0
61ade48	3.2197	0
4acfec6d	3.2139	0
391d9c95	3.2033	0
5a4a9f3d	3.2272	0
18cfb9ea	3.2275	0
4d4998b8	3.2125	0
3a9285a7	3.1983	0
20af9bad	3.2534	0
66fec1ac	3.2318	0
24cbc857	3.2439	0
1d4c836f	3.2623	0
60e19857	3.2544	0
70ea92d4	3.3147	0
45ada620	3.3222	0
4e52860	3.314	0
20b66356	3.7257	0
426a9da1	3.8999	0
1ceb73d3	4.0236	0
3d961bcc	4.107	0
b3dd3e5	4.1228	0
77ccbd20	4.1191	0
31b7abb6	4.269	0
11e9ca82	4.4579	0
6562b8b2	4.7421	0
5a267fec	5.0099	0
6043e6a5	5.0297	0
30a8d263	5.0584	0
409de872	5.1196	0
73949dd	5.1459	0
5594b749	5.1433	0
577c5745	5.111	0
141c06ae	5.1712	0
1588d9c6	5.1731	0
5c64d34a	5.1731	0
2cf4932	5.1951	0
571b6bb2	5.2058	0
203c4560	5.2089	0
10fe9d7e	5.2045	0
57ba19b0	5.2128	0
459c07eb	5.2239	0
104497e2	5.2263	0
7a8b8a15	5.2332	0
6a6da611	5.2364	0
21d59db0	5.2414	0
297c9ce3	5.2462	0
5cfba06	5.2505	0
4adbffa7	5.2444	0
414e882d	5.2281	0
2ab3f7a3	5.2111	0
1c1a56ea	5.2591	0
6ede243b	5.2554	0
e39291d	5.2783	0
9fa0242	5.3072	0
1732012f	5.259	0
6e59c328	5.3071	0
3fd37ba3	5.3001	0
1237ce36	5.3192	0
65ea6bc8	5.3269	0
588fe608	5.3176	0
5598ff06	5.3379	0
7507b102	5.3399	0
13a5aa53	5.3485	0
55c4e98b	5.3551	0
14b87609	5.3619	0
360e50b0	5.3584	0
23d5313b	5.3677	0
1f987f25	5.3725	0
5f69b5a	5.3828	0
7038ea5c	5.373	0
43b46307	5.3897	0
36af5d39	5.3983	0
29b94bba	5.4023	0
3bf4420c	5.3928	0
21d58dfc	5.4023	0
4309df52	5.4081	0
22b3b098	5.42	0
72a28c05	5.4045	0
b68877b	5.4238	0
310ee164	5.438	0
d5e46ec	5.4288	0
3a1915bb	5.4129	0
7fdfeef8	5.453	0
185b0d38	5.4625	0
3c0a15e8	5.4735	0
73c6612a	5.5227	0
1cbb55c3	5.6129	0
20b1ff1c	5.74	0
4255b1cf	5.7652	0
685c388	5.7552	0
7607d01d	5.8187	0
45a18252	5.8288	0
47a28d7	5.8172	0
2e6447f9	5.8668	0
41873186	5.9077	0
69c869f4	5.9394	0
14259e83	5.9583	0
26f655b6	5.984	0
39e3689e	5.985	0
3367aaf6	6.0092	0
36f247a	6.0072	0
764368f1	6.0137	0
4cd0d16b	6.0316	0
105c3a69	6.0512	0
380fb83e	6.075	0
69396ad0	6.0587	0
3b2a3559	6.0852	0
1824e557	6.0879	0
17b55d6d	6.1063	0
753cb503	6.1095	0
5730bcf4	6.108	0
70e316fa	6.1141	0
6629b485	6.1216	0
9473139	6.1345	0
41ce4b45	6.1341	0
5bb61451	6.1253	0
7decda60	6.1536	0
59090509	6.1754	0
2424a14f	6.173	0
4e530d20	6.1659	0
266cdcbc	6.1782	0
56234195	6.1811	0
658ccd8f	6.1946	0
5b32f918	6.2155	0
4049cdd5	6.1495	0
6cd23854	6.2025	0
