strain	date	country
3c7c3c18	0.1087	north
2a7b93d5	0.0685	north
23d9df8c	0.0984	north
2a4f5c78	0.1101	north
64962979	0.0921	north
561cb6c3	0.107	north
31ff1b15	0.0903	north
47b8c128	0.0899	north
53872e0e	0.1116	north
6eff6f5a	0.1172	north
5eeffa3a	0.1178	north
ab04795	0.1008	north
2f200bb8	0.1172	north
c73a7cf	0.1045	north
3a3edd2d	0.094	north
67986834	0.1204	north
399d5b5	0.1259	north
53f60fa0	0.1221	north
14d81d6d	0.1147	north
1834894a	0.1299	north
668ad040	0.1259	north
50732331	0.136	north
4e0465dc	0.1415	north
4047cf0b	0.1195	north
6fb605f8	0.1142	north
17379280	0.1416	north
3de7c866	0.1355	north
4f790d0d	0.1482	north
61e58d62	0.1161	north
2c005a74	0.1463	north
7953db03	0.1288	north
20b7a7f1	0.1107	north
64bd250	0.1409	north
69728dd6	0.1491	north
53c479d4	0.1528	north
75aea489	0.1471	north
24a3281	0.1439	north
143b776	0.1553	north
53c21b16	0.1463	north
3f280f3b	0.1607	north
575dd871	0.1131	north
38ec2e2f	0.1546	north
59c97dd7	0.1333	north
11eab2b7	0.1616	north
5bf714e8	0.1638	north
76d42956	0.1731	north
4fa3d973	0.1707	north
37b01712	0.1434	north
7cc5b26a	0.1786	north
464ffa6a	0.1871	north
58fc4c2d	0.1921	north
610f87	0.1369	north
c223231	0.1935	north
292db8cc	0.1881	north
7dfb0d98	0.1728	north
2c6aa6e2	0.1962	north
73bef35c	0.1899	north
2194ba0a	0.1908	north
39fb97b5	0.2098	north
754107a	0.2115	north
2f8ca412	0.2162	north
3332059d	0.2231	north
50862af5	0.2307	north
1388fd88	0.1715	north
61ff09d	0.2535	north
36b68eae	0.2794	north
4f7834f	0.2883	north
5a6511b8	0.2976	north
38288d50	1.0393	north
6e74a91a	1.1536	north
e139825	1.3103	north
573e0b94	1.9565	north
2612d04a	2.1871	north
54174be3	2.4718	north
2ef228b0	2.6512	north
1bd27b06	2.6727	north
3a2e8a5b	2.6962	north
154b5e68	2.7032	north
7d65aab6	2.8068	north
7000b0b8	2.8032	north
109de5eb	2.8509	north
579079e1	2.9197	north
f88a25b	2.9339	north
143ece59	2.9323	north
b54522c	2.9221	north
530209d3	2.9267	north
7a3a4805	2.9532	north
7aedb0ed	2.961	north
f518659	2.9682	north
7c2bd7af	3.0027	north
516f4642	3.0233	north
7d2c979f	3.0173	north
669ce8c8	3.0472	north
47c44596	2.9913	north
4a24569f	3.0703	north
32b54aa2	3.0448	north
6a343d6a	3.0682	north
2bbbc547	3.0775	north
72a58d7d	3.0921	north
273ed4e9	3.0655	north
7f0d0534	3.102	north
26e2db90	3.0913	north
40ef7de4	3.1045	north
3b3059d	3.1248	north
476f24b4	3.1185	north
18e30f2b	3.1176	north
225ffd27	3.1233	north
f8472f2	3.1298	north
63aa3685	3.1326	north
227e5668	3.144	north
78a9ff0	3.1374	north
504ecea7	3.1588	north
64bd26c5	3.1617	north
6d3e7f92	3.1377	north
700aa77e	3.1533	north
6f9e89d0	3.1602	north
2e5a5bdc	3.1629	north
6d9bee9b	3.1663	north
3cf4b556	3.15	north
746b8ad5	3.1654	north
3ade1e75	3.1656	north
3e5129a6	3.1579	north
2b36b10a	3.1778	north
789d7fe3	3.1788	north
2916088e	3.1534	north
152e0e33	3.1943	north
70e523ea	3.1925	north
44148f0e	3.2065	north
7b03f159	3.1996	north
1b722041	3.2242	north
3028805d	3.2285	north
4c30a329	3.2297	north
14a6689e	3.2391	north
52064ba2	3.2369	north
446a571f	3.2496	north
fd65b4d	3.2299	north
7a2b5616	3.2314	north
70262929	3.2515	north
6f0af04a	3.2665	north
13cd7059	3.2655	north
707a44a2	3.263	north
79be32cc	3.2809	north
1618bceb	3.2623	north
49e5ab83	3.2834	north
26646374	3.2721	north
13196c71	3.3085	north
2349fa22	3.3125	north
1c696a30	3.3086	north
8f5ab18	3.29	north
75b3afb7	3.3275	north
2e641478	3.3273	north
a3bdc97	3.3411	north
c3425b1	3.3278	north
bab0a25	3.3412	north
20f682dd	3.3455	north
27bcf4d9	3.3446	north
73f32cc1	3.3656	north
3c9c4919	3.3832	north
2b73658e	3.3982	north
749188a	3.4007	north
4b9157fc	3.429	north
4362f233	3.4382	north
38fcd188	3.4342	north
145766a5	3.4929	north
4d34617f	3.8336	north
17a3d499	3.8916	north
1c5d0419	3.9551	north
66c4a7f4	3.9422	north
572de749	4.0034	north
6ecd4c71	4.0385	north
4ef1de31	4.0669	north
54e891a8	4.0272	north
619a1131	4.071	north
5aa45807	4.0794	north
6535902c	4.074	north
6d9dc3ad	4.0978	north
d5eb705	4.0985	north
37d90b1c	4.0975	north
54cb33f5	4.1181	north
1313e3cf	4.1261	north
5484e12	4.1325	north
1c688eb3	4.1055	north
69ffff2d	4.1308	north
286ef3fd	4.1474	north
27b4e057	4.1518	north
1aa79606	4.1398	north
445a9765	4.1477	north
4141f13b	4.1047	north
56a0971f	4.1384	north
50e926f3	4.1607	north
2956bdb2	4.1638	north
3f0029f4	4.1318	north
36c0687e	4.1643	north
28cafd32	4.1708	north
2cee8f9b	4.161	north
271c1076	4.1732	north
48fb207f	4.1886	north
51179a43	4.179	north
52b456ed	4.1718	north
379056c9	4.1893	north
60ac2274	4.195	north
77979680	4.2094	north
28817d65	4.2137	north
5f99cc61	4.2091	north
79152114	4.1978	north
402b4408	4.2062	north
8983399	4.2098	north
58469775	4.217	north
5b730a22	4.1718	north
2d9b255e	4.2264	north
5844d8b8	4.2242	north
2734c463	4.2128	north
27f45ef7	4.2244	north
32b518a0	4.1952	north
17013f37	4.2225	north
79b63af7	4.2289	north
559e4197	4.2234	north
69a72dca	4.2204	north
61a350ba	4.2122	north
795fdf09	4.2302	north
62c667e7	4.2364	north
34c2ad0f	4.2334	north
3407c181	4.2423	north
5697912	4.2452	north
6f2c703	4.237	north
6933778a	4.2385	north
38a11e80	4.2589	north
6447a4a3	4.2332	north
1160ef11	4.2667	north
200401b	4.2664	north
6657df67	4.2404	north
535d76c1	4.2424	north
4e847a97	4.2779	north
7b1c83f4	4.2755	north
8eefe21	4.2597	north
3213c983	4.2758	north
3c2560c4	4.2729	north
3afb52bf	4.2715	north
36e8a0d8	4.2723	north
7727d276	4.2892	north
30407ffc	4.2843	north
1889bd08	4.2922	north
50857db2	4.31	north
65bbbd58	4.2673	north
6c466f86	4.3145	north
7c129e43	4.3228	north
7b76c7ae	4.3298	north
5c668273	4.3196	north
6cebfc73	4.3332	north
35b46edb	4.3368	north
310fba5c	4.319	north
34fe257e	4.3409	north
1bb8674f	4.339	north
79ce0ca2	4.3306	north
13daf35f	4.3424	north
258a2e66	4.3407	north
3bf83e27	4.341	north
4b5e2be6	4.3461	north
465abf31	4.3477	north
78a3fbf5	4.3355	north
51bc4a2d	4.3367	north
1523d21c	4.3625	north
4b499a31	4.3759	north
629b9d24	4.3738	north
2f15bcd8	4.3518	north
458d276c	4.3903	north
62829b22	4.3932	north
edbdc5c	4.3643	north
9a59536	4.4003	north
6b48463b	4.404	north
3f988a07	4.3959	north
4a9a5b88	4.4193	north
7b072092	4.4238	north
7349037c	4.4299	north
38a45a2d	4.4265	north
5dfa0ceb	4.4085	north
558a9ef2	4.4487	north
