date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	model
2024-12-22	north	2	1.4509798	1.6190585	1.3029816	1.564749	1.3432463	1.507151	1.3924432	GARW
2024-12-23	north	2	1.4615959	1.645893	1.313406	1.5826226	1.3596354	1.5277264	1.4039383	GARW
2024-12-24	north	2	1.4733723	1.6768118	1.3177286	1.6024508	1.3622149	1.542965	1.4134899	GARW
2024-12-25	north	2	1.4828234	1.7107109	1.309913	1.623921	1.3616302	1.5644841	1.4142308	GARW
2024-12-26	north	2	1.4897949	1.7349818	1.3029763	1.6389867	1.3622679	1.5723126	1.4178908	GARW
2024-12-27	north	2	1.4939222	1.7588575	1.2991802	1.6522974	1.3608584	1.5814452	1.4207594	GARW
2024-12-28	north	2	1.4968417	1.7777941	1.2937607	1.6639155	1.358038	1.5848943	1.4244637	GARW
2024-12-29	north	2	1.4985963	1.7826217	1.2910411	1.6675727	1.356882	1.5868378	1.4239602	GARW
2024-12-30	north	2	1.499495	1.7786098	1.2942547	1.6696805	1.3572617	1.5887009	1.4206324	GARW
2024-12-31	north	2	1.4955933	1.7723433	1.2976545	1.6692306	1.3545861	1.5853701	1.418297	GARW
2025-01-01	north	2	1.4939069	1.7643218	1.2898495	1.6639956	1.3508197	1.5811981	1.4164501	GARW
2025-01-02	north	2	1.4886137	1.7527738	1.2856827	1.6561617	1.3489765	1.5757356	1.4106838	GARW
2025-01-03	north	2	1.4830886	1.7369078	1.2791952	1.6472424	1.3448313	1.5662531	1.4063616	GARW
2025-01-04	north	2	1.4762108	1.7289336	1.2794653	1.6376529	1.3386855	1.5578407	1.4032879	GARW
2025-01-05	north	2	1.4718487	1.7128978	1.2773646	1.6263872	1.3284973	1.5507134	1.3969727	GARW
2025-01-06	north	2	1.4604607	1.7003038	1.2738183	1.6121405	1.3255668	1.5393627	1.3893285	GARW
2025-01-07	north	2	1.4522998	1.6910422	1.2656527	1.6014211	1.3216381	1.5276521	1.3819191	GARW
2025-01-08	north	2	1.4400197	1.671626	1.2657937	1.5903059	1.3150645	1.5150368	1.3727155	GARW
2025-01-09	north	2	1.429106	1.6499397	1.2597791	1.5820726	1.3064396	1.4985845	1.3639289	GARW
2025-01-10	north	2	1.4179199	1.6368563	1.2528999	1.5623316	1.299102	1.4850446	1.3517184	GARW
2025-01-11	north	2	1.405613	1.615064	1.2463073	1.5477409	1.2911447	1.4717181	1.3414816	GARW
2025-01-12	north	2	1.3926609	1.5916036	1.2389337	1.5250674	1.2879995	1.456851	1.3301958	GARW
2025-01-13	north	2	1.3785574	1.5703532	1.2337235	1.5002525	1.2815931	1.4403602	1.31977	GARW
2025-01-14	north	2	1.3647003	1.5456644	1.2254112	1.4778934	1.27195	1.4228785	1.3103144	GARW
2025-01-15	north	2	1.3517859	1.5188042	1.2198068	1.4574542	1.2611129	1.4055202	1.3002251	GARW
2025-01-16	north	2	1.3389345	1.4962937	1.2151635	1.4338964	1.2548659	1.3886018	1.29081	GARW
2025-01-17	north	2	1.3252075	1.4727141	1.208546	1.4149982	1.2460233	1.3711588	1.2826304	GARW
2025-01-18	north	2	1.3086401	1.4488733	1.200893	1.3947014	1.2368758	1.3544092	1.2720376	GARW
2025-01-19	north	2	1.2952154	1.4357904	1.1883886	1.3798054	1.2267718	1.3388469	1.2628571	GARW
2025-01-20	north	2	1.2850752	1.4130356	1.1737707	1.3609679	1.2170869	1.3259495	1.2492642	GARW
2025-01-21	north	2	1.273746	1.3970964	1.1630975	1.3466195	1.2054353	1.31153	1.2370296	GARW
2025-01-22	north	2	1.2628212	1.3775833	1.1509807	1.3342361	1.1964546	1.3017676	1.2245722	GARW
2025-01-23	north	2	1.2538862	1.3613002	1.139075	1.3262132	1.1834946	1.2905269	1.2128555	GARW
2025-01-24	north	2	1.2435989	1.3477203	1.1302894	1.315792	1.1722655	1.2818215	1.2044659	GARW
2025-01-25	north	2	1.2345111	1.3416861	1.1209229	1.3066154	1.1607606	1.2730438	1.1968597	GARW
2025-01-26	north	2	1.225802	1.3282207	1.1160243	1.2974882	1.1521856	1.2645013	1.189677	GARW
2025-01-27	north	2	1.2205361	1.3227103	1.1132916	1.2877095	1.1455877	1.2581017	1.1848743	GARW
